Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Greece,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9294.33346019123
Greece,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6767.8826314921
Greece,2021,Cyprus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5558.15154184169
Greece,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4869.22409081733
Greece,2021,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4437.75156227346
Greece,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16232.6736848959
Greece,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12174.8910345306
Greece,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11849.3232022767
Greece,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10177.2836967603
Greece,2021,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9791.98816957171
Greece,2021,World,Plastic or Rubber,Export,Export(US$ Mil),3811.04079564337
Greece,2021,World,Transportation,Export,Export(US$ Mil),959.889357733296
Greece,2021,World,Fuels,Export,Export(US$ Mil),26646.3136102743
Greece,2021,World,Metals,Export,Export(US$ Mil),10947.4727211477
Greece,2021,World,Vegetable,Export,Export(US$ Mil),6007.01374977274
Greece,2021,World,Textiles and Clothing,Export,Export(US$ Mil),4898.30743376122
Greece,2021,World,Intermediate goods,Export,Export(US$ Mil),19291.2886378324
Greece,2021,World,Animal,Export,Export(US$ Mil),4364.08321481731
Greece,2021,World,Wood,Export,Export(US$ Mil),1681.07243152756
Greece,2021,World,Raw materials,Export,Export(US$ Mil),10238.1709502949
Greece,2021,World,Food Products,Export,Export(US$ Mil),7596.88163895286
Greece,2021,World,Footwear,Export,Export(US$ Mil),603.643046699684
Greece,2021,World,Consumer goods,Export,Export(US$ Mil),54346.4733904475
Greece,2021,World,Chemicals,Export,Export(US$ Mil),10662.73601286
Greece,2021,World,Mach and Elec,Export,Export(US$ Mil),8156.91594810887
Greece,2021,World,Minerals,Export,Export(US$ Mil),1635.26035523299
Greece,2021,World,Stone and Glass,Export,Export(US$ Mil),979.025890152281
Greece,2021,World,Capital goods,Export,Export(US$ Mil),8051.30182036184
Greece,2021,World,Hides and Skins,Export,Export(US$ Mil),467.611248604197
Greece,2021,World,Miscellaneous,Export,Export(US$ Mil),5071.28717810615
Greece,2021,World,Consumer goods,Import,Import(US$ Mil),57196.9330198954
Greece,2021,World,Intermediate goods,Import,Import(US$ Mil),32884.8915767359
Greece,2021,World,Capital goods,Import,Import(US$ Mil),23662.719633922
Greece,2021,World,Raw materials,Import,Import(US$ Mil),34291.9449804215
Greece,2021,World,All Products,Export,Exports (in US$ Mil),94488.5546333945
Greece,2021,World,All Products,Import,Imports (in US$ Mil),154570.056614396
Greece,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),51981825.2800623
Greece,2021,...,...,Tariff,No. Of Tariff Agreement,
Greece,2021,...,...,Import,No. Of Import partners,196
Greece,2021,...,...,Import,No. Of Import products,4427
Greece,2021,...,...,Export,No. Of Export partners,220
Greece,2021,...,...,Export,No. Of Export products,4016
Greece,2019,...,...,Others,Ease of Doing Business Rank,79
Greece,2018,...,...,Others,Population,10727668
Greece,2019,...,...,Others,Trading Across Borders Rank,34
Greece,2016,...,...,Others,LPI Score,3.239516
Greece,,...,...,Others,Services Trade Restrictions Index - Over All,18
Greece,2016,...,...,Others,LPI Rank,47
Greece,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,9.8365
Greece,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1626
Greece,2021,Cyprus,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8824
Greece,2021,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1532
Greece,2021,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6966
Greece,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5018
Greece,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8766
Greece,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.666
Greece,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5843
Greece,2021,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,6.335
Greece,2021,World,Food Products,Export,Export Product share(%),8.04
Greece,2021,World,Footwear,Export,Export Product share(%),0.6389
Greece,2021,World,Consumer goods,Export,Export Product share(%),57.5165
Greece,2021,World,Minerals,Export,Export Product share(%),1.7306
Greece,2021,World,Stone and Glass,Export,Export Product share(%),1.0361
Greece,2021,World,Capital goods,Export,Export Product share(%),8.5209
Greece,2021,World,Vegetable,Export,Export Product share(%),6.3574
Greece,2021,World,Textiles and Clothing,Export,Export Product share(%),5.184
