Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Grenada,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20.1712173872362
Grenada,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.89870851261981
Grenada,2021,St. Vincent and the Grenadines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.72670407234737
Grenada,2021,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.31881666534785
Grenada,2021,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.81945111029166
Grenada,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174.536149084723
Grenada,2021,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,76.8724310342387
Grenada,2021,Cayman Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41.5128592177464
Grenada,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.1409022040813
Grenada,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11.5403862847559
Grenada,2021,World,Fuels,Export,Export(US$ Mil),0.02687296293609
Grenada,2021,World,Metals,Export,Export(US$ Mil),0.77394740663346
Grenada,2021,World,Hides and Skins,Export,Export(US$ Mil),0.04542259254717
Grenada,2021,World,Miscellaneous,Export,Export(US$ Mil),0.746555554809
Grenada,2021,World,Food Products,Export,Export(US$ Mil),10.4653155450902
Grenada,2021,World,Footwear,Export,Export(US$ Mil),0.04346629625283
Grenada,2021,World,Consumer goods,Export,Export(US$ Mil),17.3766022048456
Grenada,2021,World,Chemicals,Export,Export(US$ Mil),1.2680481468801
Grenada,2021,World,Mach and Elec,Export,Export(US$ Mil),4.21143814393671
Grenada,2021,World,Animal,Export,Export(US$ Mil),2.94144592298448
Grenada,2021,World,Wood,Export,Export(US$ Mil),1.59880851691971
Grenada,2021,World,Raw materials,Export,Export(US$ Mil),8.00095851051756
