Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Greenland,2018,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,546.66031662
Greenland,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49.60281822
Greenland,2018,Latvia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.93196366
Greenland,2018,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.02985388
Greenland,2018,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.23229748
Greenland,2018,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,449.47852291
Greenland,2018,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,141.8756488
Greenland,2018,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,95.39117126
Greenland,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21.25370463
Greenland,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.11974261
Greenland,2018,World,Food Products,Export,Export(US$ Mil),128.34721544
Greenland,2018,World,Footwear,Export,Export(US$ Mil),0.01287812
Greenland,2018,World,Consumer goods,Export,Export(US$ Mil),134.99108747
Greenland,2018,World,Fuels,Export,Export(US$ Mil),0.00038214
Greenland,2018,World,Metals,Export,Export(US$ Mil),0.67307328
Greenland,2018,World,Chemicals,Export,Export(US$ Mil),0.00650248
Greenland,2018,World,Mach and Elec,Export,Export(US$ Mil),0.48156952
Greenland,2018,World,Animal,Export,Export(US$ Mil),463.4862503
Greenland,2018,World,Wood,Export,Export(US$ Mil),0.03077959
Greenland,2018,World,Raw materials,Export,Export(US$ Mil),454.30929665
Greenland,2018,World,Vegetable,Export,Export(US$ Mil),0.00866434
Greenland,2018,World,Textiles and Clothing,Export,Export(US$ Mil),0.1583247
Greenland,2018,World,Intermediate goods,Export,Export(US$ Mil),6.79609553
Greenland,2018,World,Minerals,Export,Export(US$ Mil),7.77E-05
Greenland,2018,World,Stone and Glass,Export,Export(US$ Mil),1.79419979
Greenland,2018,World,Capital goods,Export,Export(US$ Mil),25.0021738
Greenland,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.01593622
Greenland,2018,World,Transportation,Export,Export(US$ Mil),24.11283947
Greenland,2018,World,Hides and Skins,Export,Export(US$ Mil),0.34180735
Greenland,2018,World,Miscellaneous,Export,Export(US$ Mil),21.4268432
Greenland,2018,World,Intermediate goods,Import,Import(US$ Mil),68.94288486
Greenland,2018,World,Consumer goods,Import,Import(US$ Mil),459.359563020001
Greenland,2018,World,Capital goods,Import,Import(US$ Mil),232.73279336
Greenland,2018,World,Raw materials,Import,Import(US$ Mil),44.35394635
Greenland,2018,World,All Products,Export,Exports (in US$ Mil),640.89734364
Greenland,2018,World,All Products,Import,Imports (in US$ Mil),829.150195239999
Greenland,2018,...,...,Import,No. Of Import partners,143
Greenland,2018,...,...,Import,No. Of Import products,2758
Greenland,2018,...,...,Export,No. Of Export partners,15
Greenland,2018,...,...,Export,No. Of Export products,262
Greenland,2018,...,...,Others,Population,56025
Greenland,2018,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,85.2961
Greenland,2018,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7396
Greenland,2018,Latvia,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7341
Greenland,2018,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,0.9408
Greenland,2018,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,0.6604
Greenland,2018,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,54.2095
Greenland,2018,Sweden,All Products,Import,Partner share(%)-Top 5 Import Partner,17.111
Greenland,2018,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,11.5047
Greenland,2018,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5633
Greenland,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.4265
Greenland,2018,World,Fuels,Export,Export Product share(%),0.0001
Greenland,2018,World,Metals,Export,Export Product share(%),0.105
