Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guatemala,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4372.310459
Guatemala,2021,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1730.886724
Guatemala,2021,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1397.939923
Guatemala,2021,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,844.053711
Guatemala,2021,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,590.20848
Guatemala,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8731.85345
Guatemala,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4147.211224
Guatemala,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2753.495489
Guatemala,2021,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1205.560067
Guatemala,2021,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,771.89335
Guatemala,2021,World,Chemicals,Export,Export(US$ Mil),1310.179694
Guatemala,2021,World,Mach and Elec,Export,Export(US$ Mil),252.214744
Guatemala,2021,World,Food Products,Export,Export(US$ Mil),2056.275258
Guatemala,2021,World,Footwear,Export,Export(US$ Mil),55.587486
Guatemala,2021,World,Consumer goods,Export,Export(US$ Mil),6434.076983
Guatemala,2021,World,Vegetable,Export,Export(US$ Mil),4419.590792
Guatemala,2021,World,Textiles and Clothing,Export,Export(US$ Mil),2106.988402
Guatemala,2021,World,Intermediate goods,Export,Export(US$ Mil),3360.884689
Guatemala,2021,World,Hides and Skins,Export,Export(US$ Mil),60.462724
Guatemala,2021,World,Miscellaneous,Export,Export(US$ Mil),194.218647
Guatemala,2021,World,Minerals,Export,Export(US$ Mil),145.950986
Guatemala,2021,World,Stone and Glass,Export,Export(US$ Mil),198.261969
Guatemala,2021,World,Capital goods,Export,Export(US$ Mil),389.959743
Guatemala,2021,World,Fuels,Export,Export(US$ Mil),372.41098
Guatemala,2021,World,Metals,Export,Export(US$ Mil),1061.619841
Guatemala,2021,World,Plastic or Rubber,Export,Export(US$ Mil),782.665612
Guatemala,2021,World,Transportation,Export,Export(US$ Mil),67.402177
Guatemala,2021,World,Animal,Export,Export(US$ Mil),114.624395
Guatemala,2021,World,Wood,Export,Export(US$ Mil),537.145488
Guatemala,2021,World,Raw materials,Export,Export(US$ Mil),3550.590629
Guatemala,2021,World,Intermediate goods,Import,Import(US$ Mil),8037.98459000001
Guatemala,2021,World,Consumer goods,Import,Import(US$ Mil),11478.427045
Guatemala,2021,World,Capital goods,Import,Import(US$ Mil),5065.519457
Guatemala,2021,World,Raw materials,Import,Import(US$ Mil),2010.73103
Guatemala,2021,World,All Products,Export,Exports (in US$ Mil),13735.599195
Guatemala,2021,World,All Products,Import,Imports (in US$ Mil),26593.808327
Guatemala,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),17787364.319
Guatemala,2021,...,...,Tariff,No. Of Tariff Agreement,16
Guatemala,2021,...,...,Import,No. Of Import partners,188
Guatemala,2021,...,...,Import,No. Of Import products,4164
Guatemala,2021,...,...,Export,No. Of Export partners,138
Guatemala,2021,...,...,Export,No. Of Export products,3376
Guatemala,2018,...,...,Others,Population,17247807
Guatemala,2019,...,...,Others,Ease of Doing Business Rank,96
Guatemala,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),948
Guatemala,2014,...,...,Others,No Of NTM Measures,21
Guatemala,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1685059
Guatemala,2016,...,...,Others,LPI Score,2.476327
Guatemala,2019,...,...,Others,Trading Across Borders Rank,82
Guatemala,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1308463
Guatemala,2016,...,...,Others,LPI Rank,111
Guatemala,,...,...,Others,Services Trade Restrictions Index - Over All,17.7
Guatemala,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,31.832
Guatemala,2021,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6015
Guatemala,2021,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1775
