Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guyana,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1786.60375916279
Guyana,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,700.403031828104
Guyana,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,293.630862301548
Guyana,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,293.417800025437
Guyana,2021,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,282.647123421888
Guyana,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1668.898407818
Guyana,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,824.88040404359
Guyana,2021,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,333.354790221143
Guyana,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,279.206611222954
Guyana,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,107.355717369036
Guyana,2021,World,Fuels,Export,Export(US$ Mil),2943.02340725518
Guyana,2021,World,Metals,Export,Export(US$ Mil),6.91227264568704
Guyana,2021,World,Food Products,Export,Export(US$ Mil),96.3970362243225
Guyana,2021,World,Footwear,Export,Export(US$ Mil),0.14636699025792
Guyana,2021,World,Consumer goods,Export,Export(US$ Mil),273.052083083486
Guyana,2021,World,Minerals,Export,Export(US$ Mil),82.7428752363725
Guyana,2021,World,Stone and Glass,Export,Export(US$ Mil),561.163999420374
Guyana,2021,World,Capital goods,Export,Export(US$ Mil),212.609946816835
Guyana,2021,World,Chemicals,Export,Export(US$ Mil),46.2465875052825
Guyana,2021,World,Mach and Elec,Export,Export(US$ Mil),20.7013597966848
Guyana,2021,World,Vegetable,Export,Export(US$ Mil),217.859406152624
Guyana,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.72594793827072
Guyana,2021,World,Intermediate goods,Export,Export(US$ Mil),623.730816634181
Guyana,2021,World,Hides and Skins,Export,Export(US$ Mil),0.0216520724736
Guyana,2021,World,Miscellaneous,Export,Export(US$ Mil),11.031423366743
Guyana,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2.3743116219264
Guyana,2021,World,Transportation,Export,Export(US$ Mil),181.225776226458
Guyana,2021,World,Animal,Export,Export(US$ Mil),42.162711236471
Guyana,2021,World,Wood,Export,Export(US$ Mil),44.5153279993805
Guyana,2021,World,Raw materials,Export,Export(US$ Mil),3144.37886271854
Guyana,2021,World,Intermediate goods,Import,Import(US$ Mil),432.732022696412
Guyana,2021,World,Consumer goods,Import,Import(US$ Mil),1387.55486761918
Guyana,2021,World,Capital goods,Import,Import(US$ Mil),2234.20818600512
Guyana,2021,World,Raw materials,Import,Import(US$ Mil),105.23782000027
Guyana,2021,World,All Products,Export,Exports (in US$ Mil),4257.25046168851
Guyana,2021,World,All Products,Import,Imports (in US$ Mil),4159.75010995506
Guyana,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2278606.06725473
Guyana,2021,...,...,Tariff,No. Of Tariff Agreement,6
Guyana,2021,...,...,Import,No. Of Import partners,148
Guyana,2021,...,...,Import,No. Of Import products,3252
Guyana,2021,...,...,Export,No. Of Export partners,103
Guyana,2021,...,...,Export,No. Of Export products,1314
Guyana,2019,...,...,Others,Ease of Doing Business Rank,134
Guyana,2019,...,...,Others,Trading Across Borders Rank,151
Guyana,2018,...,...,Others,Population,779004
Guyana,2018,...,...,Others,CPIA Trade Ratings,3.5
Guyana,2016,...,...,Others,LPI Score,2.667018
Guyana,2016,...,...,Others,LPI Rank,85
Guyana,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,41.9661
Guyana,2021,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,16.452
Guyana,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8972
Guyana,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8922
Guyana,2021,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6392
Guyana,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,40.1202
Guyana,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,19.83
Guyana,2021,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0138
Guyana,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7121
Guyana,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5808
Guyana,2021,World,Vegetable,Export,Export Product share(%),5.1174
Guyana,2021,World,Textiles and Clothing,Export,Export Product share(%),0.0171
Guyana,2021,World,Intermediate goods,Export,Export Product share(%),14.651
Guyana,2021,World,Food Products,Export,Export Product share(%),2.2643
Guyana,2021,World,Footwear,Export,Export Product share(%),0.0034
Guyana,2021,World,Consumer goods,Export,Export Product share(%),6.4138
Guyana,2021,World,Minerals,Export,Export Product share(%),1.9436
Guyana,2021,World,Stone and Glass,Export,Export Product share(%),13.1814
Guyana,2021,World,Capital goods,Export,Export Product share(%),4.9941
Guyana,2021,World,Fuels,Export,Export Product share(%),69.1297
Guyana,2021,World,Metals,Export,Export Product share(%),0.1624
Guyana,2021,World,Chemicals,Export,Export Product share(%),1.0863
Guyana,2021,World,Mach and Elec,Export,Export Product share(%),0.4863
Guyana,2021,World,Plastic or Rubber,Export,Export Product share(%),0.0558
Guyana,2021,World,Transportation,Export,Export Product share(%),4.2569
Guyana,2021,World,Hides and Skins,Export,Export Product share(%),0.0005
Guyana,2021,World,Miscellaneous,Export,Export Product share(%),0.2591
Guyana,2021,World,Animal,Export,Export Product share(%),0.9904
Guyana,2021,World,Wood,Export,Export Product share(%),1.0456
Guyana,2021,World,Raw materials,Export,Export Product share(%),73.8594
Guyana,2021,World,Capital goods,Import,Import Product share(%),53.7102
Guyana,2021,World,Intermediate goods,Import,Import Product share(%),10.4028
Guyana,2021,World,Consumer goods,Import,Import Product share(%),33.3567
Guyana,2021,World,Raw materials,Import,Import Product share(%),2.5299
Guyana,2021,World,Intermediate goods,Tariff,Weighted Average (%),6.5249120412632
Guyana,2021,World,Raw materials,Tariff,Weighted Average (%),7.63242312109328
Guyana,2021,World,Consumer goods,Tariff,Weighted Average (%),13.5742984710947
Guyana,2021,World,Capital goods,Tariff,Weighted Average (%),1.21218378405376
Guyana,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Guyana,2021,World,All Products,Trade Indicator,Country Growth (%),33.3293166195236
Guyana,2021,World,All Products,Tariff,Simple Average (%),9.28034451097431
Guyana,2021,World,All Products,Tariff,Weighted Average (%),4.72798106422208
Guyana,2021,World,All Products,Tariff,Maximum Rate (%),100
Guyana,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),28.7156421789105
Guyana,2021,...,...,Trade Indicator,Index of export market penetration,1.69667279494193
Guyana,2021,...,...,Trade Indicator,HH Market concentration index,0.327631519486493
