Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Hong Kong, China",2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,401691.808987088
"Hong Kong, China",2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39950.186446454
"Hong Kong, China",2021,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19021.9596950371
"Hong Kong, China",2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17478.8375603008
"Hong Kong, China",2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15302.7707940786
"Hong Kong, China",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,315903.020808466
"Hong Kong, China",2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,70952.5370049441
"Hong Kong, China",2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54187.9778154588
"Hong Kong, China",2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41986.8954366735
"Hong Kong, China",2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37187.2282602927
"Hong Kong, China",2021,World,Food Products,Export,Export(US$ Mil),3946.07085910336
"Hong Kong, China",2021,World,Footwear,Export,Export(US$ Mil),2671.95272655028
"Hong Kong, China",2021,World,Consumer goods,Export,Export(US$ Mil),78149.304602372
"Hong Kong, China",2021,World,Vegetable,Export,Export(US$ Mil),3422.58028284124
"Hong Kong, China",2021,World,Textiles and Clothing,Export,Export(US$ Mil),13478.5345392116
"Hong Kong, China",2021,World,Intermediate goods,Export,Export(US$ Mil),88624.8656337844
"Hong Kong, China",2021,World,Chemicals,Export,Export(US$ Mil),12493.6311165737
"Hong Kong, China",2021,World,Mach and Elec,Export,Export(US$ Mil),488635.772978957
"Hong Kong, China",2021,World,Minerals,Export,Export(US$ Mil),179.732102800708
"Hong Kong, China",2021,World,Stone and Glass,Export,Export(US$ Mil),75152.3271874169
"Hong Kong, China",2021,World,Capital goods,Export,Export(US$ Mil),491865.874342546
"Hong Kong, China",2021,World,Plastic or Rubber,Export,Export(US$ Mil),9935.25724719375
"Hong Kong, China",2021,World,Transportation,Export,Export(US$ Mil),2061.40982351413
"Hong Kong, China",2021,World,Animal,Export,Export(US$ Mil),1964.07537879178
"Hong Kong, China",2021,World,Wood,Export,Export(US$ Mil),2813.1676388831
"Hong Kong, China",2021,World,Raw materials,Export,Export(US$ Mil),11173.9148555791
"Hong Kong, China",2021,World,Fuels,Export,Export(US$ Mil),637.852904769215
"Hong Kong, China",2021,World,Metals,Export,Export(US$ Mil),8207.86010771743
"Hong Kong, China",2021,World,Hides and Skins,Export,Export(US$ Mil),4296.35371431111
"Hong Kong, China",2021,World,Miscellaneous,Export,Export(US$ Mil),41029.5008484179
"Hong Kong, China",2021,World,Intermediate goods,Import,Import(US$ Mil),90539.7132863471
"Hong Kong, China",2021,World,Capital goods,Import,Import(US$ Mil),492053.683999979
"Hong Kong, China",2021,World,Raw materials,Import,Import(US$ Mil),19770.7365214555
"Hong Kong, China",2021,World,Consumer goods,Import,Import(US$ Mil),109300.148058078
"Hong Kong, China",2021,World,All Products,Export,Exports (in US$ Mil),670926.079457053
"Hong Kong, China",2021,World,All Products,Import,Imports (in US$ Mil),713173.047238355
"Hong Kong, China",2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),700530505.736414
"Hong Kong, China",2021,...,...,Tariff,No. Of Tariff Agreement,1
"Hong Kong, China",2021,...,...,Import,No. Of Import partners,188
"Hong Kong, China",2021,...,...,Import,No. Of Import products,3988
