Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Honduras,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2155.13657198
Honduras,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,331.78154241
Honduras,2021,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,295.85216163
Honduras,2021,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,226.34301681
Honduras,2021,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,215.64140848
Honduras,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3994.77723811
Honduras,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2083.17222714
Honduras,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,878.9119431
Honduras,2021,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,650.28040701
Honduras,2021,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,515.5525925
Honduras,2021,World,Vegetable,Export,Export(US$ Mil),2083.71137191
Honduras,2021,World,Textiles and Clothing,Export,Export(US$ Mil),24.95498033
Honduras,2021,World,Intermediate goods,Export,Export(US$ Mil),863.94032777
Honduras,2021,World,Food Products,Export,Export(US$ Mil),383.51959604
Honduras,2021,World,Footwear,Export,Export(US$ Mil),6.9552198
Honduras,2021,World,Consumer goods,Export,Export(US$ Mil),1486.35717004
Honduras,2021,World,Chemicals,Export,Export(US$ Mil),101.48088453
Honduras,2021,World,Mach and Elec,Export,Export(US$ Mil),919.25834069
Honduras,2021,World,Plastic or Rubber,Export,Export(US$ Mil),64.44578151
Honduras,2021,World,Transportation,Export,Export(US$ Mil),7.97587136
Honduras,2021,World,Animal,Export,Export(US$ Mil),639.56004737
Honduras,2021,World,Wood,Export,Export(US$ Mil),141.46572234
Honduras,2021,World,Raw materials,Export,Export(US$ Mil),2510.2303932
Honduras,2021,World,Minerals,Export,Export(US$ Mil),120.2502317
Honduras,2021,World,Stone and Glass,Export,Export(US$ Mil),207.81217559
Honduras,2021,World,Capital goods,Export,Export(US$ Mil),115.41769713
Honduras,2021,World,Fuels,Export,Export(US$ Mil),0.65886605
Honduras,2021,World,Metals,Export,Export(US$ Mil),259.99638588
Honduras,2021,World,Hides and Skins,Export,Export(US$ Mil),0.76070984
Honduras,2021,World,Miscellaneous,Export,Export(US$ Mil),13.1428032
Honduras,2021,World,Intermediate goods,Import,Import(US$ Mil),2630.48721213
Honduras,2021,World,Capital goods,Import,Import(US$ Mil),2142.38375063
Honduras,2021,World,Consumer goods,Import,Import(US$ Mil),6078.11925528
Honduras,2021,World,Raw materials,Import,Import(US$ Mil),779.83411933
Honduras,2021,World,All Products,Export,Exports (in US$ Mil),4975.94898814
Honduras,2021,World,All Products,Import,Imports (in US$ Mil),11630.8779959
Honduras,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5117631.98728
Honduras,2021,...,...,Tariff,No. Of Tariff Agreement,17
Honduras,2021,...,...,Import,No. Of Import partners,185
Honduras,2021,...,...,Import,No. Of Import products,3764
