Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Croatia,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2854.707658
Croatia,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2690.721021
Croatia,2021,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2344.425295
Croatia,2021,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1932.697024
Croatia,2021,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1799.520385
Croatia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4988.879175
Croatia,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4248.106552
Croatia,2021,Slovenia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3692.375524
Croatia,2021,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2498.123108
Croatia,2021,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2113.748509
Croatia,2021,World,Food Products,Export,Export(US$ Mil),1569.110654
Croatia,2021,World,Footwear,Export,Export(US$ Mil),364.910028
Croatia,2021,World,Consumer goods,Export,Export(US$ Mil),8939.13006800001
Croatia,2021,World,Fuels,Export,Export(US$ Mil),2593.911806
Croatia,2021,World,Metals,Export,Export(US$ Mil),2175.819071
Croatia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),836.396311
Croatia,2021,World,Transportation,Export,Export(US$ Mil),1368.780561
Croatia,2021,World,Minerals,Export,Export(US$ Mil),330.948563
Croatia,2021,World,Stone and Glass,Export,Export(US$ Mil),637.751937
Croatia,2021,World,Capital goods,Export,Export(US$ Mil),4325.790315
Croatia,2021,World,Hides and Skins,Export,Export(US$ Mil),239.38725
Croatia,2021,World,Miscellaneous,Export,Export(US$ Mil),1235.277487
Croatia,2021,World,Vegetable,Export,Export(US$ Mil),1064.685765
Croatia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1059.257141
Croatia,2021,World,Intermediate goods,Export,Export(US$ Mil),5248.275307
Croatia,2021,World,Chemicals,Export,Export(US$ Mil),2315.091336
Croatia,2021,World,Mach and Elec,Export,Export(US$ Mil),3623.933997
Croatia,2021,World,Animal,Export,Export(US$ Mil),648.92826
Croatia,2021,World,Wood,Export,Export(US$ Mil),1763.758797
Croatia,2021,World,Raw materials,Export,Export(US$ Mil),3293.945397
Croatia,2021,World,Intermediate goods,Import,Import(US$ Mil),9050.04967499999
Croatia,2021,World,Consumer goods,Import,Import(US$ Mil),15230.963587
Croatia,2021,World,Capital goods,Import,Import(US$ Mil),6419.935201
Croatia,2021,World,Raw materials,Import,Import(US$ Mil),3023.126911
Croatia,2021,World,All Products,Export,Exports (in US$ Mil),21827.948964
Croatia,2021,World,All Products,Import,Imports (in US$ Mil),33735.256498
Croatia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5422204.076
Croatia,2021,...,...,Tariff,No. Of Tariff Agreement,
Croatia,2021,...,...,Import,No. Of Import partners,167
Croatia,2021,...,...,Import,No. Of Import products,4325
Croatia,2021,...,...,Export,No. Of Export partners,183
Croatia,2021,...,...,Export,No. Of Export products,3917
Croatia,2018,...,...,Others,Population,4089400
Croatia,2019,...,...,Others,Ease of Doing Business Rank,51
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0622957
Croatia,2016,...,...,Others,LPI Score,3.160829
Croatia,2019,...,...,Others,Trading Across Borders Rank,1
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0213094
Croatia,2016,...,...,Others,LPI Rank,51
Croatia,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,13.0782
Croatia,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.327
Croatia,2021,Slovenia,All Products,Export,Partner share(%)-Top 5 Export Partner,10.7405
Croatia,2021,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8542
Croatia,2021,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2441
Croatia,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,14.7883
Croatia,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,12.5925
Croatia,2021,Slovenia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9452
Croatia,2021,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4051
Croatia,2021,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2657
Croatia,2021,World,Food Products,Export,Export Product share(%),7.1885
Croatia,2021,World,Footwear,Export,Export Product share(%),1.6718
Croatia,2021,World,Consumer goods,Export,Export Product share(%),40.9527
Croatia,2021,World,Fuels,Export,Export Product share(%),11.8834
Croatia,2021,World,Metals,Export,Export Product share(%),9.968
Croatia,2021,World,Minerals,Export,Export Product share(%),1.5162
Croatia,2021,World,Stone and Glass,Export,Export Product share(%),2.9217
Croatia,2021,World,Capital goods,Export,Export Product share(%),19.8177
Croatia,2021,World,Animal,Export,Export Product share(%),2.9729
Croatia,2021,World,Wood,Export,Export Product share(%),8.0803
Croatia,2021,World,Raw materials,Export,Export Product share(%),15.0905
Croatia,2021,World,Chemicals,Export,Export Product share(%),10.6061
Croatia,2021,World,Mach and Elec,Export,Export Product share(%),16.6023
Croatia,2021,World,Vegetable,Export,Export Product share(%),4.8776
Croatia,2021,World,Textiles and Clothing,Export,Export Product share(%),4.8528
Croatia,2021,World,Intermediate goods,Export,Export Product share(%),24.0438
Croatia,2021,World,Hides and Skins,Export,Export Product share(%),1.0967
Croatia,2021,World,Miscellaneous,Export,Export Product share(%),5.6592
Croatia,2021,World,Plastic or Rubber,Export,Export Product share(%),3.8318
Croatia,2021,World,Transportation,Export,Export Product share(%),6.2708
Croatia,2021,World,Consumer goods,Import,Import Product share(%),45.1485
Croatia,2021,World,Intermediate goods,Import,Import Product share(%),26.8267
Croatia,2021,World,Capital goods,Import,Import Product share(%),19.0303
Croatia,2021,World,Raw materials,Import,Import Product share(%),8.9613
Croatia,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.23392714957859
Croatia,2021,World,Consumer goods,Tariff,Weighted Average (%),2.13369813967785
Croatia,2021,World,Capital goods,Tariff,Weighted Average (%),0.892853706072344
Croatia,2021,World,Raw materials,Tariff,Weighted Average (%),0.717909905087365
Croatia,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
