Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Indonesia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53781.9044978621
Indonesia,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25820.254775388
Indonesia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17855.409214892
Indonesia,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13289.379460641
Indonesia,2021,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12006.46960364
Indonesia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56227.202302
Indonesia,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15451.68394
Indonesia,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14644.286874
Indonesia,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11308.706993
Indonesia,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9451.030469
Indonesia,2021,World,Food Products,Export,Export(US$ Mil),9805.851813568
Indonesia,2021,World,Footwear,Export,Export(US$ Mil),6669.050359429
Indonesia,2021,World,Consumer goods,Export,Export(US$ Mil),85366.235772071
Indonesia,2021,World,Vegetable,Export,Export(US$ Mil),42529.210430627
Indonesia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),13016.465092764
Indonesia,2021,World,Intermediate goods,Export,Export(US$ Mil),73390.365963656
Indonesia,2021,World,Animal,Export,Export(US$ Mil),4144.026181802
Indonesia,2021,World,Wood,Export,Export(US$ Mil),12737.40295386
Indonesia,2021,World,Raw materials,Export,Export(US$ Mil),53358.771085999
Indonesia,2021,World,Minerals,Export,Export(US$ Mil),6876.851352467
Indonesia,2021,World,Stone and Glass,Export,Export(US$ Mil),6259.913801251
Indonesia,2021,World,Capital goods,Export,Export(US$ Mil),18154.502916749
Indonesia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),10004.109690001
Indonesia,2021,World,Transportation,Export,Export(US$ Mil),8897.890757424
Indonesia,2021,World,Fuels,Export,Export(US$ Mil),45111.943901641
Indonesia,2021,World,Metals,Export,Export(US$ Mil),30438.575850918
Indonesia,2021,World,Chemicals,Export,Export(US$ Mil),10400.434994567
Indonesia,2021,World,Mach and Elec,Export,Export(US$ Mil),18073.745728645
Indonesia,2021,World,Hides and Skins,Export,Export(US$ Mil),1089.906167228
Indonesia,2021,World,Miscellaneous,Export,Export(US$ Mil),5467.079052608
Indonesia,2021,World,Consumer goods,Import,Import(US$ Mil),42638.400846
Indonesia,2021,World,Intermediate goods,Import,Import(US$ Mil),70668.842322
Indonesia,2021,World,Capital goods,Import,Import(US$ Mil),54835.673116
Indonesia,2021,World,Raw materials,Import,Import(US$ Mil),27511.700374
Indonesia,2021,World,All Products,Export,Exports (in US$ Mil),231522.4581288
Indonesia,2021,World,All Products,Import,Imports (in US$ Mil),196189.955586
Indonesia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),128537934.632
Indonesia,2021,...,...,Tariff,No. Of Tariff Agreement,11
Indonesia,2021,...,...,Import,No. Of Import partners,221
Indonesia,2021,...,...,Import,No. Of Import products,4417
Indonesia,2021,...,...,Export,No. Of Export partners,213
Indonesia,2021,...,...,Export,No. Of Export products,3938
Indonesia,2019,...,...,Others,Trading Across Borders Rank,116
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0474693
Indonesia,2019,...,...,Others,Ease of Doing Business Rank,73
Indonesia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3622
Indonesia,2015,...,...,Others,No Of NTM Measures,64
Indonesia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0787497
Indonesia,2016,...,...,Others,LPI Score,2.984537
Indonesia,2006,...,...,Others,CPIA Trade Ratings,4.5
Indonesia,,...,...,Others,Services Trade Restrictions Index - Over All,50
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.406973124
Indonesia,2018,...,...,Others,Population,267663435
Indonesia,2016,...,...,Others,LPI Rank,63
Indonesia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.820999622
Indonesia,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,23.2297
Indonesia,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,11.1524
Indonesia,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7122
Indonesia,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.74
Indonesia,2021,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1859
Indonesia,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,28.6596
Indonesia,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8759
Indonesia,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4643
Indonesia,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7642
Indonesia,2021,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8173
Indonesia,2021,World,Vegetable,Export,Export Product share(%),18.3694
Indonesia,2021,World,Textiles and Clothing,Export,Export Product share(%),5.6221
Indonesia,2021,World,Intermediate goods,Export,Export Product share(%),31.699
Indonesia,2021,World,Food Products,Export,Export Product share(%),4.2354
Indonesia,2021,World,Footwear,Export,Export Product share(%),2.8805
Indonesia,2021,World,Consumer goods,Export,Export Product share(%),36.8717
Indonesia,2021,World,Animal,Export,Export Product share(%),1.7899
Indonesia,2021,World,Wood,Export,Export Product share(%),5.5016
Indonesia,2021,World,Raw materials,Export,Export Product share(%),23.0469
Indonesia,2021,World,Fuels,Export,Export Product share(%),19.4849
Indonesia,2021,World,Metals,Export,Export Product share(%),13.1471
Indonesia,2021,World,Minerals,Export,Export Product share(%),2.9703
Indonesia,2021,World,Stone and Glass,Export,Export Product share(%),2.7038
Indonesia,2021,World,Capital goods,Export,Export Product share(%),7.8414
Indonesia,2021,World,Chemicals,Export,Export Product share(%),4.4922
Indonesia,2021,World,Mach and Elec,Export,Export Product share(%),7.8065
Indonesia,2021,World,Plastic or Rubber,Export,Export Product share(%),4.321
Indonesia,2021,World,Transportation,Export,Export Product share(%),3.8432
Indonesia,2021,World,Hides and Skins,Export,Export Product share(%),0.4708
Indonesia,2021,World,Miscellaneous,Export,Export Product share(%),2.3614
Indonesia,2021,World,Capital goods,Import,Import Product share(%),27.9503
Indonesia,2021,World,Consumer goods,Import,Import Product share(%),21.7332
Indonesia,2021,World,Raw materials,Import,Import Product share(%),14.023
Indonesia,2021,World,Intermediate goods,Import,Import Product share(%),36.0206
Indonesia,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.7697613464121
Indonesia,2021,World,Raw materials,Tariff,Weighted Average (%),0.841491053902005
Indonesia,2021,World,Capital goods,Tariff,Weighted Average (%),0.980659300390484
Indonesia,2021,World,Consumer goods,Tariff,Weighted Average (%),3.93230198168414
Indonesia,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Indonesia,2021,World,All Products,Trade Indicator,Country Growth (%),18.6511273788179
Indonesia,2021,World,All Products,Tariff,Simple Average (%),6.01887539993778
Indonesia,2021,World,All Products,Tariff,Weighted Average (%),1.83462150233816
Indonesia,2021,World,All Products,Tariff,Maximum Rate (%),150
Indonesia,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),37.7769810594799
Indonesia,2021,...,...,Trade Indicator,Index of export market penetration,14.1603557615345
