Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ireland,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62173.5442395143
Ireland,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21505.0529500648
Ireland,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21021.6635376798
Ireland,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16001.9787456699
Ireland,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13243.4443069712
Ireland,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23070.6655546068
Ireland,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21435.9988250146
Ireland,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12200.1832335122
Ireland,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9996.87758514587
Ireland,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8630.40775196589
Ireland,2021,World,Vegetable,Export,Export(US$ Mil),642.68189449247
Ireland,2021,World,Textiles and Clothing,Export,Export(US$ Mil),629.170045653112
Ireland,2021,World,Intermediate goods,Export,Export(US$ Mil),101859.630567487
Ireland,2021,World,Food Products,Export,Export(US$ Mil),7125.46975607814
Ireland,2021,World,Footwear,Export,Export(US$ Mil),49.7033687925911
Ireland,2021,World,Consumer goods,Export,Export(US$ Mil),46400.969909636
Ireland,2021,World,Fuels,Export,Export(US$ Mil),1121.00556862725
Ireland,2021,World,Metals,Export,Export(US$ Mil),1704.37402889234
Ireland,2021,World,Minerals,Export,Export(US$ Mil),524.531827687101
Ireland,2021,World,Stone and Glass,Export,Export(US$ Mil),1751.58459980152
Ireland,2021,World,Capital goods,Export,Export(US$ Mil),39993.8729027259
Ireland,2021,World,Animal,Export,Export(US$ Mil),8977.95665084573
Ireland,2021,World,Wood,Export,Export(US$ Mil),1260.17162026505
Ireland,2021,World,Raw materials,Export,Export(US$ Mil),6767.23178132691
Ireland,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2757.71063760068
Ireland,2021,World,Transportation,Export,Export(US$ Mil),4400.74011351401
Ireland,2021,World,Chemicals,Export,Export(US$ Mil),120674.383159189
Ireland,2021,World,Mach and Elec,Export,Export(US$ Mil),25338.0416009861
Ireland,2021,World,Hides and Skins,Export,Export(US$ Mil),174.30928993044
Ireland,2021,World,Miscellaneous,Export,Export(US$ Mil),18866.0417384887
Ireland,2021,World,Consumer goods,Import,Import(US$ Mil),38014.8184256762
Ireland,2021,World,Intermediate goods,Import,Import(US$ Mil),29813.2442022928
Ireland,2021,World,Raw materials,Import,Import(US$ Mil),5965.57923546177
Ireland,2021,World,Capital goods,Import,Import(US$ Mil),46798.280539629
Ireland,2021,World,All Products,Export,Exports (in US$ Mil),195997.875900844
Ireland,2021,World,All Products,Import,Imports (in US$ Mil),122755.296375445
Ireland,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),54865213.0348722
Ireland,2021,...,...,Tariff,No. Of Tariff Agreement,
Ireland,2021,...,...,Import,No. Of Import partners,234
Ireland,2021,...,...,Import,No. Of Import products,4486
Ireland,2021,...,...,Export,No. Of Export partners,212
Ireland,2021,...,...,Export,No. Of Export products,4062
Ireland,2019,...,...,Others,Ease of Doing Business Rank,24
Ireland,2019,...,...,Others,Trading Across Borders Rank,52
