Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Iran, Islamic Rep.",2018,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41581.5753465
"Iran, Islamic Rep.",2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11838.95971466
"Iran, Islamic Rep.",2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9217.702138
"Iran, Islamic Rep.",2018,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8960.694438
"Iran, Islamic Rep.",2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5949.21974
"Iran, Islamic Rep.",2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10248.562382
"Iran, Islamic Rep.",2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5706.468412
"Iran, Islamic Rep.",2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2650.200455
"Iran, Islamic Rep.",2018,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2580.424311
"Iran, Islamic Rep.",2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2451.766032
"Iran, Islamic Rep.",2018,World,Fuels,Export,Export(US$ Mil),66366.80198316
"Iran, Islamic Rep.",2018,World,Metals,Export,Export(US$ Mil),5874.026172
"Iran, Islamic Rep.",2018,World,Minerals,Export,Export(US$ Mil),1923.663116
"Iran, Islamic Rep.",2018,World,Stone and Glass,Export,Export(US$ Mil),1134.471056
"Iran, Islamic Rep.",2018,World,Capital goods,Export,Export(US$ Mil),1539.344867
"Iran, Islamic Rep.",2018,World,Food Products,Export,Export(US$ Mil),1710.723702
"Iran, Islamic Rep.",2018,World,Footwear,Export,Export(US$ Mil),117.821793
"Iran, Islamic Rep.",2018,World,Consumer goods,Export,Export(US$ Mil),20944.91288116
