Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Iraq,2014,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,84303.3
Iraq,2014,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,128.67623
Iraq,2014,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.601642
Iraq,2014,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.742636
Iraq,2014,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.592077
Iraq,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10506.358149
Iraq,2014,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5535.408575
Iraq,2014,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5225.900034
Iraq,2014,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2904.516181
Iraq,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2431.056363
Iraq,2014,World,Fuels,Export,Export(US$ Mil),84409.749142
Iraq,2014,World,Metals,Export,Export(US$ Mil),
Iraq,2014,World,Animal,Export,Export(US$ Mil),3.231875
Iraq,2014,World,Wood,Export,Export(US$ Mil),
Iraq,2014,World,Raw materials,Export,Export(US$ Mil),84151.210813
Iraq,2014,World,Vegetable,Export,Export(US$ Mil),6.3089
Iraq,2014,World,Textiles and Clothing,Export,Export(US$ Mil),0.2185
Iraq,2014,World,Intermediate goods,Export,Export(US$ Mil),50.322396
Iraq,2014,World,Chemicals,Export,Export(US$ Mil),66.315981
Iraq,2014,World,Mach and Elec,Export,Export(US$ Mil),0.005397
Iraq,2014,World,Plastic or Rubber,Export,Export(US$ Mil),0.125
Iraq,2014,World,Transportation,Export,Export(US$ Mil),
Iraq,2014,World,Food Products,Export,Export(US$ Mil),1.387376
Iraq,2014,World,Footwear,Export,Export(US$ Mil),
Iraq,2014,World,Consumer goods,Export,Export(US$ Mil),304.497959
Iraq,2014,World,Minerals,Export,Export(US$ Mil),
Iraq,2014,World,Stone and Glass,Export,Export(US$ Mil),
Iraq,2014,World,Capital goods,Export,Export(US$ Mil),0.005397
Iraq,2014,World,Hides and Skins,Export,Export(US$ Mil),18.683894
Iraq,2014,World,Miscellaneous,Export,Export(US$ Mil),0.0105
Iraq,2014,World,Intermediate goods,Import,Import(US$ Mil),11717.527473
Iraq,2014,World,Capital goods,Import,Import(US$ Mil),7043.661395
Iraq,2014,World,Consumer goods,Import,Import(US$ Mil),16272.823619
Iraq,2014,World,Raw materials,Import,Import(US$ Mil),2030.26928
Iraq,2014,World,All Products,Export,Exports (in US$ Mil),84506.036565
Iraq,2014,World,All Products,Import,Imports (in US$ Mil),37064.4765
Iraq,2014,...,...,Import,No. Of Import partners,89
Iraq,2014,...,...,Import,No. Of Import products,1280
Iraq,2014,...,...,Export,No. Of Export partners,16
Iraq,2014,...,...,Export,No. Of Export products,21
Iraq,2018,...,...,Others,Population,38433600
Iraq,2019,...,...,Others,Ease of Doing Business Rank,172
Iraq,2016,...,...,Others,LPI Score,2.149902
Iraq,2019,...,...,Others,Trading Across Borders Rank,181
Iraq,2016,...,...,Others,LPI Rank,149
Iraq,2014,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,99.7601
Iraq,2014,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,0.1523
Iraq,2014,Syrian Arab Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,0.0398
Iraq,2014,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,0.021
Iraq,2014,Jordan,All Products,Export,Partner share(%)-Top 5 Export Partner,0.0161
Iraq,2014,China,All Products,Import,Partner share(%)-Top 5 Import Partner,28.3462
Iraq,2014,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,14.9345
Iraq,2014,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,14.0995
Iraq,2014,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,7.8364
Iraq,2014,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.559
Iraq,2014,World,Chemicals,Export,Export Product share(%),0.0785
Iraq,2014,World,Mach and Elec,Export,Export Product share(%),0
Iraq,2014,World,Minerals,Export,Export Product share(%),
Iraq,2014,World,Stone and Glass,Export,Export Product share(%),
Iraq,2014,World,Capital goods,Export,Export Product share(%),0
Iraq,2014,World,Plastic or Rubber,Export,Export Product share(%),0.0001
Iraq,2014,World,Transportation,Export,Export Product share(%),
Iraq,2014,World,Food Products,Export,Export Product share(%),0.0016
Iraq,2014,World,Footwear,Export,Export Product share(%),
Iraq,2014,World,Consumer goods,Export,Export Product share(%),0.3603
Iraq,2014,World,Fuels,Export,Export Product share(%),99.8861
Iraq,2014,World,Metals,Export,Export Product share(%),
Iraq,2014,World,Animal,Export,Export Product share(%),0.0038
Iraq,2014,World,Wood,Export,Export Product share(%),
Iraq,2014,World,Raw materials,Export,Export Product share(%),99.5801
Iraq,2014,World,Vegetable,Export,Export Product share(%),0.0075
Iraq,2014,World,Textiles and Clothing,Export,Export Product share(%),0.0003
Iraq,2014,World,Intermediate goods,Export,Export Product share(%),0.0595
Iraq,2014,World,Hides and Skins,Export,Export Product share(%),0.0221
Iraq,2014,World,Miscellaneous,Export,Export Product share(%),0
Iraq,2014,World,Intermediate goods,Import,Import Product share(%),31.6139
Iraq,2014,World,Capital goods,Import,Import Product share(%),19.0038
Iraq,2014,World,Raw materials,Import,Import Product share(%),5.4777
Iraq,2014,World,Consumer goods,Import,Import Product share(%),43.9041
Iraq,2014,World,All Products,Trade Indicator,World Growth (%),0.234767613927778
Iraq,2014,World,All Products,Trade Indicator,Country Growth (%),-1.71930769449535
Iraq,2014,...,...,Trade Indicator,Index of export market penetration,1.56249362060026
Iraq,2014,...,...,Trade Indicator,HH Market concentration index,0.125581836966006
