Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Italy,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,79761.1264947147
Italy,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63223.8154159735
Italy,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,58372.6342308338
Italy,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,32226.6867762936
Italy,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30989.5305042179
Italy,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,91042.4008177894
Italy,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46207.8557134766
Italy,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45626.7103496392
Italy,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33147.09453213
Italy,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30110.944646809
Italy,2021,World,Vegetable,Export,Export(US$ Mil),16344.9404004503
Italy,2021,World,Textiles and Clothing,Export,Export(US$ Mil),37681.0093488304
Italy,2021,World,Intermediate goods,Export,Export(US$ Mil),132727.215326311
Italy,2021,World,Food Products,Export,Export(US$ Mil),37445.2348983433
Italy,2021,World,Footwear,Export,Export(US$ Mil),13990.1150062941
Italy,2021,World,Consumer goods,Export,Export(US$ Mil),268007.189048666
Italy,2021,World,Plastic or Rubber,Export,Export(US$ Mil),32373.7816244673
Italy,2021,World,Transportation,Export,Export(US$ Mil),59880.0528033494
Italy,2021,World,Minerals,Export,Export(US$ Mil),1441.18767933652
Italy,2021,World,Stone and Glass,Export,Export(US$ Mil),33708.1482782759
Italy,2021,World,Capital goods,Export,Export(US$ Mil),178723.885627878
Italy,2021,World,Chemicals,Export,Export(US$ Mil),69497.185695764
Italy,2021,World,Mach and Elec,Export,Export(US$ Mil),146259.973249702
Italy,2021,World,Fuels,Export,Export(US$ Mil),18338.8870954586
Italy,2021,World,Metals,Export,Export(US$ Mil),62016.6195065229
Italy,2021,World,Animal,Export,Export(US$ Mil),8736.30677701605
Italy,2021,World,Wood,Export,Export(US$ Mil),12958.9674573743
Italy,2021,World,Raw materials,Export,Export(US$ Mil),17948.9282514966
Italy,2021,World,Hides and Skins,Export,Export(US$ Mil),16157.3546849564
Italy,2021,World,Miscellaneous,Export,Export(US$ Mil),49080.4955546328
Italy,2021,World,Intermediate goods,Import,Import(US$ Mil),171618.266456479
Italy,2021,World,Capital goods,Import,Import(US$ Mil),122471.23123775
Italy,2021,World,Consumer goods,Import,Import(US$ Mil),193774.326763834
Italy,2021,World,Raw materials,Import,Import(US$ Mil),73409.58570261
Italy,2021,World,All Products,Export,Exports (in US$ Mil),615910.260060774
Italy,2021,World,All Products,Import,Imports (in US$ Mil),568202.425245631
Italy,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),171168663.212068
Italy,2021,...,...,Tariff,No. Of Tariff Agreement,
Italy,2021,...,...,Import,No. Of Import partners,217
Italy,2021,...,...,Import,No. Of Import products,4528
Italy,2021,...,...,Export,No. Of Export partners,226
Italy,2021,...,...,Export,No. Of Export products,4422
Italy,2019,...,...,Others,Ease of Doing Business Rank,58
Italy,2019,...,...,Others,Trading Across Borders Rank,1
Italy,2018,...,...,Others,Population,60431283
Italy,2016,...,...,Others,LPI Score,3.755414
Italy,,...,...,Others,Services Trade Restrictions Index - Over All,26.9
Italy,2016,...,...,Others,LPI Rank,21
Italy,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.9501
Italy,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,10.2651
Italy,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4775
Italy,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2324
Italy,2021,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0315
Italy,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,16.0229
Italy,2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1323
Italy,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.03
Italy,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8337
Italy,2021,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2993
Italy,2021,World,Vegetable,Export,Export Product share(%),2.6538
Italy,2021,World,Textiles and Clothing,Export,Export Product share(%),6.1179
Italy,2021,World,Intermediate goods,Export,Export Product share(%),21.5498
Italy,2021,World,Food Products,Export,Export Product share(%),6.0797
Italy,2021,World,Footwear,Export,Export Product share(%),2.2715
Italy,2021,World,Consumer goods,Export,Export Product share(%),43.514
Italy,2021,World,Chemicals,Export,Export Product share(%),11.2837
Italy,2021,World,Mach and Elec,Export,Export Product share(%),23.747
Italy,2021,World,Minerals,Export,Export Product share(%),0.234
Italy,2021,World,Stone and Glass,Export,Export Product share(%),5.4729
Italy,2021,World,Capital goods,Export,Export Product share(%),29.0178
Italy,2021,World,Animal,Export,Export Product share(%),1.4184
Italy,2021,World,Wood,Export,Export Product share(%),2.104
Italy,2021,World,Raw materials,Export,Export Product share(%),2.9142
Italy,2021,World,Plastic or Rubber,Export,Export Product share(%),5.2562
Italy,2021,World,Transportation,Export,Export Product share(%),9.7222
Italy,2021,World,Fuels,Export,Export Product share(%),2.9775
Italy,2021,World,Metals,Export,Export Product share(%),10.0691
Italy,2021,World,Hides and Skins,Export,Export Product share(%),2.6233
Italy,2021,World,Miscellaneous,Export,Export Product share(%),7.9688
Italy,2021,World,Consumer goods,Import,Import Product share(%),34.103
Italy,2021,World,Intermediate goods,Import,Import Product share(%),30.2037
Italy,2021,World,Capital goods,Import,Import Product share(%),21.5542
Italy,2021,World,Raw materials,Import,Import Product share(%),12.9196
Italy,2021,World,Consumer goods,Tariff,Weighted Average (%),2.04902545646136
Italy,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.21949371145127
Italy,2021,World,Raw materials,Tariff,Weighted Average (%),0.713279615979512
Italy,2021,World,Capital goods,Tariff,Weighted Average (%),0.898080506546795
Italy,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Italy,2021,World,All Products,Trade Indicator,Country Growth (%),11.591404285209
Italy,2021,World,All Products,Tariff,Simple Average (%),2.0840685786886
Italy,2021,World,All Products,Tariff,Weighted Average (%),1.40000527903
Italy,2021,World,All Products,Tariff,Maximum Rate (%),209.190093994141
Italy,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),63.2348315466424
Italy,2021,...,...,Trade Indicator,Index of export market penetration,37.7279902248699
Italy,2021,...,...,Trade Indicator,HH Market concentration index,0.0440226095784801
