Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jamaica,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,730.334144000001
Jamaica,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,146.81536106
Jamaica,2021,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,98.3877515000001
Jamaica,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63.68966767
Jamaica,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44.17036434
Jamaica,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2438.78017129001
Jamaica,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,514.33738816
Jamaica,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,463.88778291
Jamaica,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,206.29845267
Jamaica,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,189.84544102
Jamaica,2021,World,Food Products,Export,Export(US$ Mil),327.21882148
Jamaica,2021,World,Footwear,Export,Export(US$ Mil),0.3206158
Jamaica,2021,World,Consumer goods,Export,Export(US$ Mil),837.708284620001
Jamaica,2021,World,Vegetable,Export,Export(US$ Mil),56.25819212
Jamaica,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1.40124973
Jamaica,2021,World,Intermediate goods,Export,Export(US$ Mil),430.4988123
Jamaica,2021,World,Animal,Export,Export(US$ Mil),36.67507077
Jamaica,2021,World,Wood,Export,Export(US$ Mil),6.10061956
Jamaica,2021,World,Raw materials,Export,Export(US$ Mil),152.30580493
Jamaica,2021,World,Minerals,Export,Export(US$ Mil),78.02759287
Jamaica,2021,World,Stone and Glass,Export,Export(US$ Mil),2.84536375
Jamaica,2021,World,Capital goods,Export,Export(US$ Mil),14.54937624
Jamaica,2021,World,Plastic or Rubber,Export,Export(US$ Mil),7.03627031
Jamaica,2021,World,Transportation,Export,Export(US$ Mil),2.23025593
Jamaica,2021,World,Fuels,Export,Export(US$ Mil),468.9340805
Jamaica,2021,World,Metals,Export,Export(US$ Mil),12.20503939
Jamaica,2021,World,Chemicals,Export,Export(US$ Mil),419.0190314
