Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jordan,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2311.74919950137
Jordan,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1281.81797809821
Jordan,2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1067.57096538884
Jordan,2021,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,788.437557085392
Jordan,2021,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,615.170846605192
Jordan,2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3214.4152367652
Jordan,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3141.0647546754
Jordan,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1428.36262875717
Jordan,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1391.49351733256
Jordan,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,766.593670841064
Jordan,2021,World,Chemicals,Export,Export(US$ Mil),3382.10188544524
Jordan,2021,World,Mach and Elec,Export,Export(US$ Mil),444.739801116485
Jordan,2021,World,Food Products,Export,Export(US$ Mil),473.580316635597
Jordan,2021,World,Footwear,Export,Export(US$ Mil),3.20038906082137
Jordan,2021,World,Consumer goods,Export,Export(US$ Mil),4101.92159503226
Jordan,2021,World,Minerals,Export,Export(US$ Mil),614.373793494907
Jordan,2021,World,Stone and Glass,Export,Export(US$ Mil),286.982437617926
Jordan,2021,World,Capital goods,Export,Export(US$ Mil),491.724909327643
Jordan,2021,World,Animal,Export,Export(US$ Mil),237.799217934489
Jordan,2021,World,Wood,Export,Export(US$ Mil),173.337908141958
Jordan,2021,World,Raw materials,Export,Export(US$ Mil),1400.61792786857
Jordan,2021,World,Plastic or Rubber,Export,Export(US$ Mil),260.789296527491
Jordan,2021,World,Transportation,Export,Export(US$ Mil),170.424919122528
Jordan,2021,World,Hides and Skins,Export,Export(US$ Mil),3.98891118521636
Jordan,2021,World,Miscellaneous,Export,Export(US$ Mil),131.945524533741
Jordan,2021,World,Fuels,Export,Export(US$ Mil),69.0633829477394
Jordan,2021,World,Metals,Export,Export(US$ Mil),572.883233577124
Jordan,2021,World,Vegetable,Export,Export(US$ Mil),627.040087330147
Jordan,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1904.29891582231
Jordan,2021,World,Intermediate goods,Export,Export(US$ Mil),3346.50055394642
Jordan,2021,World,Intermediate goods,Import,Import(US$ Mil),5915.26009467675
Jordan,2021,World,Consumer goods,Import,Import(US$ Mil),8058.30208137439
Jordan,2021,World,Raw materials,Import,Import(US$ Mil),3420.87688204722
Jordan,2021,World,Capital goods,Import,Import(US$ Mil),3011.96154906271
Jordan,2021,World,All Products,Export,Exports (in US$ Mil),9356.55002049373
Jordan,2021,World,All Products,Import,Imports (in US$ Mil),21542.4345673163
Jordan,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11313835.0237922
Jordan,2020,...,...,Tariff,No. Of Tariff Agreement,23
Jordan,2021,...,...,Import,No. Of Import partners,144
Jordan,2021,...,...,Import,No. Of Import products,3620
Jordan,2021,...,...,Export,No. Of Export partners,148
Jordan,2021,...,...,Export,No. Of Export products,2021
Jordan,,...,...,Others,Services Trade Restrictions Index - Over All,42.3
Jordan,2018,...,...,Others,Population,9956011
Jordan,2016,...,...,Others,LPI Score,2.956611
Jordan,2016,...,...,Others,LPI Rank,67
Jordan,2019,...,...,Others,Trading Across Borders Rank,75
Jordan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2234741
Jordan,2019,...,...,Others,Ease of Doing Business Rank,75
Jordan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2564379
Jordan,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,24.7073
Jordan,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,13.6997
Jordan,2021,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4099
Jordan,2021,Free Zones,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4266
Jordan,2021,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5748
Jordan,2021,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,14.9213
Jordan,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.5808
Jordan,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6305
Jordan,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4593
Jordan,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.5585
Jordan,2021,World,Vegetable,Export,Export Product share(%),6.7016
Jordan,2021,World,Textiles and Clothing,Export,Export Product share(%),20.3526
Jordan,2021,World,Intermediate goods,Export,Export Product share(%),35.7664
Jordan,2021,World,Food Products,Export,Export Product share(%),5.0615
Jordan,2021,World,Footwear,Export,Export Product share(%),0.0342
Jordan,2021,World,Consumer goods,Export,Export Product share(%),43.8401
Jordan,2021,World,Minerals,Export,Export Product share(%),6.5662
Jordan,2021,World,Stone and Glass,Export,Export Product share(%),3.0672
Jordan,2021,World,Capital goods,Export,Export Product share(%),5.2554
Jordan,2021,World,Chemicals,Export,Export Product share(%),36.1469
Jordan,2021,World,Mach and Elec,Export,Export Product share(%),4.7532
Jordan,2021,World,Hides and Skins,Export,Export Product share(%),0.0426
Jordan,2021,World,Miscellaneous,Export,Export Product share(%),1.4102
Jordan,2021,World,Plastic or Rubber,Export,Export Product share(%),2.7872
Jordan,2021,World,Transportation,Export,Export Product share(%),1.8215
Jordan,2021,World,Animal,Export,Export Product share(%),2.5415
Jordan,2021,World,Wood,Export,Export Product share(%),1.8526
Jordan,2021,World,Raw materials,Export,Export Product share(%),14.9694
Jordan,2021,World,Fuels,Export,Export Product share(%),0.7381
Jordan,2021,World,Metals,Export,Export Product share(%),6.1228
Jordan,2021,World,Consumer goods,Import,Import Product share(%),37.4066
Jordan,2021,World,Intermediate goods,Import,Import Product share(%),27.4586
Jordan,2021,World,Raw materials,Import,Import Product share(%),15.8797
Jordan,2021,World,Capital goods,Import,Import Product share(%),13.9815
Jordan,2020,World,Consumer goods,Tariff,Weighted Average (%),5.66094098340492
Jordan,2020,World,Raw materials,Tariff,Weighted Average (%),5.18960528367683
Jordan,2020,World,Capital goods,Tariff,Weighted Average (%),2.82019834716116
Jordan,2020,World,Intermediate goods,Tariff,Weighted Average (%),1.52060178653644
Jordan,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Jordan,2021,World,All Products,Trade Indicator,Country Growth (%),12.1158921939674
Jordan,2020,World,All Products,Tariff,Simple Average (%),5.22558623542712
Jordan,2020,World,All Products,Tariff,Weighted Average (%),3.98489256874209
Jordan,2020,World,All Products,Tariff,Maximum Rate (%),3000
Jordan,2020,World,All Products,Tariff,Duty Free Tariff Lines Share (%),80.9974320854169
Jordan,2021,...,...,Trade Indicator,Index of export market penetration,3.96102915359825
Jordan,2021,...,...,Trade Indicator,HH Market concentration index,0.128232361027434
