Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kazakhstan,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9772.50563304
Kazakhstan,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8889.09606214
Kazakhstan,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7018.74576426
Kazakhstan,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4384.19107353
Kazakhstan,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2964.66564832
Kazakhstan,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17605.49797534
Kazakhstan,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8228.45685318
Kazakhstan,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1814.82968599
Kazakhstan,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1361.5908124
Kazakhstan,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1146.38228336
Kazakhstan,2021,World,Food Products,Export,Export(US$ Mil),508.2235573
Kazakhstan,2021,World,Footwear,Export,Export(US$ Mil),4.77615641
Kazakhstan,2021,World,Consumer goods,Export,Export(US$ Mil),4372.94302449
Kazakhstan,2021,World,Vegetable,Export,Export(US$ Mil),2953.2506712
Kazakhstan,2021,World,Textiles and Clothing,Export,Export(US$ Mil),198.9215473
Kazakhstan,2021,World,Intermediate goods,Export,Export(US$ Mil),14795.94224136
Kazakhstan,2021,World,Fuels,Export,Export(US$ Mil),34820.91097453
Kazakhstan,2021,World,Metals,Export,Export(US$ Mil),10478.87269557
Kazakhstan,2021,World,Animal,Export,Export(US$ Mil),295.59498415
Kazakhstan,2021,World,Wood,Export,Export(US$ Mil),69.13372387
Kazakhstan,2021,World,Raw materials,Export,Export(US$ Mil),39573.69778764
Kazakhstan,2021,World,Chemicals,Export,Export(US$ Mil),2938.66773677
Kazakhstan,2021,World,Mach and Elec,Export,Export(US$ Mil),1273.43555106
Kazakhstan,2021,World,Plastic or Rubber,Export,Export(US$ Mil),205.59640124
Kazakhstan,2021,World,Transportation,Export,Export(US$ Mil),641.08174786
Kazakhstan,2021,World,Minerals,Export,Export(US$ Mil),4953.62024902
Kazakhstan,2021,World,Stone and Glass,Export,Export(US$ Mil),893.75507935
Kazakhstan,2021,World,Capital goods,Export,Export(US$ Mil),1576.36572611
Kazakhstan,2021,World,Hides and Skins,Export,Export(US$ Mil),10.33528745
Kazakhstan,2021,World,Miscellaneous,Export,Export(US$ Mil),74.84803733
Kazakhstan,2021,World,Consumer goods,Import,Import(US$ Mil),15297.71592721
Kazakhstan,2021,World,Intermediate goods,Import,Import(US$ Mil),9206.62534202001
Kazakhstan,2021,World,Raw materials,Import,Import(US$ Mil),2883.6292151
Kazakhstan,2021,World,Capital goods,Import,Import(US$ Mil),14007.37261876
Kazakhstan,2021,World,All Products,Export,Exports (in US$ Mil),60321.02440041
Kazakhstan,2021,World,All Products,Import,Imports (in US$ Mil),41415.39924372
Kazakhstan,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),24148742.686
Kazakhstan,2021,...,...,Tariff,No. Of Tariff Agreement,9
Kazakhstan,2021,...,...,Import,No. Of Import partners,173
