Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cambodia,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7490.96976711
Cambodia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1510.25315351
Cambodia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1093.62836082
Cambodia,2021,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,954.82778885
Cambodia,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,880.781827180001
Cambodia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9684.34639990001
Cambodia,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5096.98181208
Cambodia,2021,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3463.34513825001
Cambodia,2021,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3143.53491788
Cambodia,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,980.280742149999
Cambodia,2021,World,Animal,Export,Export(US$ Mil),2.2525303
Cambodia,2021,World,Wood,Export,Export(US$ Mil),361.08885261
Cambodia,2021,World,Raw materials,Export,Export(US$ Mil),674.02626546
Cambodia,2021,World,Vegetable,Export,Export(US$ Mil),743.81012535
Cambodia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),8357.91630556
Cambodia,2021,World,Intermediate goods,Export,Export(US$ Mil),1509.78026586
Cambodia,2021,World,Hides and Skins,Export,Export(US$ Mil),2080.85388329
Cambodia,2021,World,Miscellaneous,Export,Export(US$ Mil),992.96793453
Cambodia,2021,World,Chemicals,Export,Export(US$ Mil),92.02144089
Cambodia,2021,World,Mach and Elec,Export,Export(US$ Mil),1283.20841687
Cambodia,2021,World,Minerals,Export,Export(US$ Mil),12.74534646
Cambodia,2021,World,Stone and Glass,Export,Export(US$ Mil),175.11781749
Cambodia,2021,World,Capital goods,Export,Export(US$ Mil),842.09368417
Cambodia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),834.82986475
Cambodia,2021,World,Transportation,Export,Export(US$ Mil),700.87854634
Cambodia,2021,World,Fuels,Export,Export(US$ Mil),0.0027144
Cambodia,2021,World,Metals,Export,Export(US$ Mil),265.16033982
Cambodia,2021,World,Food Products,Export,Export(US$ Mil),176.65655345
Cambodia,2021,World,Footwear,Export,Export(US$ Mil),1492.27200037
Cambodia,2021,World,Consumer goods,Export,Export(US$ Mil),14544.2947926
Cambodia,2021,World,Consumer goods,Import,Import(US$ Mil),6877.74239283999
Cambodia,2021,World,Capital goods,Import,Import(US$ Mil),3390.00262979
Cambodia,2021,World,Raw materials,Import,Import(US$ Mil),1241.92361494
Cambodia,2021,World,Intermediate goods,Import,Import(US$ Mil),17183.96481169
Cambodia,2021,World,All Products,Export,Exports (in US$ Mil),17571.78267248
Cambodia,2021,World,All Products,Import,Imports (in US$ Mil),28702.76526656
Cambodia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),8148075.3995
Cambodia,2021,...,...,Tariff,No. Of Tariff Agreement,5
Cambodia,2021,...,...,Import,No. Of Import partners,145
Cambodia,2021,...,...,Import,No. Of Import products,3585
Cambodia,2021,...,...,Export,No. Of Export partners,154
Cambodia,2021,...,...,Export,No. Of Export products,1253
Cambodia,2019,...,...,Others,Trading Across Borders Rank,118
