Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Kitts and Nevis,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.8329749040393
St. Kitts and Nevis,2017,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.2662808263095
St. Kitts and Nevis,2017,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.1702581667767
St. Kitts and Nevis,2017,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.932729178381
St. Kitts and Nevis,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.7580193493873
St. Kitts and Nevis,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,207.145403258093
St. Kitts and Nevis,2017,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13.6157266990745
St. Kitts and Nevis,2017,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.2821197400942
St. Kitts and Nevis,2017,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.2090490464983
St. Kitts and Nevis,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7.9112602813244
St. Kitts and Nevis,2017,World,Plastic or Rubber,Export,Export(US$ Mil),0.268187176257
St. Kitts and Nevis,2017,World,Transportation,Export,Export(US$ Mil),0.3051066393375
St. Kitts and Nevis,2017,World,Chemicals,Export,Export(US$ Mil),0.0676658175193
St. Kitts and Nevis,2017,World,Mach and Elec,Export,Export(US$ Mil),19.4350655315817
St. Kitts and Nevis,2017,World,Minerals,Export,Export(US$ Mil),0.0771860561472
St. Kitts and Nevis,2017,World,Stone and Glass,Export,Export(US$ Mil),1.9970965843829
St. Kitts and Nevis,2017,World,Capital goods,Export,Export(US$ Mil),19.6419704802321
St. Kitts and Nevis,2017,World,Hides and Skins,Export,Export(US$ Mil),0.002094960868
St. Kitts and Nevis,2017,World,Miscellaneous,Export,Export(US$ Mil),0.8074641443869
