Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Korea, Rep.",2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,162912.971626
"Korea, Rep.",2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,96299.348465
"Korea, Rep.",2021,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56728.532105
"Korea, Rep.",2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37465.021175
"Korea, Rep.",2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30061.769927
"Korea, Rep.",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,138627.45637
"Korea, Rep.",2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,73659.005658
"Korea, Rep.",2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54641.466341
"Korea, Rep.",2021,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32916.488566
"Korea, Rep.",2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24271.348371
"Korea, Rep.",2021,World,Animal,Export,Export(US$ Mil),1713.728002
"Korea, Rep.",2021,World,Wood,Export,Export(US$ Mil),3422.321232
"Korea, Rep.",2021,World,Raw materials,Export,Export(US$ Mil),5470.916798
"Korea, Rep.",2021,World,Minerals,Export,Export(US$ Mil),2345.876496
"Korea, Rep.",2021,World,Stone and Glass,Export,Export(US$ Mil),8597.390964
"Korea, Rep.",2021,World,Capital goods,Export,Export(US$ Mil),319937.393
"Korea, Rep.",2021,World,Vegetable,Export,Export(US$ Mil),995.720765
"Korea, Rep.",2021,World,Textiles and Clothing,Export,Export(US$ Mil),12224.689501
"Korea, Rep.",2021,World,Intermediate goods,Export,Export(US$ Mil),162930.278026
"Korea, Rep.",2021,World,Food Products,Export,Export(US$ Mil),7390.538032
"Korea, Rep.",2021,World,Footwear,Export,Export(US$ Mil),654.340008
"Korea, Rep.",2021,World,Consumer goods,Export,Export(US$ Mil),155994.64929
"Korea, Rep.",2021,World,Fuels,Export,Export(US$ Mil),40012.148135
"Korea, Rep.",2021,World,Metals,Export,Export(US$ Mil),56936.764795
"Korea, Rep.",2021,World,Chemicals,Export,Export(US$ Mil),63523.381331
"Korea, Rep.",2021,World,Mach and Elec,Export,Export(US$ Mil),273757.873844
"Korea, Rep.",2021,World,Hides and Skins,Export,Export(US$ Mil),781.093046
"Korea, Rep.",2021,World,Miscellaneous,Export,Export(US$ Mil),29115.421219
"Korea, Rep.",2021,World,Plastic or Rubber,Export,Export(US$ Mil),51440.567231
"Korea, Rep.",2021,World,Transportation,Export,Export(US$ Mil),91461.082151
"Korea, Rep.",2021,World,Intermediate goods,Import,Import(US$ Mil),117720.761185
"Korea, Rep.",2021,World,Consumer goods,Import,Import(US$ Mil),154713.33025
"Korea, Rep.",2021,World,Raw materials,Import,Import(US$ Mil),140351.937802
"Korea, Rep.",2021,World,Capital goods,Import,Import(US$ Mil),202170.652568
"Korea, Rep.",2021,World,All Products,Export,Exports (in US$ Mil),644372.936752
"Korea, Rep.",2021,World,All Products,Import,Imports (in US$ Mil),615072.659909
"Korea, Rep.",2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),306767908.677
"Korea, Rep.",2021,...,...,Tariff,No. Of Tariff Agreement,33
"Korea, Rep.",2021,...,...,Import,No. Of Import partners,231
"Korea, Rep.",2021,...,...,Import,No. Of Import products,4482
