Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kuwait,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,57826.313946
Kuwait,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,804.703451
Kuwait,2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,727.992445
Kuwait,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,712.813843
Kuwait,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,701.847495
Kuwait,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5733.256569
Kuwait,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3789.754528
Kuwait,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2547.168584
Kuwait,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1836.713404
Kuwait,2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1696.291655
Kuwait,2021,World,Chemicals,Export,Export(US$ Mil),1944.970115
Kuwait,2021,World,Mach and Elec,Export,Export(US$ Mil),415.002567
Kuwait,2021,World,Plastic or Rubber,Export,Export(US$ Mil),419.972381
Kuwait,2021,World,Transportation,Export,Export(US$ Mil),1114.878678
Kuwait,2021,World,Vegetable,Export,Export(US$ Mil),87.532491
Kuwait,2021,World,Textiles and Clothing,Export,Export(US$ Mil),71.959977
Kuwait,2021,World,Intermediate goods,Export,Export(US$ Mil),2695.87681600001
Kuwait,2021,World,Minerals,Export,Export(US$ Mil),2.20913
Kuwait,2021,World,Stone and Glass,Export,Export(US$ Mil),134.634211
Kuwait,2021,World,Capital goods,Export,Export(US$ Mil),803.634391
Kuwait,2021,World,Fuels,Export,Export(US$ Mil),57861.52088
Kuwait,2021,World,Metals,Export,Export(US$ Mil),433.840046
Kuwait,2021,World,Food Products,Export,Export(US$ Mil),168.034858
Kuwait,2021,World,Footwear,Export,Export(US$ Mil),19.796868
Kuwait,2021,World,Consumer goods,Export,Export(US$ Mil),17610.632035
Kuwait,2021,World,Animal,Export,Export(US$ Mil),117.14284
Kuwait,2021,World,Wood,Export,Export(US$ Mil),106.789214
Kuwait,2021,World,Raw materials,Export,Export(US$ Mil),41953.760261
Kuwait,2021,World,Hides and Skins,Export,Export(US$ Mil),11.043787
Kuwait,2021,World,Miscellaneous,Export,Export(US$ Mil),220.365909
Kuwait,2021,World,Consumer goods,Import,Import(US$ Mil),16701.733392
Kuwait,2021,World,Capital goods,Import,Import(US$ Mil),5936.524055
Kuwait,2021,World,Intermediate goods,Import,Import(US$ Mil),6062.150921
Kuwait,2021,World,Raw materials,Import,Import(US$ Mil),3023.673654
Kuwait,2021,World,All Products,Export,Exports (in US$ Mil),63129.693952
Kuwait,2021,World,All Products,Import,Imports (in US$ Mil),31885.707161
Kuwait,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11627985.428
Kuwait,2021,...,...,Tariff,No. Of Tariff Agreement,5
Kuwait,2021,...,...,Import,No. Of Import partners,210
Kuwait,2021,...,...,Import,No. Of Import products,4100
Kuwait,2021,...,...,Export,No. Of Export partners,140
Kuwait,2021,...,...,Export,No. Of Export products,2391
Kuwait,2018,...,...,Others,Population,4137309
Kuwait,2019,...,...,Others,Ease of Doing Business Rank,83
Kuwait,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0434525
Kuwait,2016,...,...,Others,LPI Score,3.151619
Kuwait,2019,...,...,Others,Trading Across Borders Rank,162
Kuwait,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0379894
Kuwait,,...,...,Others,Services Trade Restrictions Index - Over All,51.8
Kuwait,2016,...,...,Others,LPI Rank,53
Kuwait,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,91.5992
Kuwait,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,1.2747
Kuwait,2021,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1532
Kuwait,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1291
Kuwait,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1118
Kuwait,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.9806
