Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lebanon,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1029.829192
Lebanon,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,428.71372
Lebanon,2021,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,282.710843
Lebanon,2021,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,203.199144
Lebanon,2021,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,174.993108
Lebanon,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1519.106034
Lebanon,2021,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1368.576518
Lebanon,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1269.748818
Lebanon,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,769.174576
Lebanon,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,766.635494
Lebanon,2021,World,Minerals,Export,Export(US$ Mil),1.561566
Lebanon,2021,World,Stone and Glass,Export,Export(US$ Mil),1072.037637
Lebanon,2021,World,Capital goods,Export,Export(US$ Mil),394.786988
Lebanon,2021,World,Fuels,Export,Export(US$ Mil),9.426675
Lebanon,2021,World,Metals,Export,Export(US$ Mil),477.122943
Lebanon,2021,World,Plastic or Rubber,Export,Export(US$ Mil),119.148653
Lebanon,2021,World,Transportation,Export,Export(US$ Mil),262.422797
Lebanon,2021,World,Chemicals,Export,Export(US$ Mil),350.980309
Lebanon,2021,World,Mach and Elec,Export,Export(US$ Mil),316.751558
Lebanon,2021,World,Vegetable,Export,Export(US$ Mil),557.264195
Lebanon,2021,World,Textiles and Clothing,Export,Export(US$ Mil),50.599927
Lebanon,2021,World,Intermediate goods,Export,Export(US$ Mil),924.829561999998
Lebanon,2021,World,Food Products,Export,Export(US$ Mil),417.33966
Lebanon,2021,World,Footwear,Export,Export(US$ Mil),4.945096
Lebanon,2021,World,Consumer goods,Export,Export(US$ Mil),1622.126839
Lebanon,2021,World,Hides and Skins,Export,Export(US$ Mil),9.44472
Lebanon,2021,World,Miscellaneous,Export,Export(US$ Mil),406.004621
Lebanon,2021,World,Animal,Export,Export(US$ Mil),40.409122
Lebanon,2021,World,Wood,Export,Export(US$ Mil),134.517259
Lebanon,2021,World,Raw materials,Export,Export(US$ Mil),1261.01678
Lebanon,2021,World,Consumer goods,Import,Import(US$ Mil),7757.116383
Lebanon,2021,World,Intermediate goods,Import,Import(US$ Mil),2902.815488
Lebanon,2021,World,Raw materials,Import,Import(US$ Mil),1622.102596
Lebanon,2021,World,Capital goods,Import,Import(US$ Mil),1565.835715
Lebanon,2021,World,All Products,Export,Exports (in US$ Mil),4229.976738
Lebanon,2021,World,All Products,Import,Imports (in US$ Mil),13856.703728
Lebanon,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4884653.114
Lebanon,2020,...,...,Tariff,No. Of Tariff Agreement,7
Lebanon,2021,...,...,Import,No. Of Import partners,183
Lebanon,2021,...,...,Import,No. Of Import products,3767
Lebanon,2021,...,...,Export,No. Of Export partners,174
Lebanon,2021,...,...,Export,No. Of Export products,2741
Lebanon,2019,...,...,Others,Ease of Doing Business Rank,143
Lebanon,2019,...,...,Others,Trading Across Borders Rank,153
Lebanon,2018,...,...,Others,Population,6848925
Lebanon,2016,...,...,Others,LPI Score,2.717255
Lebanon,,...,...,Others,Services Trade Restrictions Index - Over All,42.3
Lebanon,2016,...,...,Others,LPI Rank,82
Lebanon,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,24.346
Lebanon,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1351
Lebanon,2021,Cameroon,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6835
Lebanon,2021,Qatar,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8038
Lebanon,2021,"Egypt, Arab Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,4.137
Lebanon,2021,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,10.963
Lebanon,2021,Greece,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8766
Lebanon,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1634
Lebanon,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5509
Lebanon,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5326
Lebanon,2021,World,Vegetable,Export,Export Product share(%),13.1742
Lebanon,2021,World,Textiles and Clothing,Export,Export Product share(%),1.1962
Lebanon,2021,World,Intermediate goods,Export,Export Product share(%),21.8637
Lebanon,2021,World,Minerals,Export,Export Product share(%),0.0369
Lebanon,2021,World,Stone and Glass,Export,Export Product share(%),25.3438
Lebanon,2021,World,Capital goods,Export,Export Product share(%),9.3331
Lebanon,2021,World,Food Products,Export,Export Product share(%),9.8662
Lebanon,2021,World,Footwear,Export,Export Product share(%),0.1169
Lebanon,2021,World,Consumer goods,Export,Export Product share(%),38.3484
Lebanon,2021,World,Hides and Skins,Export,Export Product share(%),0.2233
Lebanon,2021,World,Miscellaneous,Export,Export Product share(%),9.5983
Lebanon,2021,World,Animal,Export,Export Product share(%),0.9553
Lebanon,2021,World,Wood,Export,Export Product share(%),3.1801
Lebanon,2021,World,Raw materials,Export,Export Product share(%),29.8114
Lebanon,2021,World,Fuels,Export,Export Product share(%),0.2229
Lebanon,2021,World,Metals,Export,Export Product share(%),11.2796
Lebanon,2021,World,Plastic or Rubber,Export,Export Product share(%),2.8168
Lebanon,2021,World,Transportation,Export,Export Product share(%),6.2039
Lebanon,2021,World,Chemicals,Export,Export Product share(%),8.2975
Lebanon,2021,World,Mach and Elec,Export,Export Product share(%),7.4883
Lebanon,2021,World,Intermediate goods,Import,Import Product share(%),20.9488
Lebanon,2021,World,Consumer goods,Import,Import Product share(%),55.981
Lebanon,2021,World,Capital goods,Import,Import Product share(%),11.3002
Lebanon,2021,World,Raw materials,Import,Import Product share(%),11.7063
Lebanon,2020,World,Intermediate goods,Tariff,Weighted Average (%),1.15528381268336
Lebanon,2020,World,Consumer goods,Tariff,Weighted Average (%),3.69567035860225
Lebanon,2020,World,Capital goods,Tariff,Weighted Average (%),2.98451538795342
Lebanon,2020,World,Raw materials,Tariff,Weighted Average (%),3.69220480562085
Lebanon,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Lebanon,2021,World,All Products,Trade Indicator,Country Growth (%),-0.799511121624896
Lebanon,2020,World,All Products,Tariff,Simple Average (%),5.08151227366352
Lebanon,2020,World,All Products,Tariff,Weighted Average (%),2.82869335772861
Lebanon,2020,World,All Products,Tariff,Maximum Rate (%),283.928100585938
Lebanon,2020,World,All Products,Tariff,Duty Free Tariff Lines Share (%),58.8499049508224
Lebanon,2021,...,...,Trade Indicator,Index of export market penetration,4.49228344246455
Lebanon,2021,...,...,Trade Indicator,HH Market concentration index,0.0739444932802197
