Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Libya,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9732.90566705
Libya,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6577.73798808
Libya,2019,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3409.0905251
Libya,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1465.16251727
Libya,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1210.75318456
Libya,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2453.606506
Libya,2019,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2068.8905
Libya,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1391.387917
Libya,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1354.771737
Libya,2019,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,830.67458
Libya,2019,World,Minerals,Export,Export(US$ Mil),14.01079958
Libya,2019,World,Stone and Glass,Export,Export(US$ Mil),1198.128467
Libya,2019,World,Capital goods,Export,Export(US$ Mil),12.331904
Libya,2019,World,Food Products,Export,Export(US$ Mil),1.700357
Libya,2019,World,Footwear,Export,Export(US$ Mil),0.006836
Libya,2019,World,Consumer goods,Export,Export(US$ Mil),3477.70646076
Libya,2019,World,Chemicals,Export,Export(US$ Mil),58.36311287
Libya,2019,World,Mach and Elec,Export,Export(US$ Mil),10.5456
Libya,2019,World,Animal,Export,Export(US$ Mil),21.664099
Libya,2019,World,Wood,Export,Export(US$ Mil),5.043883
Libya,2019,World,Raw materials,Export,Export(US$ Mil),24419.323130284
Libya,2019,World,Fuels,Export,Export(US$ Mil),27647.368110464
Libya,2019,World,Metals,Export,Export(US$ Mil),298.898146
Libya,2019,World,Vegetable,Export,Export(US$ Mil),6.675415
Libya,2019,World,Textiles and Clothing,Export,Export(US$ Mil),2.648336
Libya,2019,World,Intermediate goods,Export,Export(US$ Mil),1363.63605687
Libya,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1.02677
Libya,2019,World,Transportation,Export,Export(US$ Mil),1.796126
Libya,2019,World,Hides and Skins,Export,Export(US$ Mil),4.232697
Libya,2019,World,Miscellaneous,Export,Export(US$ Mil),13.800333
Libya,2019,World,Intermediate goods,Import,Import(US$ Mil),1624.223846
Libya,2019,World,Consumer goods,Import,Import(US$ Mil),9533.222665
Libya,2019,World,Capital goods,Import,Import(US$ Mil),2994.930124
Libya,2019,World,Raw materials,Import,Import(US$ Mil),1451.668315
Libya,2019,World,All Products,Export,Exports (in US$ Mil),29285.909087914
Libya,2019,World,All Products,Import,Imports (in US$ Mil),15663.796204
Libya,2019,...,...,Import,No. Of Import partners,103
Libya,2019,...,...,Import,No. Of Import products,3333
Libya,2019,...,...,Export,No. Of Export partners,71
Libya,2019,...,...,Export,No. Of Export products,350
Libya,2019,...,...,Others,Ease of Doing Business Rank,186
Libya,2019,...,...,Others,Trading Across Borders Rank,129
Libya,2018,...,...,Others,Population,6678567
Libya,2016,...,...,Others,LPI Score,2.264495
Libya,2016,...,...,Others,LPI Rank,137
Libya,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,33.2341
Libya,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,22.4604
Libya,2019,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6407
Libya,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.003
Libya,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1343
Libya,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.6642
Libya,2019,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,13.2081
Libya,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8828
