Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Lucia,2020,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.90408744
St. Lucia,2020,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.12189904
St. Lucia,2020,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.04777784000001
St. Lucia,2020,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.56661785
St. Lucia,2020,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.89588195
St. Lucia,2020,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.95855607
St. Lucia,2020,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,75.13989469
St. Lucia,2020,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.93842078
St. Lucia,2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31.99100453
St. Lucia,2020,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.16167418
St. Lucia,2020,World,Food Products,Export,Export(US$ Mil),20.08357319
St. Lucia,2020,World,Footwear,Export,Export(US$ Mil),0.26238359
St. Lucia,2020,World,Consumer goods,Export,Export(US$ Mil),44.1905255599999
St. Lucia,2020,World,Fuels,Export,Export(US$ Mil),2.29332037
St. Lucia,2020,World,Metals,Export,Export(US$ Mil),2.28269855
St. Lucia,2020,World,Vegetable,Export,Export(US$ Mil),9.41291373
St. Lucia,2020,World,Textiles and Clothing,Export,Export(US$ Mil),2.35471494
St. Lucia,2020,World,Intermediate goods,Export,Export(US$ Mil),3.13926368
St. Lucia,2020,World,Plastic or Rubber,Export,Export(US$ Mil),0.73999808
St. Lucia,2020,World,Transportation,Export,Export(US$ Mil),3.10802373
St. Lucia,2020,World,Minerals,Export,Export(US$ Mil),2.68315196
St. Lucia,2020,World,Stone and Glass,Export,Export(US$ Mil),4.46254673
St. Lucia,2020,World,Capital goods,Export,Export(US$ Mil),7.51216614
St. Lucia,2020,World,Animal,Export,Export(US$ Mil),0.33489147
St. Lucia,2020,World,Wood,Export,Export(US$ Mil),3.41662625
St. Lucia,2020,World,Raw materials,Export,Export(US$ Mil),11.98960146
St. Lucia,2020,World,Chemicals,Export,Export(US$ Mil),4.87014691
St. Lucia,2020,World,Mach and Elec,Export,Export(US$ Mil),6.67960368
St. Lucia,2020,World,Hides and Skins,Export,Export(US$ Mil),0.34979604
St. Lucia,2020,World,Miscellaneous,Export,Export(US$ Mil),4.09044238
St. Lucia,2020,World,Consumer goods,Import,Import(US$ Mil),291.60518604
St. Lucia,2020,World,Intermediate goods,Import,Import(US$ Mil),78.46508798
St. Lucia,2020,World,Capital goods,Import,Import(US$ Mil),108.53143925
St. Lucia,2020,World,Raw materials,Import,Import(US$ Mil),43.9140112800001
St. Lucia,2020,World,All Products,Export,Exports (in US$ Mil),67.4248316
St. Lucia,2020,World,All Products,Import,Imports (in US$ Mil),532.91397708
St. Lucia,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),268379.97815
St. Lucia,2020,...,...,Tariff,No. Of Tariff Agreement,3
St. Lucia,2020,...,...,Import,No. Of Import partners,132
St. Lucia,2020,...,...,Import,No. Of Import products,3116
St. Lucia,2020,...,...,Export,No. Of Export partners,68
St. Lucia,2020,...,...,Export,No. Of Export products,1297
St. Lucia,2019,...,...,Others,Ease of Doing Business Rank,93
St. Lucia,2019,...,...,Others,Trading Across Borders Rank,93
St. Lucia,2018,...,...,Others,Population,181889
St. Lucia,2018,...,...,Others,CPIA Trade Ratings,4
St. Lucia,2020,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,28.0373
St. Lucia,2020,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,12.0459
St. Lucia,2020,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,8.9697
St. Lucia,2020,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,8.256
St. Lucia,2020,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2612
St. Lucia,2020,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,39.7735
St. Lucia,2020,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,14.0998
St. Lucia,2020,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3685
St. Lucia,2020,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.003
St. Lucia,2020,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.8451
St. Lucia,2020,World,Food Products,Export,Export Product share(%),29.7866
St. Lucia,2020,World,Footwear,Export,Export Product share(%),0.3891
St. Lucia,2020,World,Consumer goods,Export,Export Product share(%),65.5404
St. Lucia,2020,World,Chemicals,Export,Export Product share(%),7.2231
St. Lucia,2020,World,Mach and Elec,Export,Export Product share(%),9.9067
St. Lucia,2020,World,Vegetable,Export,Export Product share(%),13.9606
St. Lucia,2020,World,Textiles and Clothing,Export,Export Product share(%),3.4924
St. Lucia,2020,World,Intermediate goods,Export,Export Product share(%),4.6559
St. Lucia,2020,World,Animal,Export,Export Product share(%),0.4967
St. Lucia,2020,World,Wood,Export,Export Product share(%),5.0673
St. Lucia,2020,World,Raw materials,Export,Export Product share(%),17.7822
St. Lucia,2020,World,Fuels,Export,Export Product share(%),3.4013
St. Lucia,2020,World,Metals,Export,Export Product share(%),3.3855
St. Lucia,2020,World,Minerals,Export,Export Product share(%),3.9795
St. Lucia,2020,World,Stone and Glass,Export,Export Product share(%),6.6186
St. Lucia,2020,World,Capital goods,Export,Export Product share(%),11.1415
St. Lucia,2020,World,Plastic or Rubber,Export,Export Product share(%),1.0975
St. Lucia,2020,World,Transportation,Export,Export Product share(%),4.6096
St. Lucia,2020,World,Hides and Skins,Export,Export Product share(%),0.5188
St. Lucia,2020,World,Miscellaneous,Export,Export Product share(%),6.0667
St. Lucia,2020,World,Intermediate goods,Import,Import Product share(%),14.7238
St. Lucia,2020,World,Capital goods,Import,Import Product share(%),20.3657
St. Lucia,2020,World,Raw materials,Import,Import Product share(%),8.2404
St. Lucia,2020,World,Consumer goods,Import,Import Product share(%),54.719
St. Lucia,2020,World,Consumer goods,Tariff,Weighted Average (%),11.9213362690085
St. Lucia,2020,World,Intermediate goods,Tariff,Weighted Average (%),5.5448389686278
St. Lucia,2020,World,Capital goods,Tariff,Weighted Average (%),6.31517392343585
St. Lucia,2020,World,Raw materials,Tariff,Weighted Average (%),6.40607490452675
St. Lucia,2020,World,All Products,Trade Indicator,World Growth (%),-3.74697080682465
St. Lucia,2020,World,All Products,Trade Indicator,Country Growth (%),-17.8564409046979
St. Lucia,2020,World,All Products,Tariff,Simple Average (%),8.93181655876456
St. Lucia,2020,World,All Products,Tariff,Weighted Average (%),9.07905979704356
St. Lucia,2020,World,All Products,Tariff,Maximum Rate (%),100
St. Lucia,2020,World,All Products,Tariff,Duty Free Tariff Lines Share (%),43.5460944903208
St. Lucia,2020,...,...,Trade Indicator,Index of export market penetration,1.36351828617856
St. Lucia,2020,...,...,Trade Indicator,HH Market concentration index,0.915938330057689
