Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sri Lanka,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3298.95142059271
Sri Lanka,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1003.02507806174
Sri Lanka,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,891.459628881796
Sri Lanka,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,811.265975099797
Sri Lanka,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,622.819425123405
Sri Lanka,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5097.72758234047
Sri Lanka,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4741.09789397196
Sri Lanka,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1409.07330964993
Sri Lanka,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,825.236327821198
Sri Lanka,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,775.93893348203
Sri Lanka,2021,World,Vegetable,Export,Export(US$ Mil),2353.17607676716
Sri Lanka,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6070.20826209942
Sri Lanka,2021,World,Intermediate goods,Export,Export(US$ Mil),1573.06926158335
Sri Lanka,2021,World,Food Products,Export,Export(US$ Mil),765.635546900528
Sri Lanka,2021,World,Footwear,Export,Export(US$ Mil),46.1633776421757
Sri Lanka,2021,World,Consumer goods,Export,Export(US$ Mil),10197.1551086493
Sri Lanka,2021,World,Chemicals,Export,Export(US$ Mil),297.993529370473
Sri Lanka,2021,World,Mach and Elec,Export,Export(US$ Mil),585.1019641417
Sri Lanka,2021,World,Animal,Export,Export(US$ Mil),311.612406843695
Sri Lanka,2021,World,Wood,Export,Export(US$ Mil),194.466762201988
Sri Lanka,2021,World,Raw materials,Export,Export(US$ Mil),828.470703487123
Sri Lanka,2021,World,Minerals,Export,Export(US$ Mil),47.4347471106694
Sri Lanka,2021,World,Stone and Glass,Export,Export(US$ Mil),421.668688674029
Sri Lanka,2021,World,Capital goods,Export,Export(US$ Mil),732.553336296387
Sri Lanka,2021,World,Fuels,Export,Export(US$ Mil),253.347228428131
Sri Lanka,2021,World,Metals,Export,Export(US$ Mil),180.324775219072
Sri Lanka,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1259.74153138604
Sri Lanka,2021,World,Transportation,Export,Export(US$ Mil),217.816139506969
Sri Lanka,2021,World,Hides and Skins,Export,Export(US$ Mil),18.6462461161685
Sri Lanka,2021,World,Miscellaneous,Export,Export(US$ Mil),307.911300913981
Sri Lanka,2021,World,Intermediate goods,Import,Import(US$ Mil),9480.66944498559
Sri Lanka,2021,World,Consumer goods,Import,Import(US$ Mil),5989.97751647571
Sri Lanka,2021,World,Raw materials,Import,Import(US$ Mil),1977.23023719911
Sri Lanka,2021,World,Capital goods,Import,Import(US$ Mil),4053.64467489707
Sri Lanka,2021,World,All Products,Export,Exports (in US$ Mil),13331.2485833222
Sri Lanka,2021,World,All Products,Import,Imports (in US$ Mil),21501.8941701628
Sri Lanka,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13553825.2174965
Sri Lanka,2021,...,...,Tariff,No. Of Tariff Agreement,11
Sri Lanka,2021,...,...,Import,No. Of Import partners,192
Sri Lanka,2021,...,...,Import,No. Of Import products,4145
Sri Lanka,2021,...,...,Export,No. Of Export partners,196
Sri Lanka,2021,...,...,Export,No. Of Export products,2995
Sri Lanka,2018,...,...,Others,Population,21670000
Sri Lanka,2015,...,...,Others,CPIA Trade Ratings,3.5
Sri Lanka,,...,...,Others,Services Trade Restrictions Index - Over All,38.2
Sri Lanka,2019,...,...,Others,Ease of Doing Business Rank,99
Sri Lanka,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Sri Lanka,2012,...,...,Others,No Of NTM Measures,38
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0808426
Sri Lanka,2019,...,...,Others,Trading Across Borders Rank,96
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0742395
Sri Lanka,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,24.746
Sri Lanka,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5239
Sri Lanka,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.687
Sri Lanka,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0854
Sri Lanka,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6719
Sri Lanka,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,23.7083
Sri Lanka,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,22.0497
Sri Lanka,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5533
Sri Lanka,2021,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,3.838
Sri Lanka,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,3.6087
Sri Lanka,2021,World,Vegetable,Export,Export Product share(%),17.6516
Sri Lanka,2021,World,Textiles and Clothing,Export,Export Product share(%),45.5337
Sri Lanka,2021,World,Intermediate goods,Export,Export Product share(%),11.7999
Sri Lanka,2021,World,Food Products,Export,Export Product share(%),5.7432
Sri Lanka,2021,World,Footwear,Export,Export Product share(%),0.3463
Sri Lanka,2021,World,Consumer goods,Export,Export Product share(%),76.4906
Sri Lanka,2021,World,Animal,Export,Export Product share(%),2.3375
Sri Lanka,2021,World,Wood,Export,Export Product share(%),1.4587
Sri Lanka,2021,World,Raw materials,Export,Export Product share(%),6.2145
Sri Lanka,2021,World,Fuels,Export,Export Product share(%),1.9004
Sri Lanka,2021,World,Metals,Export,Export Product share(%),1.3526
Sri Lanka,2021,World,Minerals,Export,Export Product share(%),0.3558
Sri Lanka,2021,World,Stone and Glass,Export,Export Product share(%),3.163
Sri Lanka,2021,World,Capital goods,Export,Export Product share(%),5.495
Sri Lanka,2021,World,Plastic or Rubber,Export,Export Product share(%),9.4495
Sri Lanka,2021,World,Transportation,Export,Export Product share(%),1.6339
Sri Lanka,2021,World,Chemicals,Export,Export Product share(%),2.2353
Sri Lanka,2021,World,Mach and Elec,Export,Export Product share(%),4.389
Sri Lanka,2021,World,Hides and Skins,Export,Export Product share(%),0.1399
Sri Lanka,2021,World,Miscellaneous,Export,Export Product share(%),2.3097
Sri Lanka,2021,World,Intermediate goods,Import,Import Product share(%),44.0923
Sri Lanka,2021,World,Consumer goods,Import,Import Product share(%),27.8579
Sri Lanka,2021,World,Raw materials,Import,Import Product share(%),9.1956
Sri Lanka,2021,World,Capital goods,Import,Import Product share(%),18.8525
Sri Lanka,2021,World,Intermediate goods,Tariff,Weighted Average (%),3.09832808757193
Sri Lanka,2021,World,Consumer goods,Tariff,Weighted Average (%),8.2278127074906
Sri Lanka,2021,World,Raw materials,Tariff,Weighted Average (%),7.48881518250361
Sri Lanka,2021,World,Capital goods,Tariff,Weighted Average (%),1.74024716014266
Sri Lanka,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Sri Lanka,2021,World,All Products,Trade Indicator,Country Growth (%),12.057073735038
Sri Lanka,2021,World,All Products,Tariff,Simple Average (%),5.72739220673701
Sri Lanka,2021,World,All Products,Tariff,Weighted Average (%),4.35613068370789
Sri Lanka,2021,World,All Products,Tariff,Maximum Rate (%),679.856811523438
Sri Lanka,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),58.2146050324543
Sri Lanka,2021,...,...,Trade Indicator,Index of export market penetration,6.74615449987252
Sri Lanka,2021,...,...,Trade Indicator,HH Market concentration index,0.0740710288371577
