Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lesotho,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,425.608417251318
Lesotho,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,286.824900529275
Lesotho,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,175.468260745235
Lesotho,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20.3561153049083
Lesotho,2021,Eswatini,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.3746661312294
Lesotho,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1248.98738154526
Lesotho,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,143.888051313587
Lesotho,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,94.5329759024066
Lesotho,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23.7666172087989
Lesotho,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22.6522052261154
Lesotho,2021,World,Minerals,Export,Export(US$ Mil),1.50651485557709
Lesotho,2021,World,Stone and Glass,Export,Export(US$ Mil),176.021612253944
Lesotho,2021,World,Capital goods,Export,Export(US$ Mil),74.2712864761788
Lesotho,2021,World,Animal,Export,Export(US$ Mil),5.74297355493722
Lesotho,2021,World,Wood,Export,Export(US$ Mil),4.93999450185392
Lesotho,2021,World,Raw materials,Export,Export(US$ Mil),239.894818895632
Lesotho,2021,World,Fuels,Export,Export(US$ Mil),0.32579576040587
Lesotho,2021,World,Metals,Export,Export(US$ Mil),2.21972276631837
Lesotho,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2.0999562305439
Lesotho,2021,World,Transportation,Export,Export(US$ Mil),9.54785669234145
Lesotho,2021,World,Hides and Skins,Export,Export(US$ Mil),0.50426244945364
Lesotho,2021,World,Miscellaneous,Export,Export(US$ Mil),2.46238582725675
Lesotho,2021,World,Chemicals,Export,Export(US$ Mil),3.03217133605551
Lesotho,2021,World,Mach and Elec,Export,Export(US$ Mil),69.2729090679878
Lesotho,2021,World,Food Products,Export,Export(US$ Mil),88.1902638575684
Lesotho,2021,World,Footwear,Export,Export(US$ Mil),7.79400990204404
Lesotho,2021,World,Consumer goods,Export,Export(US$ Mil),590.107026329787
Lesotho,2021,World,Vegetable,Export,Export(US$ Mil),14.58967427031
Lesotho,2021,World,Textiles and Clothing,Export,Export(US$ Mil),560.285085123138
Lesotho,2021,World,Intermediate goods,Export,Export(US$ Mil),43.8988567622219
Lesotho,2021,World,Intermediate goods,Import,Import(US$ Mil),538.22417758912
Lesotho,2021,World,Raw materials,Import,Import(US$ Mil),128.334270976977
Lesotho,2021,World,Consumer goods,Import,Import(US$ Mil),752.341781428516
Lesotho,2021,World,Capital goods,Import,Import(US$ Mil),247.51798536987
Lesotho,2021,World,All Products,Export,Exports (in US$ Mil),948.535188449736
Lesotho,2021,World,All Products,Import,Imports (in US$ Mil),1667.94869866578
Lesotho,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1382111.98677143
Lesotho,2021,...,...,Tariff,No. Of Tariff Agreement,11
Lesotho,2021,...,...,Import,No. Of Import partners,119
Lesotho,2021,...,...,Import,No. Of Import products,3490
Lesotho,2021,...,...,Export,No. Of Export partners,89
Lesotho,2021,...,...,Export,No. Of Export products,1546
Lesotho,2018,...,...,Others,Population,2108132
Lesotho,2018,...,...,Others,CPIA Trade Ratings,4
Lesotho,2016,...,...,Others,LPI Score,2.025983
Lesotho,2019,...,...,Others,Ease of Doing Business Rank,122
Lesotho,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0751967
Lesotho,2016,...,...,Others,LPI Rank,154
Lesotho,2019,...,...,Others,Trading Across Borders Rank,40
Lesotho,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0436204
Lesotho,,...,...,Others,Services Trade Restrictions Index - Over All,27.3
Lesotho,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,44.8701
Lesotho,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,30.2387
Lesotho,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,18.4989
Lesotho,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,2.1461
Lesotho,2021,Eswatini,All Products,Export,Partner share(%)-Top 5 Export Partner,1.0938
Lesotho,2021,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,74.8816
Lesotho,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6266
