Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lithuania,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4415.95216996
Lithuania,2021,Latvia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3727.79402394
Lithuania,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3349.841504
Lithuania,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3234.275405
Lithuania,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2556.464324
Lithuania,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5695.19670287
Lithuania,2021,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5389.2746758
Lithuania,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5308.50233699
Lithuania,2021,Latvia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3697.94289587
Lithuania,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2340.29744
Lithuania,2021,World,Food Products,Export,Export(US$ Mil),3069.05079899
Lithuania,2021,World,Footwear,Export,Export(US$ Mil),119.872827
Lithuania,2021,World,Consumer goods,Export,Export(US$ Mil),18557.64796484
Lithuania,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2791.13931799
Lithuania,2021,World,Transportation,Export,Export(US$ Mil),2361.02023096
Lithuania,2021,World,Fuels,Export,Export(US$ Mil),4019.45997699
Lithuania,2021,World,Metals,Export,Export(US$ Mil),2798.10012097
Lithuania,2021,World,Chemicals,Export,Export(US$ Mil),6037.99973997
Lithuania,2021,World,Mach and Elec,Export,Export(US$ Mil),5453.43137999
Lithuania,2021,World,Hides and Skins,Export,Export(US$ Mil),107.088626
Lithuania,2021,World,Miscellaneous,Export,Export(US$ Mil),5099.76231297
Lithuania,2021,World,Minerals,Export,Export(US$ Mil),118.173677
Lithuania,2021,World,Stone and Glass,Export,Export(US$ Mil),735.75854699
Lithuania,2021,World,Capital goods,Export,Export(US$ Mil),7567.61501198
Lithuania,2021,World,Vegetable,Export,Export(US$ Mil),2390.44078299
Lithuania,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1548.18685597
Lithuania,2021,World,Intermediate goods,Export,Export(US$ Mil),9610.33084600001
Lithuania,2021,World,Animal,Export,Export(US$ Mil),1671.988302
Lithuania,2021,World,Wood,Export,Export(US$ Mil),2376.909782
Lithuania,2021,World,Raw materials,Export,Export(US$ Mil),4343.95327899
Lithuania,2021,World,Consumer goods,Import,Import(US$ Mil),14619.6813997
Lithuania,2021,World,Capital goods,Import,Import(US$ Mil),9874.77800178
Lithuania,2021,World,Intermediate goods,Import,Import(US$ Mil),11077.70933296
Lithuania,2021,World,Raw materials,Import,Import(US$ Mil),7488.21942599
Lithuania,2021,World,All Products,Export,Exports (in US$ Mil),40698.38327878
Lithuania,2021,World,All Products,Import,Imports (in US$ Mil),44476.45262843
Lithuania,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),9636828.62499999
Lithuania,2021,...,...,Tariff,No. Of Tariff Agreement,
Lithuania,2021,...,...,Import,No. Of Import partners,191
Lithuania,2021,...,...,Import,No. Of Import products,4365
Lithuania,2021,...,...,Export,No. Of Export partners,191
Lithuania,2021,...,...,Export,No. Of Export products,4191
Lithuania,2019,...,...,Others,Ease of Doing Business Rank,11
Lithuania,2019,...,...,Others,Trading Across Borders Rank,19
Lithuania,2018,...,...,Others,Population,2789533
Lithuania,2016,...,...,Others,LPI Score,3.631688
Lithuania,2016,...,...,Others,LPI Rank,29
Lithuania,,...,...,Others,Services Trade Restrictions Index - Over All,12.6
Lithuania,2021,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,10.8504
Lithuania,2021,Latvia,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1596
Lithuania,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2309
Lithuania,2021,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.9469
Lithuania,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2815
Lithuania,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,12.805
Lithuania,2021,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,12.1171
Lithuania,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9355
Lithuania,2021,Latvia,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3144
Lithuania,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2619
Lithuania,2021,World,Food Products,Export,Export Product share(%),7.541
Lithuania,2021,World,Footwear,Export,Export Product share(%),0.2945
Lithuania,2021,World,Consumer goods,Export,Export Product share(%),45.598
Lithuania,2021,World,Fuels,Export,Export Product share(%),9.8762
Lithuania,2021,World,Metals,Export,Export Product share(%),6.8752
Lithuania,2021,World,Minerals,Export,Export Product share(%),0.2904
Lithuania,2021,World,Stone and Glass,Export,Export Product share(%),1.8078
Lithuania,2021,World,Capital goods,Export,Export Product share(%),18.5944
Lithuania,2021,World,Hides and Skins,Export,Export Product share(%),0.2631
Lithuania,2021,World,Miscellaneous,Export,Export Product share(%),12.5306
Lithuania,2021,World,Animal,Export,Export Product share(%),4.1082
Lithuania,2021,World,Wood,Export,Export Product share(%),5.8403
Lithuania,2021,World,Raw materials,Export,Export Product share(%),10.6735
Lithuania,2021,World,Plastic or Rubber,Export,Export Product share(%),6.8581
Lithuania,2021,World,Transportation,Export,Export Product share(%),5.8013
Lithuania,2021,World,Vegetable,Export,Export Product share(%),5.8736
Lithuania,2021,World,Textiles and Clothing,Export,Export Product share(%),3.8041
Lithuania,2021,World,Intermediate goods,Export,Export Product share(%),23.6135
Lithuania,2021,World,Chemicals,Export,Export Product share(%),14.836
Lithuania,2021,World,Mach and Elec,Export,Export Product share(%),13.3996
Lithuania,2021,World,Intermediate goods,Import,Import Product share(%),24.9069
Lithuania,2021,World,Consumer goods,Import,Import Product share(%),32.8706
Lithuania,2021,World,Capital goods,Import,Import Product share(%),22.2023
Lithuania,2021,World,Raw materials,Import,Import Product share(%),16.8364
Lithuania,2021,World,Intermediate goods,Tariff,Weighted Average (%),2.90398260242204
Lithuania,2021,World,Consumer goods,Tariff,Weighted Average (%),2.15835448112443
Lithuania,2021,World,Capital goods,Tariff,Weighted Average (%),0.80075305883494
Lithuania,2021,World,Raw materials,Tariff,Weighted Average (%),0.306062735200814
Lithuania,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Lithuania,2021,World,All Products,Trade Indicator,Country Growth (%),12.1840098587659
Lithuania,2021,World,All Products,Tariff,Simple Average (%),2.31744760867149
Lithuania,2021,World,All Products,Tariff,Weighted Average (%),1.56967047266658
Lithuania,2021,World,All Products,Tariff,Maximum Rate (%),209.190093994141
Lithuania,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),58.9999664023653
Lithuania,2021,...,...,Trade Indicator,Index of export market penetration,9.55402363155644
Lithuania,2021,...,...,Trade Indicator,HH Market concentration index,0.0438332024422646
