Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Luxembourg,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4078.90886623977
Luxembourg,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2604.47243367707
Luxembourg,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2077.80340663309
Luxembourg,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1044.9112156135
Luxembourg,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,690.339150165747
Luxembourg,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6036.41814014616
Luxembourg,2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6002.72806749172
Luxembourg,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3121.74143915507
Luxembourg,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1548.96859400213
Luxembourg,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1077.3955755456
Luxembourg,2021,World,Hides and Skins,Export,Export(US$ Mil),13.8299662781564
Luxembourg,2021,World,Miscellaneous,Export,Export(US$ Mil),659.161327356868
Luxembourg,2021,World,Chemicals,Export,Export(US$ Mil),947.192325470736
Luxembourg,2021,World,Mach and Elec,Export,Export(US$ Mil),2834.69472610205
Luxembourg,2021,World,Food Products,Export,Export(US$ Mil),701.08086942985
Luxembourg,2021,World,Footwear,Export,Export(US$ Mil),220.412926566644
Luxembourg,2021,World,Consumer goods,Export,Export(US$ Mil),5667.45649703065
Luxembourg,2021,World,Fuels,Export,Export(US$ Mil),25.9066970083429
Luxembourg,2021,World,Metals,Export,Export(US$ Mil),3769.41029371714
Luxembourg,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2498.17946355424
Luxembourg,2021,World,Transportation,Export,Export(US$ Mil),1609.11989420323
Luxembourg,2021,World,Minerals,Export,Export(US$ Mil),86.5173282823723
Luxembourg,2021,World,Stone and Glass,Export,Export(US$ Mil),425.428799161713
Luxembourg,2021,World,Capital goods,Export,Export(US$ Mil),3853.86438691644
Luxembourg,2021,World,Vegetable,Export,Export(US$ Mil),207.635066753837
Luxembourg,2021,World,Textiles and Clothing,Export,Export(US$ Mil),710.523184606574
Luxembourg,2021,World,Intermediate goods,Export,Export(US$ Mil),5656.84671108797
Luxembourg,2021,World,Animal,Export,Export(US$ Mil),630.214056521242
Luxembourg,2021,World,Wood,Export,Export(US$ Mil),907.819617125881
Luxembourg,2021,World,Raw materials,Export,Export(US$ Mil),558.444805494079
Luxembourg,2021,World,Intermediate goods,Import,Import(US$ Mil),4751.26459435725
Luxembourg,2021,World,Consumer goods,Import,Import(US$ Mil),11102.5095861737
Luxembourg,2021,World,Capital goods,Import,Import(US$ Mil),5677.66364043055
Luxembourg,2021,World,Raw materials,Import,Import(US$ Mil),2717.56445199575
Luxembourg,2021,World,All Products,Export,Exports (in US$ Mil),16247.1265421389
Luxembourg,2021,World,All Products,Import,Imports (in US$ Mil),25537.1482346997
Luxembourg,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2694269.44864474
Luxembourg,2021,...,...,Tariff,No. Of Tariff Agreement,
Luxembourg,2021,...,...,Import,No. Of Import partners,220
Luxembourg,2021,...,...,Import,No. Of Import products,4316
Luxembourg,2021,...,...,Export,No. Of Export partners,204
Luxembourg,2021,...,...,Export,No. Of Export products,3481
Luxembourg,2019,...,...,Others,Ease of Doing Business Rank,72
Luxembourg,2019,...,...,Others,Trading Across Borders Rank,1
Luxembourg,2018,...,...,Others,Population,607728
Luxembourg,2016,...,...,Others,LPI Score,4.219409
Luxembourg,2016,...,...,Others,LPI Rank,2
Luxembourg,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,25.1054
Luxembourg,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,16.0304
Luxembourg,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,12.7887
Luxembourg,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4314
Luxembourg,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.249
Luxembourg,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,23.6378
Luxembourg,2021,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,23.5059
Luxembourg,2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,12.2243
Luxembourg,2021,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0656
Luxembourg,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2189
Luxembourg,2021,World,Vegetable,Export,Export Product share(%),1.278
Luxembourg,2021,World,Textiles and Clothing,Export,Export Product share(%),4.3732
Luxembourg,2021,World,Intermediate goods,Export,Export Product share(%),34.8175
Luxembourg,2021,World,Food Products,Export,Export Product share(%),4.3151
Luxembourg,2021,World,Footwear,Export,Export Product share(%),1.3566
Luxembourg,2021,World,Consumer goods,Export,Export Product share(%),34.8828
Luxembourg,2021,World,Fuels,Export,Export Product share(%),0.1595
Luxembourg,2021,World,Metals,Export,Export Product share(%),23.2005
Luxembourg,2021,World,Chemicals,Export,Export Product share(%),5.8299
Luxembourg,2021,World,Mach and Elec,Export,Export Product share(%),17.4474
Luxembourg,2021,World,Minerals,Export,Export Product share(%),0.5325
Luxembourg,2021,World,Stone and Glass,Export,Export Product share(%),2.6185
Luxembourg,2021,World,Capital goods,Export,Export Product share(%),23.7203
Luxembourg,2021,World,Hides and Skins,Export,Export Product share(%),0.0851
Luxembourg,2021,World,Miscellaneous,Export,Export Product share(%),4.0571
Luxembourg,2021,World,Plastic or Rubber,Export,Export Product share(%),15.3761
Luxembourg,2021,World,Transportation,Export,Export Product share(%),9.904
Luxembourg,2021,World,Animal,Export,Export Product share(%),3.8789
Luxembourg,2021,World,Wood,Export,Export Product share(%),5.5876
Luxembourg,2021,World,Raw materials,Export,Export Product share(%),3.4372
Luxembourg,2021,World,Intermediate goods,Import,Import Product share(%),18.6053
Luxembourg,2021,World,Consumer goods,Import,Import Product share(%),43.4759
Luxembourg,2021,World,Capital goods,Import,Import Product share(%),22.233
Luxembourg,2021,World,Raw materials,Import,Import Product share(%),10.6416
Luxembourg,2021,World,Consumer goods,Tariff,Weighted Average (%),3.48274122751314
Luxembourg,2021,World,Intermediate goods,Tariff,Weighted Average (%),1.52446812532852
Luxembourg,2021,World,Capital goods,Tariff,Weighted Average (%),0.452844301813735
Luxembourg,2021,World,Raw materials,Tariff,Weighted Average (%),2.70246469067335
Luxembourg,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Luxembourg,2021,World,All Products,Trade Indicator,Country Growth (%),11.7288248592203
Luxembourg,2021,World,All Products,Tariff,Simple Average (%),2.87335220286651
Luxembourg,2021,World,All Products,Tariff,Weighted Average (%),1.69764444687418
Luxembourg,2021,World,All Products,Tariff,Maximum Rate (%),209.190093994141
Luxembourg,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),57.3822337746951
Luxembourg,2021,...,...,Trade Indicator,Index of export market penetration,6.45654358184146
Luxembourg,2021,...,...,Trade Indicator,HH Market concentration index,0.0843636866023263
