Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Macao,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1102.49770139171
Macao,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,180.345412175338
Macao,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69.4657225867215
Macao,2021,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.1955411546668
Macao,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.11877186706634
Macao,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6147.22614241806
Macao,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3500.22863348809
Macao,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2119.49118123028
Macao,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1645.86959514402
Macao,2021,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1517.54537775805
Macao,2021,World,Vegetable,Export,Export(US$ Mil),2.81826074734074
Macao,2021,World,Textiles and Clothing,Export,Export(US$ Mil),213.304388079639
Macao,2021,World,Intermediate goods,Export,Export(US$ Mil),30.3716173589616
Macao,2021,World,Plastic or Rubber,Export,Export(US$ Mil),6.68990805905188
Macao,2021,World,Transportation,Export,Export(US$ Mil),9.80341239017946
Macao,2021,World,Chemicals,Export,Export(US$ Mil),57.6329100629926
Macao,2021,World,Mach and Elec,Export,Export(US$ Mil),346.372240032555
Macao,2021,World,Food Products,Export,Export(US$ Mil),61.8378966146638
Macao,2021,World,Footwear,Export,Export(US$ Mil),45.1275783483
Macao,2021,World,Consumer goods,Export,Export(US$ Mil),865.497291909232
Macao,2021,World,Fuels,Export,Export(US$ Mil),
Macao,2021,World,Metals,Export,Export(US$ Mil),36.2698905976355
Macao,2021,World,Animal,Export,Export(US$ Mil),1.84901537283424
Macao,2021,World,Wood,Export,Export(US$ Mil),2.38217780648562
Macao,2021,World,Raw materials,Export,Export(US$ Mil),29.4622272184913
Macao,2021,World,Minerals,Export,Export(US$ Mil),0.0012491362
Macao,2021,World,Stone and Glass,Export,Export(US$ Mil),247.75115527468
Macao,2021,World,Capital goods,Export,Export(US$ Mil),340.988341219776
Macao,2021,World,Hides and Skins,Export,Export(US$ Mil),63.0057039300406
Macao,2021,World,Miscellaneous,Export,Export(US$ Mil),297.5791141009
Macao,2021,World,Intermediate goods,Import,Import(US$ Mil),1233.30047056483
Macao,2021,World,Capital goods,Import,Import(US$ Mil),3435.95422751317
Macao,2021,World,Raw materials,Import,Import(US$ Mil),627.19082259047
Macao,2021,World,Consumer goods,Import,Import(US$ Mil),13628.0720951602
Macao,2021,World,All Products,Export,Exports (in US$ Mil),1392.4249005535
Macao,2021,World,All Products,Import,Imports (in US$ Mil),19346.6548585082
Macao,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),18595825.5468919
Macao,2021,...,...,Tariff,No. Of Tariff Agreement,1
Macao,2021,...,...,Import,No. Of Import partners,143
Macao,2021,...,...,Import,No. Of Import products,2377
