Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Morocco,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7866.40819508766
Morocco,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7517.39624727918
Morocco,2021,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2029.67441484436
Morocco,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1807.05440959836
Morocco,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1560.0663088318
Morocco,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9229.66428377478
Morocco,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6871.69672438688
Morocco,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6190.08922223931
Morocco,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3746.28469461803
Morocco,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3382.46282219279
Morocco,2021,World,Fuels,Export,Export(US$ Mil),252.725826801501
Morocco,2021,World,Metals,Export,Export(US$ Mil),1064.31776214055
Morocco,2021,World,Plastic or Rubber,Export,Export(US$ Mil),419.45500049602
Morocco,2021,World,Transportation,Export,Export(US$ Mil),6169.47245422187
Morocco,2021,World,Food Products,Export,Export(US$ Mil),2548.41800623546
Morocco,2021,World,Footwear,Export,Export(US$ Mil),313.334140673063
Morocco,2021,World,Consumer goods,Export,Export(US$ Mil),15722.1391375066
Morocco,2021,World,Minerals,Export,Export(US$ Mil),1628.72860477082
Morocco,2021,World,Stone and Glass,Export,Export(US$ Mil),456.110334083951
Morocco,2021,World,Capital goods,Export,Export(US$ Mil),3327.72179878952
Morocco,2021,World,Vegetable,Export,Export(US$ Mil),4011.11391469623
Morocco,2021,World,Textiles and Clothing,Export,Export(US$ Mil),3792.56514689394
Morocco,2021,World,Intermediate goods,Export,Export(US$ Mil),11251.6629618001
Morocco,2021,World,Hides and Skins,Export,Export(US$ Mil),109.709693429468
Morocco,2021,World,Miscellaneous,Export,Export(US$ Mil),396.725242373876
Morocco,2021,World,Animal,Export,Export(US$ Mil),1210.27351714298
Morocco,2021,World,Wood,Export,Export(US$ Mil),199.470141386009
Morocco,2021,World,Raw materials,Export,Export(US$ Mil),6283.70105310774
Morocco,2021,World,Chemicals,Export,Export(US$ Mil),8280.04207171559
Morocco,2021,World,Mach and Elec,Export,Export(US$ Mil),5732.76309414264
Morocco,2021,World,Consumer goods,Import,Import(US$ Mil),20232.4889073714
Morocco,2021,World,Intermediate goods,Import,Import(US$ Mil),17985.2910085718
Morocco,2021,World,Capital goods,Import,Import(US$ Mil),13422.2157514027
Morocco,2021,World,Raw materials,Import,Import(US$ Mil),6425.97088052294
Morocco,2021,World,All Products,Export,Exports (in US$ Mil),36585.224951204
Morocco,2021,World,All Products,Import,Imports (in US$ Mil),58677.6393342107
Morocco,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),25384806.2782416
Morocco,2021,...,...,Tariff,No. Of Tariff Agreement,20
Morocco,2021,...,...,Import,No. Of Import partners,188
Morocco,2021,...,...,Import,No. Of Import products,4236
Morocco,2021,...,...,Export,No. Of Export partners,171
Morocco,2021,...,...,Export,No. Of Export products,3070
Morocco,2018,...,...,Others,Population,36029138
Morocco,2016,...,...,Others,LPI Score,2.665994
Morocco,2016,...,...,Others,LPI Rank,86
Morocco,2019,...,...,Others,Ease of Doing Business Rank,53
Morocco,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),11
Morocco,2013,...,...,Others,No Of NTM Measures,2
Morocco,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2304282
Morocco,,...,...,Others,Services Trade Restrictions Index - Over All,21
Morocco,2019,...,...,Others,Trading Across Borders Rank,58
Morocco,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1545955
Morocco,2021,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,21.5016
Morocco,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,20.5476
