Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Moldova,2021,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,833.477012
Moldova,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,313.959592
Moldova,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.067084
Moldova,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,245.445906
Moldova,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,240.059062
Moldova,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1053.924485
Moldova,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,836.543811
Moldova,2021,Romania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,829.938684
Moldova,2021,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,667.196408
Moldova,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,546.646126
Moldova,2021,World,Vegetable,Export,Export(US$ Mil),991.124968
Moldova,2021,World,Textiles and Clothing,Export,Export(US$ Mil),333.972367
Moldova,2021,World,Intermediate goods,Export,Export(US$ Mil),378.61506
Moldova,2021,World,Animal,Export,Export(US$ Mil),36.856823
Moldova,2021,World,Wood,Export,Export(US$ Mil),49.299976
Moldova,2021,World,Raw materials,Export,Export(US$ Mil),1056.335571
Moldova,2021,World,Fuels,Export,Export(US$ Mil),15.650437
Moldova,2021,World,Metals,Export,Export(US$ Mil),143.661926
Moldova,2021,World,Minerals,Export,Export(US$ Mil),11.109037
Moldova,2021,World,Stone and Glass,Export,Export(US$ Mil),84.413458
Moldova,2021,World,Capital goods,Export,Export(US$ Mil),155.143566
Moldova,2021,World,Chemicals,Export,Export(US$ Mil),117.021957
Moldova,2021,World,Mach and Elec,Export,Export(US$ Mil),568.53572
Moldova,2021,World,Food Products,Export,Export(US$ Mil),408.152959
Moldova,2021,World,Footwear,Export,Export(US$ Mil),38.1713
Moldova,2021,World,Consumer goods,Export,Export(US$ Mil),1554.40942
Moldova,2021,World,Hides and Skins,Export,Export(US$ Mil),18.581571
Moldova,2021,World,Miscellaneous,Export,Export(US$ Mil),215.98281
