Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Madagascar,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,536.405299501522
Madagascar,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,505.511969775803
Madagascar,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,369.290893325946
Madagascar,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,242.965588957634
Madagascar,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,145.912475871614
Madagascar,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,853.500659259313
Madagascar,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,451.280705317382
Madagascar,2021,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,450.872304139227
Madagascar,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,364.783916312529
Madagascar,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,259.681169118996
Madagascar,2021,World,Fuels,Export,Export(US$ Mil),32.3805746392464
Madagascar,2021,World,Metals,Export,Export(US$ Mil),638.695784478159
Madagascar,2021,World,Food Products,Export,Export(US$ Mil),108.689812475038
Madagascar,2021,World,Footwear,Export,Export(US$ Mil),3.75009450323733
Madagascar,2021,World,Consumer goods,Export,Export(US$ Mil),1442.01194051534
Madagascar,2021,World,Plastic or Rubber,Export,Export(US$ Mil),4.74525376841295
Madagascar,2021,World,Transportation,Export,Export(US$ Mil),3.39487654426497
Madagascar,2021,World,Vegetable,Export,Export(US$ Mil),873.679423981351
Madagascar,2021,World,Textiles and Clothing,Export,Export(US$ Mil),541.409823440521
Madagascar,2021,World,Intermediate goods,Export,Export(US$ Mil),768.599846565056
Madagascar,2021,World,Chemicals,Export,Export(US$ Mil),113.137826625684
Madagascar,2021,World,Mach and Elec,Export,Export(US$ Mil),15.5375939797883
Madagascar,2021,World,Minerals,Export,Export(US$ Mil),232.033308864634
Madagascar,2021,World,Stone and Glass,Export,Export(US$ Mil),43.68912706819
Madagascar,2021,World,Capital goods,Export,Export(US$ Mil),23.5113285747081
Madagascar,2021,World,Hides and Skins,Export,Export(US$ Mil),9.29586213798039
Madagascar,2021,World,Miscellaneous,Export,Export(US$ Mil),25.9505022134897
Madagascar,2021,World,Animal,Export,Export(US$ Mil),102.434011746884
Madagascar,2021,World,Wood,Export,Export(US$ Mil),39.5524640542607
Madagascar,2021,World,Raw materials,Export,Export(US$ Mil),550.703322123155
Madagascar,2021,World,Capital goods,Import,Import(US$ Mil),744.155059429119
Madagascar,2021,World,Consumer goods,Import,Import(US$ Mil),1976.34245944564
Madagascar,2021,World,Intermediate goods,Import,Import(US$ Mil),1370.8165529674
Madagascar,2021,World,Raw materials,Import,Import(US$ Mil),308.684312456928
Madagascar,2021,World,All Products,Export,Exports (in US$ Mil),2788.37634052114
Madagascar,2021,World,All Products,Import,Imports (in US$ Mil),4408.16539221686
Madagascar,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),884526.80405
Madagascar,2021,...,...,Tariff,No. Of Tariff Agreement,7
Madagascar,2021,...,...,Import,No. Of Import partners,141
Madagascar,2021,...,...,Import,No. Of Import products,3688
Madagascar,2021,...,...,Export,No. Of Export partners,141
