Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Maldives,2021,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,70.145102660909
Maldives,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.2918867555246
Maldives,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.270832235682
Maldives,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.16715144730658
Maldives,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.95783746701756
Maldives,2021,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,337.580183017959
Maldives,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,333.276250593369
Maldives,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,323.71054018122
Maldives,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,318.067224790154
Maldives,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,261.875868959413
Maldives,2021,World,Vegetable,Export,Export(US$ Mil),0.020661503351778
Maldives,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.0062262366248466
Maldives,2021,World,Intermediate goods,Export,Export(US$ Mil),7.48914204524841
Maldives,2021,World,Food Products,Export,Export(US$ Mil),35.7988854922486
Maldives,2021,World,Footwear,Export,Export(US$ Mil),0.0004357894087188
Maldives,2021,World,Consumer goods,Export,Export(US$ Mil),33.1832535583562
Maldives,2021,World,Minerals,Export,Export(US$ Mil),0.257746519959808
Maldives,2021,World,Stone and Glass,Export,Export(US$ Mil),0.0801970754118318
Maldives,2021,World,Capital goods,Export,Export(US$ Mil),0.025404694092225
Maldives,2021,World,Chemicals,Export,Export(US$ Mil),0.0040461420925494
Maldives,2021,World,Mach and Elec,Export,Export(US$ Mil),0.0260386243564086
Maldives,2021,World,Fuels,Export,Export(US$ Mil),0.0903274120709712
Maldives,2021,World,Metals,Export,Export(US$ Mil),6.28440224175838
Maldives,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.0852024601654182
Maldives,2021,World,Transportation,Export,Export(US$ Mil),0.0288393209805312
Maldives,2021,World,Hides and Skins,Export,Export(US$ Mil),0.0035905845238524
Maldives,2021,World,Miscellaneous,Export,Export(US$ Mil),0.0041365835873748
Maldives,2021,World,Animal,Export,Export(US$ Mil),108.593068031652
Maldives,2021,World,Wood,Export,Export(US$ Mil),0.0094624715632212
Maldives,2021,World,Raw materials,Export,Export(US$ Mil),110.595466192059
Maldives,2021,World,Intermediate goods,Import,Import(US$ Mil),322.761058487775
Maldives,2021,World,Consumer goods,Import,Import(US$ Mil),1419.5723055935
Maldives,2021,World,Capital goods,Import,Import(US$ Mil),517.257638397823
Maldives,2021,World,Raw materials,Import,Import(US$ Mil),313.959732908827
Maldives,2021,World,All Products,Export,Exports (in US$ Mil),151.293266489756
Maldives,2021,World,All Products,Import,Imports (in US$ Mil),2573.55073538792
Maldives,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1007833.87536501
