Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
North Macedonia,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3830.02710017
North Macedonia,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,701.824246349999
North Macedonia,2021,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,396.32416748
North Macedonia,2021,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,251.6510596
North Macedonia,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,245.23955442
North Macedonia,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2018.54718433
North Macedonia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1158.78054886
North Macedonia,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,871.25585959
North Macedonia,2021,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,868.58563258
North Macedonia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,760.18426585
North Macedonia,2021,World,Fuels,Export,Export(US$ Mil),150.07146977
North Macedonia,2021,World,Metals,Export,Export(US$ Mil),1114.12463767
North Macedonia,2021,World,Vegetable,Export,Export(US$ Mil),215.66102761
North Macedonia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),503.89447204
North Macedonia,2021,World,Intermediate goods,Export,Export(US$ Mil),3425.219358758
North Macedonia,2021,World,Minerals,Export,Export(US$ Mil),347.57794742
North Macedonia,2021,World,Stone and Glass,Export,Export(US$ Mil),93.48686869
North Macedonia,2021,World,Capital goods,Export,Export(US$ Mil),1786.5353948
North Macedonia,2021,World,Food Products,Export,Export(US$ Mil),483.21398619
North Macedonia,2021,World,Footwear,Export,Export(US$ Mil),32.98748279
North Macedonia,2021,World,Consumer goods,Export,Export(US$ Mil),2206.21092648
North Macedonia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),198.0842441
North Macedonia,2021,World,Transportation,Export,Export(US$ Mil),255.669140717995
North Macedonia,2021,World,Animal,Export,Export(US$ Mil),40.25654641
North Macedonia,2021,World,Wood,Export,Export(US$ Mil),46.39086198
North Macedonia,2021,World,Raw materials,Export,Export(US$ Mil),762.72704051
North Macedonia,2021,World,Chemicals,Export,Export(US$ Mil),2082.65525319
North Macedonia,2021,World,Mach and Elec,Export,Export(US$ Mil),2241.17309591
North Macedonia,2021,World,Hides and Skins,Export,Export(US$ Mil),5.99092736
