Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Myanmar,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4470.84772565398
Myanmar,2021,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3492.85195671158
Myanmar,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,907.80471014576
Myanmar,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,858.0000032852
Myanmar,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,593.08146444325
Myanmar,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4205.76128006736
Myanmar,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2738.79655250101
Myanmar,2021,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2068.12536272861
Myanmar,2021,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1205.4595521
Myanmar,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,852.6128009732
Myanmar,2021,World,Fuels,Export,Export(US$ Mil),3207.0360628857
Myanmar,2021,World,Metals,Export,Export(US$ Mil),931.82544959713
Myanmar,2021,World,Vegetable,Export,Export(US$ Mil),3902.22978544576
Myanmar,2021,World,Textiles and Clothing,Export,Export(US$ Mil),3957.62780356681
Myanmar,2021,World,Intermediate goods,Export,Export(US$ Mil),2811.41676641753
Myanmar,2021,World,Chemicals,Export,Export(US$ Mil),6.27524488839
Myanmar,2021,World,Mach and Elec,Export,Export(US$ Mil),277.72853226906
Myanmar,2021,World,Animal,Export,Export(US$ Mil),704.15241059782
Myanmar,2021,World,Wood,Export,Export(US$ Mil),146.62712343564
Myanmar,2021,World,Raw materials,Export,Export(US$ Mil),2854.20126219706
Myanmar,2021,World,Plastic or Rubber,Export,Export(US$ Mil),509.84996007817
Myanmar,2021,World,Transportation,Export,Export(US$ Mil),174.66698757418
Myanmar,2021,World,Minerals,Export,Export(US$ Mil),22.65060926807
Myanmar,2021,World,Stone and Glass,Export,Export(US$ Mil),36.62034353578
Myanmar,2021,World,Capital goods,Export,Export(US$ Mil),449.27302974904
Myanmar,2021,World,Hides and Skins,Export,Export(US$ Mil),277.43008054619
Myanmar,2021,World,Miscellaneous,Export,Export(US$ Mil),124.14710830352
Myanmar,2021,World,Food Products,Export,Export(US$ Mil),295.4034055248
Myanmar,2021,World,Footwear,Export,Export(US$ Mil),570.5882219426
Myanmar,2021,World,Consumer goods,Export,Export(US$ Mil),9027.69827849599
Myanmar,2021,World,Intermediate goods,Import,Import(US$ Mil),4255.79716890529
Myanmar,2021,World,Capital goods,Import,Import(US$ Mil),2783.03805197479
Myanmar,2021,World,Raw materials,Import,Import(US$ Mil),471.02935276221
Myanmar,2021,World,Consumer goods,Import,Import(US$ Mil),6811.98385805161
Myanmar,2021,World,All Products,Export,Exports (in US$ Mil),15144.8591294596
Myanmar,2021,World,All Products,Import,Imports (in US$ Mil),14322.0707369337
Myanmar,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),8762036.31446981
Myanmar,2021,...,...,Tariff,No. Of Tariff Agreement,6
Myanmar,2021,...,...,Import,No. Of Import partners,143
Myanmar,2021,...,...,Import,No. Of Import products,3539
Myanmar,2021,...,...,Export,No. Of Export partners,124
Myanmar,2021,...,...,Export,No. Of Export products,1456
Myanmar,2019,...,...,Others,Trading Across Borders Rank,168
Myanmar,2018,...,...,Others,Population,53708395
Myanmar,2018,...,...,Others,CPIA Trade Ratings,3.5
Myanmar,2016,...,...,Others,LPI Score,2.458571
Myanmar,2019,...,...,Others,Ease of Doing Business Rank,165
Myanmar,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2502
Myanmar,2015,...,...,Others,No Of NTM Measures,48
Myanmar,2016,...,...,Others,LPI Rank,113
Myanmar,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,29.5206
Myanmar,2021,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,23.063
Myanmar,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9941
Myanmar,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6653
Myanmar,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9161
Myanmar,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,29.3656
Myanmar,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,19.1229
Myanmar,2021,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,14.4401
Myanmar,2021,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4168
Myanmar,2021,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9531
Myanmar,2021,World,Vegetable,Export,Export Product share(%),25.766
Myanmar,2021,World,Textiles and Clothing,Export,Export Product share(%),26.1318
Myanmar,2021,World,Intermediate goods,Export,Export Product share(%),18.5635
Myanmar,2021,World,Food Products,Export,Export Product share(%),1.9505
Myanmar,2021,World,Footwear,Export,Export Product share(%),3.7675
Myanmar,2021,World,Consumer goods,Export,Export Product share(%),59.609
Myanmar,2021,World,Minerals,Export,Export Product share(%),0.1496
Myanmar,2021,World,Stone and Glass,Export,Export Product share(%),0.2418
Myanmar,2021,World,Capital goods,Export,Export Product share(%),2.9665
Myanmar,2021,World,Fuels,Export,Export Product share(%),21.1757
Myanmar,2021,World,Metals,Export,Export Product share(%),6.1528
Myanmar,2021,World,Animal,Export,Export Product share(%),4.6494
Myanmar,2021,World,Wood,Export,Export Product share(%),0.9682
Myanmar,2021,World,Raw materials,Export,Export Product share(%),18.846
Myanmar,2021,World,Hides and Skins,Export,Export Product share(%),1.8318
Myanmar,2021,World,Miscellaneous,Export,Export Product share(%),0.8197
Myanmar,2021,World,Chemicals,Export,Export Product share(%),0.0414
Myanmar,2021,World,Mach and Elec,Export,Export Product share(%),1.8338
Myanmar,2021,World,Plastic or Rubber,Export,Export Product share(%),3.3665
Myanmar,2021,World,Transportation,Export,Export Product share(%),1.1533
Myanmar,2021,World,Intermediate goods,Import,Import Product share(%),29.715
Myanmar,2021,World,Consumer goods,Import,Import Product share(%),47.5628
Myanmar,2021,World,Capital goods,Import,Import Product share(%),19.4318
Myanmar,2021,World,Raw materials,Import,Import Product share(%),3.2888
Myanmar,2021,World,Intermediate goods,Tariff,Weighted Average (%),0.816103439507235
Myanmar,2021,World,Consumer goods,Tariff,Weighted Average (%),1.33290602402355
Myanmar,2021,World,Capital goods,Tariff,Weighted Average (%),0.741702887075722
Myanmar,2021,World,Raw materials,Tariff,Weighted Average (%),1.34621330626859
Myanmar,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Myanmar,2021,World,All Products,Trade Indicator,Country Growth (%),3.87840015828189
Myanmar,2021,World,All Products,Tariff,Simple Average (%),3.06858912522642
Myanmar,2021,World,All Products,Tariff,Weighted Average (%),1.03971602261071
Myanmar,2021,World,All Products,Tariff,Maximum Rate (%),40
Myanmar,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),39.9824431089203
Myanmar,2021,...,...,Trade Indicator,Index of export market penetration,5.54070649425702
Myanmar,2021,...,...,Trade Indicator,HH Market concentration index,0.183277423830483
