Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Montenegro,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126.856658180001
Montenegro,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59.4749175905272
Montenegro,2021,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39.4919316514135
Montenegro,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34.5536195566365
Montenegro,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29.9112712128014
Montenegro,2021,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,591.588828101247
Montenegro,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,289.705622965882
Montenegro,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,272.66347402692
Montenegro,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,183.660746017634
Montenegro,2021,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174.32178909643
Montenegro,2021,World,Vegetable,Export,Export(US$ Mil),13.4498013447151
Montenegro,2021,World,Textiles and Clothing,Export,Export(US$ Mil),3.36399927312556
Montenegro,2021,World,Intermediate goods,Export,Export(US$ Mil),245.882622487935
Montenegro,2021,World,Food Products,Export,Export(US$ Mil),41.400707374841
Montenegro,2021,World,Footwear,Export,Export(US$ Mil),0.690426411316488
Montenegro,2021,World,Consumer goods,Export,Export(US$ Mil),117.89468540065
Montenegro,2021,World,Minerals,Export,Export(US$ Mil),30.4345232010703
Montenegro,2021,World,Stone and Glass,Export,Export(US$ Mil),5.44520279444988
Montenegro,2021,World,Capital goods,Export,Export(US$ Mil),50.7780026428013
Montenegro,2021,World,Fuels,Export,Export(US$ Mil),95.5709079313555
Montenegro,2021,World,Metals,Export,Export(US$ Mil),151.975970053348
Montenegro,2021,World,Hides and Skins,Export,Export(US$ Mil),3.41784809237071
Montenegro,2021,World,Miscellaneous,Export,Export(US$ Mil),10.9003246833225
Montenegro,2021,World,Plastic or Rubber,Export,Export(US$ Mil),4.32856022849527
Montenegro,2021,World,Transportation,Export,Export(US$ Mil),13.3248609642881
Montenegro,2021,World,Chemicals,Export,Export(US$ Mil),35.4608878783587
Montenegro,2021,World,Mach and Elec,Export,Export(US$ Mil),39.9705580474533
Montenegro,2021,World,Animal,Export,Export(US$ Mil),15.6429646406436
Montenegro,2021,World,Wood,Export,Export(US$ Mil),50.5387608922313
Montenegro,2021,World,Raw materials,Export,Export(US$ Mil),101.360993279999
Montenegro,2021,World,Intermediate goods,Import,Import(US$ Mil),589.089224492409
Montenegro,2021,World,Capital goods,Import,Import(US$ Mil),444.083596738113
Montenegro,2021,World,Consumer goods,Import,Import(US$ Mil),1646.73153415564
Montenegro,2021,World,Raw materials,Import,Import(US$ Mil),265.620688603319
Montenegro,2021,World,All Products,Export,Exports (in US$ Mil),515.916303811385
Montenegro,2021,World,All Products,Import,Imports (in US$ Mil),2945.52610131711
Montenegro,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1853487.47507327
Montenegro,2021,...,...,Tariff,No. Of Tariff Agreement,15
Montenegro,2021,...,...,Import,No. Of Import partners,180
Montenegro,2021,...,...,Import,No. Of Import products,3681
Montenegro,2021,...,...,Export,No. Of Export partners,107
Montenegro,2021,...,...,Export,No. Of Export products,1700
Montenegro,2018,...,...,Others,Population,622345
Montenegro,2016,...,...,Others,LPI Score,2.380016
Montenegro,2016,...,...,Others,LPI Rank,123
