Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mozambique,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,855.24206208
Mozambique,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,803.15523117
Mozambique,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,561.58168984
Mozambique,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,489.42671727
Mozambique,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,372.25769788
Mozambique,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2252.48499839
Mozambique,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,946.3631115
Mozambique,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,739.75107672
Mozambique,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,716.750596950001
Mozambique,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,532.43333934
Mozambique,2021,World,Fuels,Export,Export(US$ Mil),2200.98698868
Mozambique,2021,World,Metals,Export,Export(US$ Mil),1192.08522389
Mozambique,2021,World,Minerals,Export,Export(US$ Mil),523.05112415
Mozambique,2021,World,Stone and Glass,Export,Export(US$ Mil),110.24703968
Mozambique,2021,World,Capital goods,Export,Export(US$ Mil),52.70614469
Mozambique,2021,World,Vegetable,Export,Export(US$ Mil),447.36801903
Mozambique,2021,World,Textiles and Clothing,Export,Export(US$ Mil),39.20160902
Mozambique,2021,World,Intermediate goods,Export,Export(US$ Mil),2459.23760251
Mozambique,2021,World,Food Products,Export,Export(US$ Mil),276.59816227
Mozambique,2021,World,Footwear,Export,Export(US$ Mil),42.62493427
Mozambique,2021,World,Consumer goods,Export,Export(US$ Mil),493.59127719
Mozambique,2021,World,Animal,Export,Export(US$ Mil),22.52398712
Mozambique,2021,World,Wood,Export,Export(US$ Mil),84.84972123
Mozambique,2021,World,Raw materials,Export,Export(US$ Mil),2070.8482538
Mozambique,2021,World,Plastic or Rubber,Export,Export(US$ Mil),3.53517314
Mozambique,2021,World,Transportation,Export,Export(US$ Mil),18.68873409
Mozambique,2021,World,Chemicals,Export,Export(US$ Mil),77.01759993
Mozambique,2021,World,Mach and Elec,Export,Export(US$ Mil),32.70342058
Mozambique,2021,World,Hides and Skins,Export,Export(US$ Mil),0.13788764
Mozambique,2021,World,Miscellaneous,Export,Export(US$ Mil),40.06627627
Mozambique,2021,World,Intermediate goods,Import,Import(US$ Mil),2547.43320573
Mozambique,2021,World,Consumer goods,Import,Import(US$ Mil),3422.86793141
Mozambique,2021,World,Raw materials,Import,Import(US$ Mil),706.85893275
Mozambique,2021,World,Capital goods,Import,Import(US$ Mil),1943.71990213
Mozambique,2021,World,All Products,Export,Exports (in US$ Mil),5111.68590099
Mozambique,2021,World,All Products,Import,Imports (in US$ Mil),8622.69604356
Mozambique,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2373523.607377
Mozambique,2021,...,...,Tariff,No. Of Tariff Agreement,4
Mozambique,2021,...,...,Import,No. Of Import partners,203
Mozambique,2021,...,...,Import,No. Of Import products,3840
Mozambique,2021,...,...,Export,No. Of Export partners,124
Mozambique,2021,...,...,Export,No. Of Export products,1778
Mozambique,,...,...,Others,Services Trade Restrictions Index - Over All,18.6
Mozambique,2018,...,...,Others,Population,29495962
Mozambique,2019,...,...,Others,Trading Across Borders Rank,94
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0351135
Mozambique,2016,...,...,Others,LPI Score,2.684105
Mozambique,2018,...,...,Others,CPIA Trade Ratings,4
Mozambique,2019,...,...,Others,Ease of Doing Business Rank,138
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0589387
Mozambique,2016,...,...,Others,LPI Rank,84
Mozambique,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,16.7311
Mozambique,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,15.7121
Mozambique,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,10.9862
Mozambique,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5747
Mozambique,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2825
Mozambique,2021,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,26.1227
Mozambique,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9753
Mozambique,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5791
Mozambique,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3124
Mozambique,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1748
Mozambique,2021,World,Vegetable,Export,Export Product share(%),8.7519
Mozambique,2021,World,Textiles and Clothing,Export,Export Product share(%),0.7669
Mozambique,2021,World,Intermediate goods,Export,Export Product share(%),48.1101
Mozambique,2021,World,Food Products,Export,Export Product share(%),5.4111
Mozambique,2021,World,Footwear,Export,Export Product share(%),0.8339
Mozambique,2021,World,Consumer goods,Export,Export Product share(%),9.6561
Mozambique,2021,World,Fuels,Export,Export Product share(%),43.0579
Mozambique,2021,World,Metals,Export,Export Product share(%),23.3208
Mozambique,2021,World,Minerals,Export,Export Product share(%),10.2325
Mozambique,2021,World,Stone and Glass,Export,Export Product share(%),2.1568
Mozambique,2021,World,Capital goods,Export,Export Product share(%),1.0311
Mozambique,2021,World,Plastic or Rubber,Export,Export Product share(%),0.0692
Mozambique,2021,World,Transportation,Export,Export Product share(%),0.3656
Mozambique,2021,World,Animal,Export,Export Product share(%),0.4406
Mozambique,2021,World,Wood,Export,Export Product share(%),1.6599
Mozambique,2021,World,Raw materials,Export,Export Product share(%),40.512
Mozambique,2021,World,Chemicals,Export,Export Product share(%),1.5067
Mozambique,2021,World,Mach and Elec,Export,Export Product share(%),0.6398
Mozambique,2021,World,Hides and Skins,Export,Export Product share(%),0.0027
Mozambique,2021,World,Miscellaneous,Export,Export Product share(%),0.7838
Mozambique,2021,World,Consumer goods,Import,Import Product share(%),39.696
Mozambique,2021,World,Intermediate goods,Import,Import Product share(%),29.5433
Mozambique,2021,World,Capital goods,Import,Import Product share(%),22.5419
Mozambique,2021,World,Raw materials,Import,Import Product share(%),8.1977
Mozambique,2021,World,Consumer goods,Tariff,Weighted Average (%),6.19298368541912
Mozambique,2021,World,Intermediate goods,Tariff,Weighted Average (%),2.91289774474272
Mozambique,2021,World,Capital goods,Tariff,Weighted Average (%),3.73925504229324
Mozambique,2021,World,Raw materials,Tariff,Weighted Average (%),3.0703298443291
Mozambique,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Mozambique,2021,World,All Products,Trade Indicator,Country Growth (%),22.9640607183474
Mozambique,2021,World,All Products,Tariff,Simple Average (%),8.84125131100083
Mozambique,2021,World,All Products,Tariff,Weighted Average (%),4.19450108793232
Mozambique,2021,World,All Products,Tariff,Maximum Rate (%),20
Mozambique,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),20.375015677913
Mozambique,2021,...,...,Trade Indicator,Index of export market penetration,1.88779457454778
Mozambique,2021,...,...,Trade Indicator,HH Market concentration index,0.082534525657417
