Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mauritania,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1354.26402556
Mauritania,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,350.78997135
Mauritania,2021,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,324.02123121
Mauritania,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,312.28315314
Mauritania,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,225.31203831
Mauritania,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,577.089220709999
Mauritania,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,539.72145844
Mauritania,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,440.03487473
Mauritania,2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,260.764972
Mauritania,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,224.10667734
Mauritania,2021,World,Fuels,Export,Export(US$ Mil),10.27871631
Mauritania,2021,World,Metals,Export,Export(US$ Mil),2.81556263
Mauritania,2021,World,Hides and Skins,Export,Export(US$ Mil),0.15934651
Mauritania,2021,World,Miscellaneous,Export,Export(US$ Mil),1.21910168
Mauritania,2021,World,Minerals,Export,Export(US$ Mil),2049.6268106
Mauritania,2021,World,Stone and Glass,Export,Export(US$ Mil),323.94056812
Mauritania,2021,World,Capital goods,Export,Export(US$ Mil),13.5858983
Mauritania,2021,World,Animal,Export,Export(US$ Mil),385.43165577
Mauritania,2021,World,Wood,Export,Export(US$ Mil),0.44869811
Mauritania,2021,World,Raw materials,Export,Export(US$ Mil),2378.47706148
Mauritania,2021,World,Vegetable,Export,Export(US$ Mil),24.27927044
Mauritania,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.802921
Mauritania,2021,World,Intermediate goods,Export,Export(US$ Mil),539.02711197
Mauritania,2021,World,Plastic or Rubber,Export,Export(US$ Mil),6.43273988
Mauritania,2021,World,Transportation,Export,Export(US$ Mil),1.08867773
Mauritania,2021,World,Food Products,Export,Export(US$ Mil),438.28993996
Mauritania,2021,World,Footwear,Export,Export(US$ Mil),0.02146023
Mauritania,2021,World,Consumer goods,Export,Export(US$ Mil),335.8987358
Mauritania,2021,World,Chemicals,Export,Export(US$ Mil),10.02159178
Mauritania,2021,World,Mach and Elec,Export,Export(US$ Mil),12.1317468
Mauritania,2021,World,Capital goods,Import,Import(US$ Mil),690.76381026
Mauritania,2021,World,Raw materials,Import,Import(US$ Mil),429.37738758
Mauritania,2021,World,Intermediate goods,Import,Import(US$ Mil),583.57517258
Mauritania,2021,World,Consumer goods,Import,Import(US$ Mil),2156.74861382
Mauritania,2021,World,All Products,Export,Exports (in US$ Mil),3266.98880755
Mauritania,2021,World,All Products,Import,Imports (in US$ Mil),3860.4651096
Mauritania,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),283400.331592021
Mauritania,2021,...,...,Tariff,No. Of Tariff Agreement,1
Mauritania,2021,...,...,Import,No. Of Import partners,141
Mauritania,2021,...,...,Import,No. Of Import products,2269
Mauritania,2021,...,...,Export,No. Of Export partners,91
Mauritania,2021,...,...,Export,No. Of Export products,281
Mauritania,2018,...,...,Others,Population,4403319
Mauritania,2016,...,...,Others,LPI Rank,157
Mauritania,2019,...,...,Others,Ease of Doing Business Rank,152
Mauritania,2019,...,...,Others,Trading Across Borders Rank,144
Mauritania,2018,...,...,Others,CPIA Trade Ratings,4
Mauritania,2016,...,...,Others,LPI Score,1.866001
Mauritania,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,41.453
Mauritania,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,10.7374
Mauritania,2021,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,9.918
Mauritania,2021,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5587
