Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mauritius,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,232.25137593588
Mauritius,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,226.148853590295
Mauritius,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,152.742406141239
Mauritius,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,135.468144485333
Mauritius,2021,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,129.212667506641
Mauritius,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,914.506161334437
Mauritius,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,802.443821864757
Mauritius,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,443.422606989101
Mauritius,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,411.896829147071
Mauritius,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,345.184911068952
Mauritius,2021,World,Food Products,Export,Export(US$ Mil),453.967394960268
Mauritius,2021,World,Footwear,Export,Export(US$ Mil),11.5792424656702
Mauritius,2021,World,Consumer goods,Export,Export(US$ Mil),992.224372140934
Mauritius,2021,World,Vegetable,Export,Export(US$ Mil),29.2267306670184
Mauritius,2021,World,Textiles and Clothing,Export,Export(US$ Mil),548.402684784417
Mauritius,2021,World,Intermediate goods,Export,Export(US$ Mil),404.452903252294
Mauritius,2021,World,Hides and Skins,Export,Export(US$ Mil),14.4674552187458
Mauritius,2021,World,Miscellaneous,Export,Export(US$ Mil),127.522171221261
Mauritius,2021,World,Animal,Export,Export(US$ Mil),131.010527714475
Mauritius,2021,World,Wood,Export,Export(US$ Mil),20.5099293541981
Mauritius,2021,World,Raw materials,Export,Export(US$ Mil),177.270445351856
Mauritius,2021,World,Fuels,Export,Export(US$ Mil),0.44320581364664
Mauritius,2021,World,Metals,Export,Export(US$ Mil),70.2673946430961
Mauritius,2021,World,Chemicals,Export,Export(US$ Mil),61.6710699421659
Mauritius,2021,World,Mach and Elec,Export,Export(US$ Mil),40.8710383563893
Mauritius,2021,World,Minerals,Export,Export(US$ Mil),0.52088547931618
Mauritius,2021,World,Stone and Glass,Export,Export(US$ Mil),97.773556805076
Mauritius,2021,World,Capital goods,Export,Export(US$ Mil),97.8097473251882
Mauritius,2021,World,Plastic or Rubber,Export,Export(US$ Mil),38.3223229802494
Mauritius,2021,World,Transportation,Export,Export(US$ Mil),25.204677860556
Mauritius,2021,World,Intermediate goods,Import,Import(US$ Mil),1061.83771887048
Mauritius,2021,World,Consumer goods,Import,Import(US$ Mil),2614.40862159751
Mauritius,2021,World,Capital goods,Import,Import(US$ Mil),764.470986731202
Mauritius,2021,World,Raw materials,Import,Import(US$ Mil),706.433189084743
Mauritius,2021,World,All Products,Export,Exports (in US$ Mil),1671.76028826655
Mauritius,2021,World,All Products,Import,Imports (in US$ Mil),5147.26321322681
Mauritius,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3964733.20180361
Mauritius,2021,...,...,Tariff,No. Of Tariff Agreement,10
Mauritius,2021,...,...,Import,No. Of Import partners,174
Mauritius,2021,...,...,Import,No. Of Import products,3810
Mauritius,2021,...,...,Export,No. Of Export partners,137
Mauritius,2021,...,...,Export,No. Of Export products,2181
Mauritius,2018,...,...,Others,Population,1265303
Mauritius,2019,...,...,Others,Ease of Doing Business Rank,13
Mauritius,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0984901
Mauritius,2019,...,...,Others,Trading Across Borders Rank,72
Mauritius,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.097361
Mauritius,,...,...,Others,Services Trade Restrictions Index - Over All,16.9
Mauritius,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8926
