Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malawi,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,138.866424818164
Malawi,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,76.4828490691881
Malawi,2021,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,70.7425494333518
Malawi,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,66.8600563173708
Malawi,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46.2866870521204
Malawi,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,560.214720516389
Malawi,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,546.196712278833
Malawi,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,285.174927416168
Malawi,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,223.793756345284
Malawi,2021,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,130.021426793201
Malawi,2021,World,Plastic or Rubber,Export,Export(US$ Mil),13.7534540161549
Malawi,2021,World,Transportation,Export,Export(US$ Mil),14.0609959726535
Malawi,2021,World,Minerals,Export,Export(US$ Mil),0.995574148060216
Malawi,2021,World,Stone and Glass,Export,Export(US$ Mil),4.5670351355751
Malawi,2021,World,Capital goods,Export,Export(US$ Mil),35.0168570692564
Malawi,2021,World,Vegetable,Export,Export(US$ Mil),342.355094484559
Malawi,2021,World,Textiles and Clothing,Export,Export(US$ Mil),11.9551094221236
Malawi,2021,World,Intermediate goods,Export,Export(US$ Mil),196.00523505119
Malawi,2021,World,Fuels,Export,Export(US$ Mil),0.221536357905546
Malawi,2021,World,Metals,Export,Export(US$ Mil),10.4644119724309
Malawi,2021,World,Animal,Export,Export(US$ Mil),4.4392054070442
Malawi,2021,World,Wood,Export,Export(US$ Mil),12.4210089013773
Malawi,2021,World,Raw materials,Export,Export(US$ Mil),673.989812823485
Malawi,2021,World,Food Products,Export,Export(US$ Mil),556.889762099088
Malawi,2021,World,Footwear,Export,Export(US$ Mil),1.97504157597346
