Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malaysia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46351.7248748483
Malaysia,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41847.308487154
Malaysia,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34366.2500281411
Malaysia,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18494.037028564
Malaysia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18166.7202149305
Malaysia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55269.8883720879
Malaysia,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22618.5913590153
Malaysia,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18150.4801589618
Malaysia,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18079.8682725146
Malaysia,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17790.6525836494
Malaysia,2021,World,Chemicals,Export,Export(US$ Mil),14395.1452244714
Malaysia,2021,World,Mach and Elec,Export,Export(US$ Mil),127470.352060213
Malaysia,2021,World,Minerals,Export,Export(US$ Mil),2297.70548862822
Malaysia,2021,World,Stone and Glass,Export,Export(US$ Mil),5054.17184582448
Malaysia,2021,World,Capital goods,Export,Export(US$ Mil),127302.169234736
Malaysia,2021,World,Food Products,Export,Export(US$ Mil),7014.77838690939
Malaysia,2021,World,Footwear,Export,Export(US$ Mil),236.01450516682
Malaysia,2021,World,Consumer goods,Export,Export(US$ Mil),94783.585117628
Malaysia,2021,World,Fuels,Export,Export(US$ Mil),37270.1711979641
Malaysia,2021,World,Metals,Export,Export(US$ Mil),21986.9945473719
Malaysia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),27018.5307927782
Malaysia,2021,World,Transportation,Export,Export(US$ Mil),3872.18974366874
Malaysia,2021,World,Hides and Skins,Export,Export(US$ Mil),153.310668351546
Malaysia,2021,World,Miscellaneous,Export,Export(US$ Mil),18643.2772678496
Malaysia,2021,World,Animal,Export,Export(US$ Mil),1542.20643897464
Malaysia,2021,World,Wood,Export,Export(US$ Mil),4699.97751466336
Malaysia,2021,World,Raw materials,Export,Export(US$ Mil),11752.293457121
Malaysia,2021,World,Vegetable,Export,Export(US$ Mil),24389.0083691693
Malaysia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),3186.60034222661
Malaysia,2021,World,Intermediate goods,Export,Export(US$ Mil),63983.0143929035
Malaysia,2021,World,Consumer goods,Import,Import(US$ Mil),53718.8802730644
Malaysia,2021,World,Capital goods,Import,Import(US$ Mil),99345.5740230947
Malaysia,2021,World,Raw materials,Import,Import(US$ Mil),25011.8308497204
Malaysia,2021,World,Intermediate goods,Import,Import(US$ Mil),58649.2595259112
Malaysia,2021,World,All Products,Export,Exports (in US$ Mil),299230.434394232
