Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mayotte,2009,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.552685
Mayotte,2009,Comoros,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.069423
Mayotte,2009,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.965007
Mayotte,2009,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.282092
Mayotte,2009,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.197316
Mayotte,2009,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,244.592671
Mayotte,2009,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.202854
Mayotte,2009,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.492593
Mayotte,2009,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.737393
Mayotte,2009,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14.014083
Mayotte,2009,World,Food Products,Export,Export(US$ Mil),0.306761
Mayotte,2009,World,Footwear,Export,Export(US$ Mil),0.000486
Mayotte,2009,World,Consumer goods,Export,Export(US$ Mil),2.312908
Mayotte,2009,World,Animal,Export,Export(US$ Mil),0.760561
Mayotte,2009,World,Wood,Export,Export(US$ Mil),0.15997
Mayotte,2009,World,Raw materials,Export,Export(US$ Mil),1.202156
Mayotte,2009,World,Fuels,Export,Export(US$ Mil),0.03972
Mayotte,2009,World,Metals,Export,Export(US$ Mil),0.71822
Mayotte,2009,World,Chemicals,Export,Export(US$ Mil),0.441496
Mayotte,2009,World,Mach and Elec,Export,Export(US$ Mil),2.03699
Mayotte,2009,World,Hides and Skins,Export,Export(US$ Mil),0.00327
Mayotte,2009,World,Miscellaneous,Export,Export(US$ Mil),0.326834
Mayotte,2009,World,Minerals,Export,Export(US$ Mil),0.001051
Mayotte,2009,World,Stone and Glass,Export,Export(US$ Mil),0.067371
Mayotte,2009,World,Capital goods,Export,Export(US$ Mil),2.553716
Mayotte,2009,World,Vegetable,Export,Export(US$ Mil),0.003238
Mayotte,2009,World,Textiles and Clothing,Export,Export(US$ Mil),0.085351
Mayotte,2009,World,Intermediate goods,Export,Export(US$ Mil),0.711477
Mayotte,2009,World,Plastic or Rubber,Export,Export(US$ Mil),0.054119
Mayotte,2009,World,Transportation,Export,Export(US$ Mil),1.774798
Mayotte,2009,World,Intermediate goods,Import,Import(US$ Mil),62.128076
Mayotte,2009,World,Capital goods,Import,Import(US$ Mil),159.434513
Mayotte,2009,World,Raw materials,Import,Import(US$ Mil),43.761907
Mayotte,2009,World,Consumer goods,Import,Import(US$ Mil),236.599701
Mayotte,2009,World,All Products,Export,Exports (in US$ Mil),6.780235
Mayotte,2009,World,All Products,Import,Imports (in US$ Mil),501.924607
Mayotte,2009,World,All Products,Tariff,Duty Free Imports (US$ Thousand),387957.948
Mayotte,2009,...,...,Tariff,No. Of Tariff Agreement,2
Mayotte,2009,...,...,Import,No. Of Import partners,138
Mayotte,2009,...,...,Import,No. Of Import products,2883
Mayotte,2009,...,...,Export,No. Of Export partners,23
Mayotte,2009,...,...,Export,No. Of Export products,412
Mayotte,2009,France,All Products,Export,Partner share(%)-Top 5 Export Partner,52.3977
Mayotte,2009,Comoros,All Products,Export,Partner share(%)-Top 5 Export Partner,15.7727
Mayotte,2009,Madagascar,All Products,Export,Partner share(%)-Top 5 Export Partner,14.2326
Mayotte,2009,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1605
Mayotte,2009,Mauritius,All Products,Export,Partner share(%)-Top 5 Export Partner,2.9102
Mayotte,2009,France,All Products,Import,Partner share(%)-Top 5 Import Partner,48.731
Mayotte,2009,China,All Products,Import,Partner share(%)-Top 5 Import Partner,4.822
Mayotte,2009,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0828
Mayotte,2009,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9323
Mayotte,2009,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,2.7921
Mayotte,2009,World,Chemicals,Export,Export Product share(%),6.5115
Mayotte,2009,World,Mach and Elec,Export,Export Product share(%),30.0431
Mayotte,2009,World,Animal,Export,Export Product share(%),11.2173
Mayotte,2009,World,Wood,Export,Export Product share(%),2.3594
Mayotte,2009,World,Raw materials,Export,Export Product share(%),17.7303
Mayotte,2009,World,Minerals,Export,Export Product share(%),0.0155
Mayotte,2009,World,Stone and Glass,Export,Export Product share(%),0.9936
Mayotte,2009,World,Capital goods,Export,Export Product share(%),37.6641
Mayotte,2009,World,Fuels,Export,Export Product share(%),0.5858
Mayotte,2009,World,Metals,Export,Export Product share(%),10.5928
Mayotte,2009,World,Plastic or Rubber,Export,Export Product share(%),0.7982
Mayotte,2009,World,Transportation,Export,Export Product share(%),26.1761
Mayotte,2009,World,Vegetable,Export,Export Product share(%),0.0478
Mayotte,2009,World,Textiles and Clothing,Export,Export Product share(%),1.2588
