Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Namibia,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4099.529250328
Namibia,2021,Zambia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1310.692478761
Namibia,2021,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,587.50775323
Namibia,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,334.371521237
Namibia,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,322.654840911
Namibia,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3528.077299443
Namibia,2021,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1558.02291698
Namibia,2021,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,740.438014647
Namibia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,581.839800543
Namibia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,449.961990898
Namibia,2021,World,Food Products,Export,Export(US$ Mil),144.565115745
Namibia,2021,World,Footwear,Export,Export(US$ Mil),0.706187444
Namibia,2021,World,Consumer goods,Export,Export(US$ Mil),557.289624174999
Namibia,2021,World,Vegetable,Export,Export(US$ Mil),102.265574138
Namibia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6.376000226
Namibia,2021,World,Intermediate goods,Export,Export(US$ Mil),3032.411713823
Namibia,2021,World,Animal,Export,Export(US$ Mil),916.038450707
Namibia,2021,World,Wood,Export,Export(US$ Mil),112.138569302
Namibia,2021,World,Raw materials,Export,Export(US$ Mil),3069.820915846
Namibia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),129.037394852
Namibia,2021,World,Transportation,Export,Export(US$ Mil),607.558527797
Namibia,2021,World,Fuels,Export,Export(US$ Mil),160.073439696
Namibia,2021,World,Metals,Export,Export(US$ Mil),2074.514801068
Namibia,2021,World,Minerals,Export,Export(US$ Mil),1025.453068877
Namibia,2021,World,Stone and Glass,Export,Export(US$ Mil),1681.271739453
Namibia,2021,World,Capital goods,Export,Export(US$ Mil),575.950293805999
Namibia,2021,World,Chemicals,Export,Export(US$ Mil),137.050569577
Namibia,2021,World,Mach and Elec,Export,Export(US$ Mil),124.605350667
Namibia,2021,World,Hides and Skins,Export,Export(US$ Mil),12.272133469
Namibia,2021,World,Miscellaneous,Export,Export(US$ Mil),29.880303834
Namibia,2021,World,Consumer goods,Import,Import(US$ Mil),3249.859634489
Namibia,2021,World,Intermediate goods,Import,Import(US$ Mil),3302.022771829
Namibia,2021,World,Capital goods,Import,Import(US$ Mil),2799.628035738
Namibia,2021,World,Raw materials,Import,Import(US$ Mil),1597.014439511
Namibia,2021,World,All Products,Export,Exports (in US$ Mil),7263.807226853
Namibia,2021,World,All Products,Import,Imports (in US$ Mil),10991.763514665
Namibia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5655238.22495444
Namibia,2021,...,...,Tariff,No. Of Tariff Agreement,11
Namibia,2021,...,...,Import,No. Of Import partners,198
Namibia,2021,...,...,Import,No. Of Import products,4073
Namibia,2021,...,...,Export,No. Of Export partners,121
Namibia,2021,...,...,Export,No. Of Export products,2823
Namibia,,...,...,Others,Services Trade Restrictions Index - Over All,37
Namibia,2018,...,...,Others,Population,2448255
