Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
New Caledonia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,442.569729
New Caledonia,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,197.585647
New Caledonia,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,187.312904
New Caledonia,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,120.573726
New Caledonia,2015,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51.908547
New Caledonia,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,649.825053
New Caledonia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,258.307283
New Caledonia,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,207.834217
New Caledonia,2015,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,169.519812
New Caledonia,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,157.356565
New Caledonia,2015,World,Food Products,Export,Export(US$ Mil),1.976057
New Caledonia,2015,World,Footwear,Export,Export(US$ Mil),0.21035
New Caledonia,2015,World,Consumer goods,Export,Export(US$ Mil),17.433795
New Caledonia,2015,World,Vegetable,Export,Export(US$ Mil),1.90665
New Caledonia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2.198732
New Caledonia,2015,World,Intermediate goods,Export,Export(US$ Mil),917.47897
New Caledonia,2015,World,Animal,Export,Export(US$ Mil),15.511569
New Caledonia,2015,World,Wood,Export,Export(US$ Mil),2.828222
New Caledonia,2015,World,Raw materials,Export,Export(US$ Mil),256.378341
New Caledonia,2015,World,Fuels,Export,Export(US$ Mil),0.197164
New Caledonia,2015,World,Metals,Export,Export(US$ Mil),835.418236
New Caledonia,2015,World,Minerals,Export,Export(US$ Mil),237.117772
New Caledonia,2015,World,Stone and Glass,Export,Export(US$ Mil),1.074487
New Caledonia,2015,World,Capital goods,Export,Export(US$ Mil),29.604438
New Caledonia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1.866812
New Caledonia,2015,World,Transportation,Export,Export(US$ Mil),21.729571
New Caledonia,2015,World,Chemicals,Export,Export(US$ Mil),82.058894
New Caledonia,2015,World,Mach and Elec,Export,Export(US$ Mil),10.5939
New Caledonia,2015,World,Hides and Skins,Export,Export(US$ Mil),0.521681
New Caledonia,2015,World,Miscellaneous,Export,Export(US$ Mil),23.735518
New Caledonia,2015,World,Consumer goods,Import,Import(US$ Mil),1661.930253
New Caledonia,2015,World,Raw materials,Import,Import(US$ Mil),165.134022
New Caledonia,2015,World,Intermediate goods,Import,Import(US$ Mil),308.432563
New Caledonia,2015,World,Capital goods,Import,Import(US$ Mil),363.186488
New Caledonia,2015,World,All Products,Export,Exports (in US$ Mil),1238.945615
New Caledonia,2015,World,All Products,Import,Imports (in US$ Mil),2529.498893
New Caledonia,2015,...,...,Import,No. Of Import partners,178
New Caledonia,2015,...,...,Import,No. Of Import products,2775
New Caledonia,2015,...,...,Export,No. Of Export partners,77
New Caledonia,2015,...,...,Export,No. Of Export products,1224
New Caledonia,2018,...,...,Others,Population,284060
New Caledonia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,35.7215
New Caledonia,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9479
New Caledonia,2015,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,15.1187
New Caledonia,2015,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,9.732
New Caledonia,2015,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1897
New Caledonia,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,25.6899
New Caledonia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2118
New Caledonia,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2164
New Caledonia,2015,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7017
New Caledonia,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.2209
New Caledonia,2015,World,Food Products,Export,Export Product share(%),0.1595
New Caledonia,2015,World,Footwear,Export,Export Product share(%),0.017
New Caledonia,2015,World,Consumer goods,Export,Export Product share(%),1.4071
New Caledonia,2015,World,Vegetable,Export,Export Product share(%),0.1539
New Caledonia,2015,World,Textiles and Clothing,Export,Export Product share(%),0.1775
New Caledonia,2015,World,Intermediate goods,Export,Export Product share(%),74.0532
New Caledonia,2015,World,Minerals,Export,Export Product share(%),19.1387
New Caledonia,2015,World,Stone and Glass,Export,Export Product share(%),0.0867
New Caledonia,2015,World,Capital goods,Export,Export Product share(%),2.3895
New Caledonia,2015,World,Animal,Export,Export Product share(%),1.252
New Caledonia,2015,World,Wood,Export,Export Product share(%),0.2283
New Caledonia,2015,World,Raw materials,Export,Export Product share(%),20.6933
New Caledonia,2015,World,Fuels,Export,Export Product share(%),0.0159
New Caledonia,2015,World,Metals,Export,Export Product share(%),67.4298
New Caledonia,2015,World,Chemicals,Export,Export Product share(%),6.6233
New Caledonia,2015,World,Mach and Elec,Export,Export Product share(%),0.8551
