Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Netherlands,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,160431.582061726
Netherlands,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74138.0787549308
Netherlands,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56096.6080050349
Netherlands,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,45084.2223040428
Netherlands,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33382.2811464901
Netherlands,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,108104.451204071
Netherlands,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63542.6492654147
Netherlands,2021,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,61614.5194843703
Netherlands,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47590.027402398
Netherlands,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31334.7538151258
Netherlands,2021,World,Fuels,Export,Export(US$ Mil),87772.9280105071
Netherlands,2021,World,Metals,Export,Export(US$ Mil),42541.5572517689
Netherlands,2021,World,Chemicals,Export,Export(US$ Mil),98852.5024232636
Netherlands,2021,World,Mach and Elec,Export,Export(US$ Mil),143949.673086728
Netherlands,2021,World,Vegetable,Export,Export(US$ Mil),48051.6208978734
Netherlands,2021,World,Textiles and Clothing,Export,Export(US$ Mil),21074.6043943199
Netherlands,2021,World,Intermediate goods,Export,Export(US$ Mil),151409.187282608
Netherlands,2021,World,Minerals,Export,Export(US$ Mil),3225.22977320679
Netherlands,2021,World,Stone and Glass,Export,Export(US$ Mil),5310.31151865565
Netherlands,2021,World,Capital goods,Export,Export(US$ Mil),205676.291430965
Netherlands,2021,World,Food Products,Export,Export(US$ Mil),44987.2271077162
Netherlands,2021,World,Footwear,Export,Export(US$ Mil),5191.95332858615
Netherlands,2021,World,Consumer goods,Export,Export(US$ Mil),239884.378009851
Netherlands,2021,World,Plastic or Rubber,Export,Export(US$ Mil),38319.5604541913
Netherlands,2021,World,Transportation,Export,Export(US$ Mil),34428.6462911415
Netherlands,2021,World,Animal,Export,Export(US$ Mil),28268.1602273421
Netherlands,2021,World,Wood,Export,Export(US$ Mil),13725.029491592
Netherlands,2021,World,Raw materials,Export,Export(US$ Mil),62158.5564147427
Netherlands,2021,World,Hides and Skins,Export,Export(US$ Mil),2557.72297333275
Netherlands,2021,World,Miscellaneous,Export,Export(US$ Mil),78616.5299547475
Netherlands,2021,World,Intermediate goods,Import,Import(US$ Mil),127683.555188919
Netherlands,2021,World,Consumer goods,Import,Import(US$ Mil),201961.250005703
Netherlands,2021,World,Capital goods,Import,Import(US$ Mil),184713.692762809
Netherlands,2021,World,Raw materials,Import,Import(US$ Mil),83239.5633572892
Netherlands,2021,World,All Products,Export,Exports (in US$ Mil),696873.257184973
Netherlands,2021,World,All Products,Import,Imports (in US$ Mil),623369.106865866
Netherlands,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),208689727.961911
Netherlands,2021,...,...,Tariff,No. Of Tariff Agreement,
Netherlands,2021,...,...,Import,No. Of Import partners,226
Netherlands,2021,...,...,Import,No. Of Import products,4521
Netherlands,2021,...,...,Export,No. Of Export partners,232
Netherlands,2021,...,...,Export,No. Of Export products,4499
Netherlands,2019,...,...,Others,Ease of Doing Business Rank,42
Netherlands,2019,...,...,Others,Trading Across Borders Rank,1
Netherlands,2018,...,...,Others,Population,17231017
Netherlands,2016,...,...,Others,LPI Score,4.18753
Netherlands,2016,...,...,Others,LPI Rank,4
Netherlands,,...,...,Others,Services Trade Restrictions Index - Over All,12.2
Netherlands,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,23.0216
Netherlands,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6387
Netherlands,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,8.0498
