Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Norway,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37878.590060773
Norway,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35548.038152729
Norway,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13160.327565066
Norway,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12844.240905894
Norway,2021,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12600.419013807
Norway,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13121.705137401
Norway,2021,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11114.9684749
Norway,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10975.634675414
Norway,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6275.899019438
Norway,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4596.126697793
Norway,2021,World,Fuels,Export,Export(US$ Mil),120515.497397897
Norway,2021,World,Metals,Export,Export(US$ Mil),10567.398416319
Norway,2021,World,Animal,Export,Export(US$ Mil),13429.94430555
Norway,2021,World,Wood,Export,Export(US$ Mil),1667.337757609
Norway,2021,World,Raw materials,Export,Export(US$ Mil),56441.892943786
Norway,2021,World,Minerals,Export,Export(US$ Mil),886.84173973
Norway,2021,World,Stone and Glass,Export,Export(US$ Mil),1183.183556394
Norway,2021,World,Capital goods,Export,Export(US$ Mil),11667.189095422
Norway,2021,World,Vegetable,Export,Export(US$ Mil),352.620079365
Norway,2021,World,Textiles and Clothing,Export,Export(US$ Mil),438.651372125
Norway,2021,World,Intermediate goods,Export,Export(US$ Mil),18726.187274176
Norway,2021,World,Hides and Skins,Export,Export(US$ Mil),88.7672605
Norway,2021,World,Miscellaneous,Export,Export(US$ Mil),7898.332455493
Norway,2021,World,Plastic or Rubber,Export,Export(US$ Mil),682.055206139
Norway,2021,World,Transportation,Export,Export(US$ Mil),3709.926555821
Norway,2021,World,Chemicals,Export,Export(US$ Mil),4236.536633418
Norway,2021,World,Mach and Elec,Export,Export(US$ Mil),7487.291054968
Norway,2021,World,Food Products,Export,Export(US$ Mil),1299.475007239
Norway,2021,World,Footwear,Export,Export(US$ Mil),70.115311072
Norway,2021,World,Consumer goods,Export,Export(US$ Mil),82578.2937873291
Norway,2021,World,Intermediate goods,Import,Import(US$ Mil),21325.304380265
Norway,2021,World,Consumer goods,Import,Import(US$ Mil),41469.730260264
Norway,2021,World,Capital goods,Import,Import(US$ Mil),29593.704135281
Norway,2021,World,Raw materials,Import,Import(US$ Mil),5919.86173627399
Norway,2021,World,All Products,Export,Exports (in US$ Mil),174513.974109642
Norway,2021,World,All Products,Import,Imports (in US$ Mil),99252.589235105
Norway,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),77438954.5152747
Norway,2021,...,...,Tariff,No. Of Tariff Agreement,39
Norway,2021,...,...,Import,No. Of Import partners,199
Norway,2021,...,...,Import,No. Of Import products,4370
Norway,2021,...,...,Export,No. Of Export partners,206
Norway,2021,...,...,Export,No. Of Export products,3628
Norway,2018,...,...,Others,Population,5314336
Norway,2016,...,...,Others,LPI Score,3.732163
Norway,2019,...,...,Others,Ease of Doing Business Rank,9
Norway,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0941554
Norway,2016,...,...,Others,LPI Rank,22
