Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nepal,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1333.72582233
Nepal,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,132.61020757
Nepal,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29.85818909
Nepal,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.542081379897
Nepal,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.67811094
Nepal,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9583.62608909001
Nepal,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2383.29444831
Nepal,2021,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,451.68671309
Nepal,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,415.52592739
Nepal,2021,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,366.09516462
Nepal,2021,World,Chemicals,Export,Export(US$ Mil),45.32761621
Nepal,2021,World,Mach and Elec,Export,Export(US$ Mil),4.78097187
Nepal,2021,World,Fuels,Export,Export(US$ Mil),0.00024483
Nepal,2021,World,Metals,Export,Export(US$ Mil),25.74649317
Nepal,2021,World,Food Products,Export,Export(US$ Mil),121.84068378
Nepal,2021,World,Footwear,Export,Export(US$ Mil),10.28279238
Nepal,2021,World,Consumer goods,Export,Export(US$ Mil),1315.59343535
Nepal,2021,World,Minerals,Export,Export(US$ Mil),5.88354405989703
Nepal,2021,World,Stone and Glass,Export,Export(US$ Mil),22.09926887
Nepal,2021,World,Capital goods,Export,Export(US$ Mil),9.46821224
Nepal,2021,World,Vegetable,Export,Export(US$ Mil),1010.69677199
Nepal,2021,World,Textiles and Clothing,Export,Export(US$ Mil),375.56045542
Nepal,2021,World,Intermediate goods,Export,Export(US$ Mil),296.80899275
Nepal,2021,World,Hides and Skins,Export,Export(US$ Mil),4.92592719
