Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Other Asia, nes",2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126253.718680782
"Other Asia, nes",2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65947.0463070442
"Other Asia, nes",2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63161.936112089
"Other Asia, nes",2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29297.9449874133
"Other Asia, nes",2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25796.2802801068
"Other Asia, nes",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,82705.89187837
"Other Asia, nes",2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56274.240174733
"Other Asia, nes",2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39786.6605612748
"Other Asia, nes",2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30719.6647927639
"Other Asia, nes",2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15797.1656269173
"Other Asia, nes",2021,World,Fuels,Export,Export(US$ Mil),10253.242536631
"Other Asia, nes",2021,World,Metals,Export,Export(US$ Mil),36905.449159801
"Other Asia, nes",2021,World,Food Products,Export,Export(US$ Mil),3090.50898256766
"Other Asia, nes",2021,World,Footwear,Export,Export(US$ Mil),427.069845228416
"Other Asia, nes",2021,World,Consumer goods,Export,Export(US$ Mil),67962.1802309612
"Other Asia, nes",2021,World,Minerals,Export,Export(US$ Mil),2108.01261039894
"Other Asia, nes",2021,World,Stone and Glass,Export,Export(US$ Mil),5116.09763161861
"Other Asia, nes",2021,World,Capital goods,Export,Export(US$ Mil),284012.421405113
"Other Asia, nes",2021,World,Chemicals,Export,Export(US$ Mil),23440.8451791465
"Other Asia, nes",2021,World,Mach and Elec,Export,Export(US$ Mil),274899.578722199
"Other Asia, nes",2021,World,Plastic or Rubber,Export,Export(US$ Mil),30051.8533444156
"Other Asia, nes",2021,World,Transportation,Export,Export(US$ Mil),14625.268355149
"Other Asia, nes",2021,World,Vegetable,Export,Export(US$ Mil),1025.23574102592
"Other Asia, nes",2021,World,Textiles and Clothing,Export,Export(US$ Mil),9077.20323149087
"Other Asia, nes",2021,World,Intermediate goods,Export,Export(US$ Mil),88064.2090255214
"Other Asia, nes",2021,World,Animal,Export,Export(US$ Mil),1792.96802543194
"Other Asia, nes",2021,World,Wood,Export,Export(US$ Mil),2340.93444696904
"Other Asia, nes",2021,World,Raw materials,Export,Export(US$ Mil),5576.25771844617
"Other Asia, nes",2021,World,Hides and Skins,Export,Export(US$ Mil),493.857301902186
"Other Asia, nes",2021,World,Miscellaneous,Export,Export(US$ Mil),32008.4210061187
"Other Asia, nes",2021,World,Intermediate goods,Import,Import(US$ Mil),71592.8535402892
"Other Asia, nes",2021,World,Consumer goods,Import,Import(US$ Mil),67482.8805194368
"Other Asia, nes",2021,World,Capital goods,Import,Import(US$ Mil),190908.814172255
"Other Asia, nes",2021,World,Raw materials,Import,Import(US$ Mil),48214.0735668464
"Other Asia, nes",2021,World,All Products,Export,Exports (in US$ Mil),447656.546120094
"Other Asia, nes",2021,World,All Products,Import,Imports (in US$ Mil),382555.002402232
"Other Asia, nes",2021,...,...,Import,No. Of Import partners,224
"Other Asia, nes",2021,...,...,Import,No. Of Import products,4375
"Other Asia, nes",2021,...,...,Export,No. Of Export partners,218
"Other Asia, nes",2021,...,...,Export,No. Of Export products,4066
"Other Asia, nes",2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,28.2033
"Other Asia, nes",2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,14.7316
"Other Asia, nes",2021,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,14.1095
"Other Asia, nes",2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5447
"Other Asia, nes",2021,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7625
"Other Asia, nes",2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.6193
"Other Asia, nes",2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,14.7101
"Other Asia, nes",2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,10.4002
"Other Asia, nes",2021,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,8.0301
"Other Asia, nes",2021,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,4.1294
"Other Asia, nes",2021,World,Vegetable,Export,Export Product share(%),0.229
"Other Asia, nes",2021,World,Textiles and Clothing,Export,Export Product share(%),2.0277
"Other Asia, nes",2021,World,Intermediate goods,Export,Export Product share(%),19.6723
"Other Asia, nes",2021,World,Minerals,Export,Export Product share(%),0.4709
"Other Asia, nes",2021,World,Stone and Glass,Export,Export Product share(%),1.1429
"Other Asia, nes",2021,World,Capital goods,Export,Export Product share(%),63.4443
"Other Asia, nes",2021,World,Fuels,Export,Export Product share(%),2.2904
"Other Asia, nes",2021,World,Metals,Export,Export Product share(%),8.2441
"Other Asia, nes",2021,World,Animal,Export,Export Product share(%),0.4005
"Other Asia, nes",2021,World,Wood,Export,Export Product share(%),0.5229
"Other Asia, nes",2021,World,Raw materials,Export,Export Product share(%),1.2457
"Other Asia, nes",2021,World,Plastic or Rubber,Export,Export Product share(%),6.7131
"Other Asia, nes",2021,World,Transportation,Export,Export Product share(%),3.2671
"Other Asia, nes",2021,World,Hides and Skins,Export,Export Product share(%),0.1103
"Other Asia, nes",2021,World,Miscellaneous,Export,Export Product share(%),7.1502
"Other Asia, nes",2021,World,Chemicals,Export,Export Product share(%),5.2363
"Other Asia, nes",2021,World,Mach and Elec,Export,Export Product share(%),61.4086
"Other Asia, nes",2021,World,Food Products,Export,Export Product share(%),0.6904
"Other Asia, nes",2021,World,Footwear,Export,Export Product share(%),0.0954
"Other Asia, nes",2021,World,Consumer goods,Export,Export Product share(%),15.1818
"Other Asia, nes",2021,World,Capital goods,Import,Import Product share(%),49.9036
"Other Asia, nes",2021,World,Intermediate goods,Import,Import Product share(%),18.7144
"Other Asia, nes",2021,World,Raw materials,Import,Import Product share(%),12.6032
"Other Asia, nes",2021,World,Consumer goods,Import,Import Product share(%),17.64
"Other Asia, nes",2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
"Other Asia, nes",2021,World,All Products,Trade Indicator,Country Growth (%),14.8532512056781
"Other Asia, nes",2021,...,...,Trade Indicator,Index of export market penetration,21.3487013030833
"Other Asia, nes",2021,...,...,Trade Indicator,HH Market concentration index,0.164725703284865
