Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Oman,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26089.8145989614
Oman,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3843.45519294468
Oman,2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1728.63926127387
Oman,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1702.16979447525
Oman,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1326.41573004379
Oman,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11022.8752207206
Oman,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2164.59485747067
Oman,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2034.13598121189
Oman,2021,Qatar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1989.45157295933
Oman,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1506.12726162211
Oman,2021,World,Vegetable,Export,Export(US$ Mil),537.387164308534
Oman,2021,World,Textiles and Clothing,Export,Export(US$ Mil),176.200644717744
Oman,2021,World,Intermediate goods,Export,Export(US$ Mil),9391.9845548724
Oman,2021,World,Minerals,Export,Export(US$ Mil),1417.38815122782
Oman,2021,World,Stone and Glass,Export,Export(US$ Mil),334.676660074411
Oman,2021,World,Capital goods,Export,Export(US$ Mil),2236.62760118108
Oman,2021,World,Fuels,Export,Export(US$ Mil),26963.4462594927
Oman,2021,World,Metals,Export,Export(US$ Mil),3526.55223895429
Oman,2021,World,Food Products,Export,Export(US$ Mil),895.039345803424
Oman,2021,World,Footwear,Export,Export(US$ Mil),27.1342184230746
Oman,2021,World,Consumer goods,Export,Export(US$ Mil),12149.8462020518
Oman,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2380.14261526078
Oman,2021,World,Transportation,Export,Export(US$ Mil),2332.67180909319
Oman,2021,World,Chemicals,Export,Export(US$ Mil),3343.61665536542
Oman,2021,World,Mach and Elec,Export,Export(US$ Mil),1212.57713984484
Oman,2021,World,Hides and Skins,Export,Export(US$ Mil),7.18211702387052
Oman,2021,World,Miscellaneous,Export,Export(US$ Mil),318.393336302754
Oman,2021,World,Animal,Export,Export(US$ Mil),845.718628065266
Oman,2021,World,Wood,Export,Export(US$ Mil),272.799536634187
