Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Panama,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1199.247558
Panama,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,497.323111
Panama,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,386.706817
Panama,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,328.220306
Panama,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,191.550008
Panama,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3395.263358
Panama,2021,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3051.963842
Panama,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1578.194528
Panama,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,649.675675
Panama,2021,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,536.725286
Panama,2021,World,Food Products,Export,Export(US$ Mil),89.148876
Panama,2021,World,Footwear,Export,Export(US$ Mil),0.049364
Panama,2021,World,Consumer goods,Export,Export(US$ Mil),147.128364
Panama,2021,World,Vegetable,Export,Export(US$ Mil),294.78908
Panama,2021,World,Textiles and Clothing,Export,Export(US$ Mil),5.8943
Panama,2021,World,Intermediate goods,Export,Export(US$ Mil),176.128968
Panama,2021,World,Plastic or Rubber,Export,Export(US$ Mil),8.296916
Panama,2021,World,Transportation,Export,Export(US$ Mil),
Panama,2021,World,Minerals,Export,Export(US$ Mil),2946.627959
Panama,2021,World,Stone and Glass,Export,Export(US$ Mil),20.9343
Panama,2021,World,Capital goods,Export,Export(US$ Mil),13.957004
Panama,2021,World,Animal,Export,Export(US$ Mil),166.592217
Panama,2021,World,Wood,Export,Export(US$ Mil),74.523227
Panama,2021,World,Raw materials,Export,Export(US$ Mil),3444.708315
Panama,2021,World,Chemicals,Export,Export(US$ Mil),52.438365
Panama,2021,World,Mach and Elec,Export,Export(US$ Mil),
Panama,2021,World,Fuels,Export,Export(US$ Mil),6.921918
Panama,2021,World,Metals,Export,Export(US$ Mil),110.100225
Panama,2021,World,Hides and Skins,Export,Export(US$ Mil),4.224319
Panama,2021,World,Miscellaneous,Export,Export(US$ Mil),1.381585
Panama,2021,World,Intermediate goods,Import,Import(US$ Mil),1773.856568
Panama,2021,World,Consumer goods,Import,Import(US$ Mil),8529.694277
Panama,2021,World,Capital goods,Import,Import(US$ Mil),2298.495056
Panama,2021,World,Raw materials,Import,Import(US$ Mil),702.382821
Panama,2021,World,All Products,Export,Exports (in US$ Mil),3781.922651
Panama,2021,World,All Products,Import,Imports (in US$ Mil),13312.799623
Panama,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4275754.564
Panama,2021,...,...,Tariff,No. Of Tariff Agreement,1
Panama,2021,...,...,Import,No. Of Import partners,105
Panama,2021,...,...,Import,No. Of Import products,3743
Panama,2021,...,...,Export,No. Of Export partners,99
Panama,2021,...,...,Export,No. Of Export products,379
Panama,2018,...,...,Others,Population,4176873
Panama,2016,...,...,Others,LPI Score,3.337843
Panama,2019,...,...,Others,Trading Across Borders Rank,59
