Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Philippines,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11858.657197
Philippines,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11530.840475
Philippines,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10722.303731
Philippines,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9931.547214
Philippines,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4194.783019
Philippines,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28210.340121
Philippines,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11832.462576
Philippines,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9630.014432
Philippines,2021,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9030.468696
Philippines,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8277.981266
Philippines,2021,World,Chemicals,Export,Export(US$ Mil),1247.823226
Philippines,2021,World,Mach and Elec,Export,Export(US$ Mil),47246.756186
Philippines,2021,World,Fuels,Export,Export(US$ Mil),881.566806
Philippines,2021,World,Metals,Export,Export(US$ Mil),4308.824238
Philippines,2021,World,Vegetable,Export,Export(US$ Mil),3818.352971
Philippines,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1053.53158
Philippines,2021,World,Intermediate goods,Export,Export(US$ Mil),8843.336653
Philippines,2021,World,Minerals,Export,Export(US$ Mil),2019.322122
Philippines,2021,World,Stone and Glass,Export,Export(US$ Mil),1423.365944
Philippines,2021,World,Capital goods,Export,Export(US$ Mil),47105.200372
Philippines,2021,World,Hides and Skins,Export,Export(US$ Mil),721.912169
Philippines,2021,World,Miscellaneous,Export,Export(US$ Mil),3619.302431
Philippines,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1847.253554
Philippines,2021,World,Transportation,Export,Export(US$ Mil),2128.680752
Philippines,2021,World,Food Products,Export,Export(US$ Mil),2767.091093
Philippines,2021,World,Footwear,Export,Export(US$ Mil),151.402953
Philippines,2021,World,Consumer goods,Export,Export(US$ Mil),12445.473814
Philippines,2021,World,Animal,Export,Export(US$ Mil),348.842812
Philippines,2021,World,Wood,Export,Export(US$ Mil),1035.499918
Philippines,2021,World,Raw materials,Export,Export(US$ Mil),6151.896199
Philippines,2021,World,Intermediate goods,Import,Import(US$ Mil),28487.476079
Philippines,2021,World,Consumer goods,Import,Import(US$ Mil),35667.939905
Philippines,2021,World,Capital goods,Import,Import(US$ Mil),47720.3619679999
Philippines,2021,World,Raw materials,Import,Import(US$ Mil),12501.995596
Philippines,2021,World,All Products,Export,Exports (in US$ Mil),74619.528755
Philippines,2021,World,All Products,Import,Imports (in US$ Mil),124390.447217
Philippines,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),88987313.333
Philippines,2021,...,...,Tariff,No. Of Tariff Agreement,11
Philippines,2021,...,...,Import,No. Of Import partners,205
Philippines,2021,...,...,Import,No. Of Import products,4316
Philippines,2021,...,...,Export,No. Of Export partners,200
Philippines,2021,...,...,Export,No. Of Export products,2830
Philippines,2019,...,...,Others,Ease of Doing Business Rank,95
Philippines,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
Philippines,2015,...,...,Others,No Of NTM Measures,103
Philippines,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.227657
Philippines,2016,...,...,Others,LPI Score,2.856259
Philippines,2019,...,...,Others,Trading Across Borders Rank,113
Philippines,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2167562
Philippines,,...,...,Others,Services Trade Restrictions Index - Over All,53.5
Philippines,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0510980301
Philippines,2018,...,...,Others,Population,106651922
Philippines,2016,...,...,Others,LPI Rank,71
Philippines,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.0772051737
Philippines,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.8922
Philippines,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,15.4528
Philippines,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,14.3693
Philippines,2021,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,13.3096
Philippines,2021,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6216
Philippines,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,22.6789
Philippines,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,9.5124
Philippines,2021,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,7.7418
Philippines,2021,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2598
Philippines,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6548
Philippines,2021,World,Vegetable,Export,Export Product share(%),5.1171
Philippines,2021,World,Textiles and Clothing,Export,Export Product share(%),1.4119
Philippines,2021,World,Intermediate goods,Export,Export Product share(%),11.8512
Philippines,2021,World,Minerals,Export,Export Product share(%),2.7062
Philippines,2021,World,Stone and Glass,Export,Export Product share(%),1.9075
Philippines,2021,World,Capital goods,Export,Export Product share(%),63.1272
Philippines,2021,World,Fuels,Export,Export Product share(%),1.1814
Philippines,2021,World,Metals,Export,Export Product share(%),5.7744
Philippines,2021,World,Animal,Export,Export Product share(%),0.4675
Philippines,2021,World,Wood,Export,Export Product share(%),1.3877
Philippines,2021,World,Raw materials,Export,Export Product share(%),8.2444
Philippines,2021,World,Plastic or Rubber,Export,Export Product share(%),2.4756
Philippines,2021,World,Transportation,Export,Export Product share(%),2.8527
Philippines,2021,World,Chemicals,Export,Export Product share(%),1.6722
Philippines,2021,World,Mach and Elec,Export,Export Product share(%),63.3169
Philippines,2021,World,Hides and Skins,Export,Export Product share(%),0.9675
Philippines,2021,World,Miscellaneous,Export,Export Product share(%),4.8503
Philippines,2021,World,Food Products,Export,Export Product share(%),3.7083
Philippines,2021,World,Footwear,Export,Export Product share(%),0.2029
Philippines,2021,World,Consumer goods,Export,Export Product share(%),16.6786
Philippines,2021,World,Intermediate goods,Import,Import Product share(%),22.9017
Philippines,2021,World,Capital goods,Import,Import Product share(%),38.3634
Philippines,2021,World,Consumer goods,Import,Import Product share(%),28.6742
Philippines,2021,World,Raw materials,Import,Import Product share(%),10.0506
Philippines,2021,World,Intermediate goods,Tariff,Weighted Average (%),0.863146053062657
Philippines,2021,World,Capital goods,Tariff,Weighted Average (%),0.354641281395061
Philippines,2021,World,Consumer goods,Tariff,Weighted Average (%),3.71802296092438
Philippines,2021,World,Raw materials,Tariff,Weighted Average (%),5.54288851573401
Philippines,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Philippines,2021,World,All Products,Trade Indicator,Country Growth (%),11.6473272430451
