Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Palau,2018,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.65685870999999
Palau,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.77155517
Palau,2018,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.40108635
Palau,2018,"Micronesia, Fed. Sts.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.28570586
Palau,2018,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.22620675
Palau,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53.6732778900001
Palau,2018,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26.2829815
Palau,2018,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.85208578
Palau,2018,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.58630913
Palau,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.80685464
Palau,2018,World,Food Products,Export,Export(US$ Mil),0.04518148
Palau,2018,World,Footwear,Export,Export(US$ Mil),0.00032218
Palau,2018,World,Consumer goods,Export,Export(US$ Mil),0.14667912
Palau,2018,World,Fuels,Export,Export(US$ Mil),
Palau,2018,World,Metals,Export,Export(US$ Mil),0.17988895
Palau,2018,World,Minerals,Export,Export(US$ Mil),0.0490822
Palau,2018,World,Stone and Glass,Export,Export(US$ Mil),0.00020308
Palau,2018,World,Capital goods,Export,Export(US$ Mil),0.63559389
Palau,2018,World,Chemicals,Export,Export(US$ Mil),0.03665919
Palau,2018,World,Mach and Elec,Export,Export(US$ Mil),0.16370555
Palau,2018,World,Vegetable,Export,Export(US$ Mil),0.000935
Palau,2018,World,Textiles and Clothing,Export,Export(US$ Mil),0.0016276
Palau,2018,World,Intermediate goods,Export,Export(US$ Mil),0.04184754
Palau,2018,World,Hides and Skins,Export,Export(US$ Mil),0.000278
Palau,2018,World,Miscellaneous,Export,Export(US$ Mil),0.01431135
Palau,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.02415859
Palau,2018,World,Transportation,Export,Export(US$ Mil),0.47093126
Palau,2018,World,Animal,Export,Export(US$ Mil),7.60281198
Palau,2018,World,Wood,Export,Export(US$ Mil),0.03081164
Palau,2018,World,Raw materials,Export,Export(US$ Mil),7.79052948
Palau,2018,World,Intermediate goods,Import,Import(US$ Mil),13.73724294
Palau,2018,World,Consumer goods,Import,Import(US$ Mil),100.93933595
Palau,2018,World,Capital goods,Import,Import(US$ Mil),27.00854849
Palau,2018,World,Raw materials,Import,Import(US$ Mil),9.74446427
Palau,2018,World,All Products,Export,Exports (in US$ Mil),8.62090805
Palau,2018,World,All Products,Import,Imports (in US$ Mil),154.41282668
Palau,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30863.98072
Palau,2018,...,...,Tariff,No. Of Tariff Agreement,1
Palau,2018,...,...,Import,No. Of Import partners,116
Palau,2018,...,...,Import,No. Of Import products,2984
Palau,2018,...,...,Export,No. Of Export partners,18
Palau,2018,...,...,Export,No. Of Export products,126
Palau,2019,...,...,Others,Ease of Doing Business Rank,145
Palau,2019,...,...,Others,Trading Across Borders Rank,139
Palau,2018,...,...,Others,Population,17907
Palau,2018,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,77.2176
Palau,2018,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,8.9498
Palau,2018,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6525
Palau,2018,"Micronesia, Fed. Sts.",All Products,Export,Partner share(%)-Top 5 Export Partner,3.3141
Palau,2018,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,2.6239
Palau,2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,34.7596
Palau,2018,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,17.0212
Palau,2018,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,10.266
Palau,2018,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0939
Palau,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7034
Palau,2018,World,Vegetable,Export,Export Product share(%),0.0108
Palau,2018,World,Textiles and Clothing,Export,Export Product share(%),0.0189
Palau,2018,World,Intermediate goods,Export,Export Product share(%),0.4854
Palau,2018,World,Food Products,Export,Export Product share(%),0.5241
Palau,2018,World,Footwear,Export,Export Product share(%),0.0037
Palau,2018,World,Consumer goods,Export,Export Product share(%),1.7014
Palau,2018,World,Minerals,Export,Export Product share(%),0.5693
Palau,2018,World,Stone and Glass,Export,Export Product share(%),0.0024
Palau,2018,World,Capital goods,Export,Export Product share(%),7.3727
Palau,2018,World,Fuels,Export,Export Product share(%),
Palau,2018,World,Metals,Export,Export Product share(%),2.0867
Palau,2018,World,Chemicals,Export,Export Product share(%),0.4252
Palau,2018,World,Mach and Elec,Export,Export Product share(%),1.8989
Palau,2018,World,Plastic or Rubber,Export,Export Product share(%),0.2802
Palau,2018,World,Transportation,Export,Export Product share(%),5.4627
Palau,2018,World,Hides and Skins,Export,Export Product share(%),0.0032
Palau,2018,World,Miscellaneous,Export,Export Product share(%),0.166
Palau,2018,World,Animal,Export,Export Product share(%),88.1904
Palau,2018,World,Wood,Export,Export Product share(%),0.3574
Palau,2018,World,Raw materials,Export,Export Product share(%),90.3679
Palau,2018,World,Intermediate goods,Import,Import Product share(%),8.8964
