Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Poland,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91052.397146
Poland,2021,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19029.902244
Poland,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18108.958536
Poland,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16137.558915
Poland,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14089.016093
Poland,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,70635.849296
Poland,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49662.974026
Poland,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20114.278862
Poland,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16740.649177
Poland,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13714.264462
Poland,2021,World,Vegetable,Export,Export(US$ Mil),8579.593735
Poland,2021,World,Textiles and Clothing,Export,Export(US$ Mil),14982.282512
Poland,2021,World,Intermediate goods,Export,Export(US$ Mil),61442.6220689999
Poland,2021,World,Food Products,Export,Export(US$ Mil),22603.060191
Poland,2021,World,Footwear,Export,Export(US$ Mil),3448.528975
Poland,2021,World,Consumer goods,Export,Export(US$ Mil),140580.676293
Poland,2021,World,Animal,Export,Export(US$ Mil),12228.920684
Poland,2021,World,Wood,Export,Export(US$ Mil),15229.971161
Poland,2021,World,Raw materials,Export,Export(US$ Mil),20770.281561
Poland,2021,World,Minerals,Export,Export(US$ Mil),492.015641
Poland,2021,World,Stone and Glass,Export,Export(US$ Mil),8029.25365
Poland,2021,World,Capital goods,Export,Export(US$ Mil),94830.470714
Poland,2021,World,Plastic or Rubber,Export,Export(US$ Mil),22233.975966
Poland,2021,World,Transportation,Export,Export(US$ Mil),35981.897601
Poland,2021,World,Chemicals,Export,Export(US$ Mil),22298.432698
Poland,2021,World,Mach and Elec,Export,Export(US$ Mil),79783.560857
Poland,2021,World,Fuels,Export,Export(US$ Mil),7040.758764
Poland,2021,World,Metals,Export,Export(US$ Mil),34809.863009
Poland,2021,World,Hides and Skins,Export,Export(US$ Mil),1385.400475
Poland,2021,World,Miscellaneous,Export,Export(US$ Mil),28704.609023
Poland,2021,World,Intermediate goods,Import,Import(US$ Mil),85682.5547850001
Poland,2021,World,Capital goods,Import,Import(US$ Mil),101316.562541
Poland,2021,World,Raw materials,Import,Import(US$ Mil),30939.023119
Poland,2021,World,Consumer goods,Import,Import(US$ Mil),109765.453573
Poland,2021,World,All Products,Export,Exports (in US$ Mil),317832.124942
Poland,2021,World,All Products,Import,Imports (in US$ Mil),335451.322206
Poland,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),86732019.04
Poland,2021,...,...,Tariff,No. Of Tariff Agreement,
Poland,2021,...,...,Import,No. Of Import partners,232
Poland,2021,...,...,Import,No. Of Import products,4470
Poland,2021,...,...,Export,No. Of Export partners,223
Poland,2021,...,...,Export,No. Of Export products,4313
Poland,2019,...,...,Others,Ease of Doing Business Rank,40
Poland,2019,...,...,Others,Trading Across Borders Rank,1
Poland,2018,...,...,Others,Population,37978548
Poland,2016,...,...,Others,LPI Score,3.425877
Poland,,...,...,Others,Services Trade Restrictions Index - Over All,11
Poland,2016,...,...,Others,LPI Rank,33
Poland,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,28.648
Poland,2021,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9874
Poland,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6976
Poland,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0774
Poland,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4328
Poland,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,21.057
Poland,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.8048
Poland,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9962
Poland,2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,4.9905
Poland,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0883
Poland,2021,World,Vegetable,Export,Export Product share(%),2.6994
Poland,2021,World,Textiles and Clothing,Export,Export Product share(%),4.7139
Poland,2021,World,Intermediate goods,Export,Export Product share(%),19.3318
Poland,2021,World,Food Products,Export,Export Product share(%),7.1116
Poland,2021,World,Footwear,Export,Export Product share(%),1.085
