Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Portugal,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20125.6453489026
Portugal,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9867.96744848201
Portugal,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8292.67160945871
Portugal,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4195.25429167661
Portugal,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3910.48560327364
Portugal,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32288.5923207427
Portugal,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12210.7759799163
Portugal,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6593.8618071923
Portugal,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5245.01884605496
Portugal,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5063.56372894287
Portugal,2021,World,Fuels,Export,Export(US$ Mil),4341.56069559116
Portugal,2021,World,Metals,Export,Export(US$ Mil),6710.66599713398
Portugal,2021,World,Minerals,Export,Export(US$ Mil),1176.4286813864
Portugal,2021,World,Stone and Glass,Export,Export(US$ Mil),2528.03433464947
Portugal,2021,World,Capital goods,Export,Export(US$ Mil),15607.3888701967
Portugal,2021,World,Chemicals,Export,Export(US$ Mil),4647.73185997409
Portugal,2021,World,Mach and Elec,Export,Export(US$ Mil),10737.3978136842
Portugal,2021,World,Animal,Export,Export(US$ Mil),2059.87987471021
Portugal,2021,World,Wood,Export,Export(US$ Mil),5622.53420458594
Portugal,2021,World,Raw materials,Export,Export(US$ Mil),5752.48175352695
Portugal,2021,World,Vegetable,Export,Export(US$ Mil),3217.99941202697
Portugal,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6402.007453001
Portugal,2021,World,Intermediate goods,Export,Export(US$ Mil),17920.5594693902
Portugal,2021,World,Plastic or Rubber,Export,Export(US$ Mil),5791.90649045247
Portugal,2021,World,Transportation,Export,Export(US$ Mil),9937.34198497867
Portugal,2021,World,Hides and Skins,Export,Export(US$ Mil),375.009154286173
Portugal,2021,World,Miscellaneous,Export,Export(US$ Mil),4801.29105573846
Portugal,2021,World,Food Products,Export,Export(US$ Mil),4763.1864592475
Portugal,2021,World,Footwear,Export,Export(US$ Mil),2129.79142261721
Portugal,2021,World,Consumer goods,Export,Export(US$ Mil),35880.9411024703
Portugal,2021,World,Intermediate goods,Import,Import(US$ Mil),26950.0654923633
Portugal,2021,World,Capital goods,Import,Import(US$ Mil),23635.3448705335
Portugal,2021,World,Raw materials,Import,Import(US$ Mil),13696.5175021061
Portugal,2021,World,Consumer goods,Import,Import(US$ Mil),34037.3574840868
Portugal,2021,World,All Products,Export,Exports (in US$ Mil),75242.7668940639
Portugal,2021,World,All Products,Import,Imports (in US$ Mil),98337.1102769108
Portugal,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),17938931.4607317
Portugal,2021,...,...,Tariff,No. Of Tariff Agreement,
Portugal,2021,...,...,Import,No. Of Import partners,206
Portugal,2021,...,...,Import,No. Of Import products,4475
Portugal,2021,...,...,Export,No. Of Export partners,215
Portugal,2021,...,...,Export,No. Of Export products,4215
Portugal,2019,...,...,Others,Ease of Doing Business Rank,39
Portugal,2019,...,...,Others,Trading Across Borders Rank,1
Portugal,2018,...,...,Others,Population,10281762
Portugal,2016,...,...,Others,LPI Score,3.409367
Portugal,2016,...,...,Others,LPI Rank,36
Portugal,,...,...,Others,Services Trade Restrictions Index - Over All,21.8
