Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Occ.Pal.Terr,2021,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1168.68230351
Occ.Pal.Terr,2021,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69.55357924
Occ.Pal.Terr,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.77875098
Occ.Pal.Terr,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15.42878823
Occ.Pal.Terr,2021,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.81001214
Occ.Pal.Terr,2021,Israel,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4157.04124868
Occ.Pal.Terr,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,808.508222060001
Occ.Pal.Terr,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,531.6945877
Occ.Pal.Terr,2021,Jordan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,256.98733792
Occ.Pal.Terr,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,199.08284031
Occ.Pal.Terr,2021,World,Minerals,Export,Export(US$ Mil),45.3786048
Occ.Pal.Terr,2021,World,Stone and Glass,Export,Export(US$ Mil),223.57577959
Occ.Pal.Terr,2021,World,Capital goods,Export,Export(US$ Mil),65.6038373
Occ.Pal.Terr,2021,World,Food Products,Export,Export(US$ Mil),108.75108388
Occ.Pal.Terr,2021,World,Footwear,Export,Export(US$ Mil),28.84286893
Occ.Pal.Terr,2021,World,Consumer goods,Export,Export(US$ Mil),808.750198059999
Occ.Pal.Terr,2021,World,Vegetable,Export,Export(US$ Mil),141.10647969
Occ.Pal.Terr,2021,World,Textiles and Clothing,Export,Export(US$ Mil),20.28622042
Occ.Pal.Terr,2021,World,Intermediate goods,Export,Export(US$ Mil),253.55895153
Occ.Pal.Terr,2021,World,Fuels,Export,Export(US$ Mil),0.93087363
Occ.Pal.Terr,2021,World,Metals,Export,Export(US$ Mil),268.85993155
Occ.Pal.Terr,2021,World,Chemicals,Export,Export(US$ Mil),56.21945111
Occ.Pal.Terr,2021,World,Mach and Elec,Export,Export(US$ Mil),47.30763638
Occ.Pal.Terr,2021,World,Plastic or Rubber,Export,Export(US$ Mil),144.63612798
Occ.Pal.Terr,2021,World,Transportation,Export,Export(US$ Mil),18.8994531
Occ.Pal.Terr,2021,World,Hides and Skins,Export,Export(US$ Mil),2.20845172
Occ.Pal.Terr,2021,World,Miscellaneous,Export,Export(US$ Mil),173.36895207
Occ.Pal.Terr,2021,World,Animal,Export,Export(US$ Mil),7.02849526
Occ.Pal.Terr,2021,World,Wood,Export,Export(US$ Mil),70.23961906
Occ.Pal.Terr,2021,World,Raw materials,Export,Export(US$ Mil),229.72704228
Occ.Pal.Terr,2021,World,Intermediate goods,Import,Import(US$ Mil),2235.97504736
Occ.Pal.Terr,2021,World,Consumer goods,Import,Import(US$ Mil),3822.09350916
Occ.Pal.Terr,2021,World,Capital goods,Import,Import(US$ Mil),958.5712247
Occ.Pal.Terr,2021,World,Raw materials,Import,Import(US$ Mil),812.443587099999
Occ.Pal.Terr,2021,World,All Products,Export,Exports (in US$ Mil),1357.64002917
Occ.Pal.Terr,2021,World,All Products,Import,Imports (in US$ Mil),7829.11245261
Occ.Pal.Terr,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),588512.041803538
Occ.Pal.Terr,2017,...,...,Tariff,No. Of Tariff Agreement,14
Occ.Pal.Terr,2021,...,...,Import,No. Of Import partners,138
Occ.Pal.Terr,2021,...,...,Import,No. Of Import products,3245
Occ.Pal.Terr,2021,...,...,Export,No. Of Export partners,68
Occ.Pal.Terr,2021,...,...,Export,No. Of Export products,1108
Occ.Pal.Terr,2018,...,...,Others,Population,4569087
Occ.Pal.Terr,2021,Israel,All Products,Export,Partner share(%)-Top 5 Export Partner,86.0819
Occ.Pal.Terr,2021,Jordan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1231
Occ.Pal.Terr,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,1.4568
Occ.Pal.Terr,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,1.1364
Occ.Pal.Terr,2021,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8699
Occ.Pal.Terr,2021,Israel,All Products,Import,Partner share(%)-Top 5 Import Partner,53.0972
Occ.Pal.Terr,2021,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,10.3269
Occ.Pal.Terr,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7912
Occ.Pal.Terr,2021,Jordan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2825
Occ.Pal.Terr,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5429
Occ.Pal.Terr,2021,World,Food Products,Export,Export Product share(%),8.0103
Occ.Pal.Terr,2021,World,Footwear,Export,Export Product share(%),2.1245
Occ.Pal.Terr,2021,World,Consumer goods,Export,Export Product share(%),59.5703
Occ.Pal.Terr,2021,World,Minerals,Export,Export Product share(%),3.3425
Occ.Pal.Terr,2021,World,Stone and Glass,Export,Export Product share(%),16.468
Occ.Pal.Terr,2021,World,Capital goods,Export,Export Product share(%),4.8322
Occ.Pal.Terr,2021,World,Fuels,Export,Export Product share(%),0.0686
Occ.Pal.Terr,2021,World,Metals,Export,Export Product share(%),19.8035
Occ.Pal.Terr,2021,World,Chemicals,Export,Export Product share(%),4.141
Occ.Pal.Terr,2021,World,Mach and Elec,Export,Export Product share(%),3.4845
Occ.Pal.Terr,2021,World,Vegetable,Export,Export Product share(%),10.3935
Occ.Pal.Terr,2021,World,Textiles and Clothing,Export,Export Product share(%),1.4942
Occ.Pal.Terr,2021,World,Intermediate goods,Export,Export Product share(%),18.6764
Occ.Pal.Terr,2021,World,Hides and Skins,Export,Export Product share(%),0.1627
Occ.Pal.Terr,2021,World,Miscellaneous,Export,Export Product share(%),12.7699
Occ.Pal.Terr,2021,World,Plastic or Rubber,Export,Export Product share(%),10.6535
Occ.Pal.Terr,2021,World,Transportation,Export,Export Product share(%),1.3921
Occ.Pal.Terr,2021,World,Animal,Export,Export Product share(%),0.5177
Occ.Pal.Terr,2021,World,Wood,Export,Export Product share(%),5.1737
Occ.Pal.Terr,2021,World,Raw materials,Export,Export Product share(%),16.9211
Occ.Pal.Terr,2021,World,Intermediate goods,Import,Import Product share(%),28.5598
Occ.Pal.Terr,2021,World,Consumer goods,Import,Import Product share(%),48.819
Occ.Pal.Terr,2021,World,Capital goods,Import,Import Product share(%),12.2437
Occ.Pal.Terr,2021,World,Raw materials,Import,Import Product share(%),10.3772
Occ.Pal.Terr,2017,World,Intermediate goods,Tariff,Weighted Average (%),5.0735981218917
Occ.Pal.Terr,2017,World,Consumer goods,Tariff,Weighted Average (%),2.21143692427151
Occ.Pal.Terr,2017,World,Capital goods,Tariff,Weighted Average (%),0.966597074830993
Occ.Pal.Terr,2017,World,Raw materials,Tariff,Weighted Average (%),1.69325381608273
Occ.Pal.Terr,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Occ.Pal.Terr,2021,World,All Products,Trade Indicator,Country Growth (%),0.0751351931008726
Occ.Pal.Terr,2017,World,All Products,Tariff,Simple Average (%),1.85733297745921
Occ.Pal.Terr,2017,World,All Products,Tariff,Weighted Average (%),2.18439555073273
Occ.Pal.Terr,2017,World,All Products,Tariff,Maximum Rate (%),212
Occ.Pal.Terr,2017,World,All Products,Tariff,Duty Free Tariff Lines Share (%),86.1605697636776
Occ.Pal.Terr,2021,...,...,Trade Indicator,Index of export market penetration,1.54451913245883
Occ.Pal.Terr,2021,...,...,Trade Indicator,HH Market concentration index,0.157298025257993
