Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
French Polynesia,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43.53913964
French Polynesia,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.116526627
French Polynesia,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.923563456
French Polynesia,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.431085937
French Polynesia,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.056078901
French Polynesia,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,469.763872284
French Polynesia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,284.847648359
French Polynesia,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,190.168588689
French Polynesia,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,151.995211483
French Polynesia,2021,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,122.905357994
French Polynesia,2021,World,Fuels,Export,Export(US$ Mil),0.082541007
French Polynesia,2021,World,Metals,Export,Export(US$ Mil),1.147623068
French Polynesia,2021,World,Minerals,Export,Export(US$ Mil),0.042394113
French Polynesia,2021,World,Stone and Glass,Export,Export(US$ Mil),49.619011504
French Polynesia,2021,World,Capital goods,Export,Export(US$ Mil),27.718723996
French Polynesia,2021,World,Food Products,Export,Export(US$ Mil),5.426669977
French Polynesia,2021,World,Footwear,Export,Export(US$ Mil),0.014930698
French Polynesia,2021,World,Consumer goods,Export,Export(US$ Mil),24.352049083
French Polynesia,2021,World,Hides and Skins,Export,Export(US$ Mil),0.026696307
French Polynesia,2021,World,Miscellaneous,Export,Export(US$ Mil),6.411335699
French Polynesia,2021,World,Chemicals,Export,Export(US$ Mil),3.450065456
French Polynesia,2021,World,Mach and Elec,Export,Export(US$ Mil),7.725993839
French Polynesia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.453946612
French Polynesia,2021,World,Transportation,Export,Export(US$ Mil),35.561052047
French Polynesia,2021,World,Animal,Export,Export(US$ Mil),19.54592393
French Polynesia,2021,World,Wood,Export,Export(US$ Mil),0.453715854
French Polynesia,2021,World,Raw materials,Export,Export(US$ Mil),69.542210577
French Polynesia,2021,World,Vegetable,Export,Export(US$ Mil),12.420088103
French Polynesia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.757215484
French Polynesia,2021,World,Intermediate goods,Export,Export(US$ Mil),17.544970993
French Polynesia,2021,World,Consumer goods,Import,Import(US$ Mil),1137.050844441
French Polynesia,2021,World,Capital goods,Import,Import(US$ Mil),464.58941267
French Polynesia,2021,World,Raw materials,Import,Import(US$ Mil),140.011844935
French Polynesia,2021,World,Intermediate goods,Import,Import(US$ Mil),261.263034848
French Polynesia,2021,World,All Products,Export,Exports (in US$ Mil),143.139203697
French Polynesia,2021,World,All Products,Import,Imports (in US$ Mil),2003.095977252
French Polynesia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),247894.151992083
French Polynesia,2021,...,...,Tariff,No. Of Tariff Agreement,2
French Polynesia,2021,...,...,Import,No. Of Import partners,185
French Polynesia,2021,...,...,Import,No. Of Import products,3523
French Polynesia,2021,...,...,Export,No. Of Export partners,67
French Polynesia,2021,...,...,Export,No. Of Export products,802
French Polynesia,2018,...,...,Others,Population,277679
French Polynesia,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,30.4173
French Polynesia,2021,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,18.9442
French Polynesia,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,16.7135
French Polynesia,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,13.575
French Polynesia,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6281
French Polynesia,2021,France,All Products,Import,Partner share(%)-Top 5 Import Partner,23.4519
French Polynesia,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.2204
French Polynesia,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4937
French Polynesia,2021,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,7.588
French Polynesia,2021,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1358
French Polynesia,2021,World,Chemicals,Export,Export Product share(%),2.4103
French Polynesia,2021,World,Mach and Elec,Export,Export Product share(%),5.3975
French Polynesia,2021,World,Fuels,Export,Export Product share(%),0.0577
French Polynesia,2021,World,Metals,Export,Export Product share(%),0.8018
French Polynesia,2021,World,Vegetable,Export,Export Product share(%),8.6769
French Polynesia,2021,World,Textiles and Clothing,Export,Export Product share(%),0.529
French Polynesia,2021,World,Intermediate goods,Export,Export Product share(%),12.2573
French Polynesia,2021,World,Plastic or Rubber,Export,Export Product share(%),0.3171
French Polynesia,2021,World,Transportation,Export,Export Product share(%),24.8437
French Polynesia,2021,World,Food Products,Export,Export Product share(%),3.7912
French Polynesia,2021,World,Footwear,Export,Export Product share(%),0.0104
French Polynesia,2021,World,Consumer goods,Export,Export Product share(%),17.0128
French Polynesia,2021,World,Minerals,Export,Export Product share(%),0.0296
French Polynesia,2021,World,Stone and Glass,Export,Export Product share(%),34.6649
French Polynesia,2021,World,Capital goods,Export,Export Product share(%),19.3649
French Polynesia,2021,World,Hides and Skins,Export,Export Product share(%),0.0187
French Polynesia,2021,World,Miscellaneous,Export,Export Product share(%),4.4791
French Polynesia,2021,World,Animal,Export,Export Product share(%),13.6552
French Polynesia,2021,World,Wood,Export,Export Product share(%),0.317
French Polynesia,2021,World,Raw materials,Export,Export Product share(%),48.5836
French Polynesia,2021,World,Consumer goods,Import,Import Product share(%),56.7647
French Polynesia,2021,World,Intermediate goods,Import,Import Product share(%),13.043
French Polynesia,2021,World,Capital goods,Import,Import Product share(%),23.1936
French Polynesia,2021,World,Raw materials,Import,Import Product share(%),6.9898
French Polynesia,2021,World,Intermediate goods,Tariff,Weighted Average (%),5.39557902544145
French Polynesia,2021,World,Consumer goods,Tariff,Weighted Average (%),6.27019560849887
French Polynesia,2021,World,Capital goods,Tariff,Weighted Average (%),6.16762385899878
French Polynesia,2021,World,Raw materials,Tariff,Weighted Average (%),1.5608466740483
French Polynesia,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
French Polynesia,2021,World,All Products,Trade Indicator,Country Growth (%),39.7012931651354
French Polynesia,2021,World,All Products,Tariff,Simple Average (%),7.61777063420222
French Polynesia,2021,World,All Products,Tariff,Weighted Average (%),5.75087676009586
French Polynesia,2021,World,All Products,Tariff,Maximum Rate (%),15
French Polynesia,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),6.59307318894697
French Polynesia,2021,...,...,Trade Indicator,Index of export market penetration,1.31745582865082
French Polynesia,2021,...,...,Trade Indicator,HH Market concentration index,0.274297390815388
