Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Russian Federation,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,68679.24807744
Russian Federation,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42145.02515809
Russian Federation,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29645.64903556
Russian Federation,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26426.29517205
Russian Federation,2021,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23130.3827203539
Russian Federation,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72693.02487522
Russian Federation,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27350.55198901
Russian Federation,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17265.49391425
Russian Federation,2021,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15635.5334710057
Russian Federation,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12986.9223385
Russian Federation,2021,World,Plastic or Rubber,Export,Export(US$ Mil),9741.8956542827
Russian Federation,2021,World,Transportation,Export,Export(US$ Mil),6247.5110254758
Russian Federation,2021,World,Chemicals,Export,Export(US$ Mil),25708.1527810398
Russian Federation,2021,World,Mach and Elec,Export,Export(US$ Mil),16909.9790258418
Russian Federation,2021,World,Minerals,Export,Export(US$ Mil),8542.8490268186
Russian Federation,2021,World,Stone and Glass,Export,Export(US$ Mil),33558.1744367222
Russian Federation,2021,World,Capital goods,Export,Export(US$ Mil),21436.7606753778
Russian Federation,2021,World,Vegetable,Export,Export(US$ Mil),17450.4786334549
Russian Federation,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1438.9852026508
Russian Federation,2021,World,Intermediate goods,Export,Export(US$ Mil),129660.532864025
Russian Federation,2021,World,Animal,Export,Export(US$ Mil),6623.806522232
Russian Federation,2021,World,Wood,Export,Export(US$ Mil),17110.4731819275
Russian Federation,2021,World,Raw materials,Export,Export(US$ Mil),163270.982535747
Russian Federation,2021,World,Fuels,Export,Export(US$ Mil),212417.989931592
Russian Federation,2021,World,Metals,Export,Export(US$ Mil),51030.3077976792
Russian Federation,2021,World,Hides and Skins,Export,Export(US$ Mil),207.5475935121
Russian Federation,2021,World,Miscellaneous,Export,Export(US$ Mil),76377.3858403735
Russian Federation,2021,World,Food Products,Export,Export(US$ Mil),8661.6926876018
Russian Federation,2021,World,Footwear,Export,Export(US$ Mil),286.561355448
Russian Federation,2021,World,Consumer goods,Export,Export(US$ Mil),104601.351400819
Russian Federation,2021,World,Intermediate goods,Import,Import(US$ Mil),49235.3480350226
Russian Federation,2021,World,Raw materials,Import,Import(US$ Mil),20648.1349413979
Russian Federation,2021,World,Capital goods,Import,Import(US$ Mil),115184.16206268
Russian Federation,2021,World,Consumer goods,Import,Import(US$ Mil),94496.8736949935
Russian Federation,2021,World,All Products,Export,Exports (in US$ Mil),492313.790696653
Russian Federation,2021,World,All Products,Import,Imports (in US$ Mil),293497.128020043
Russian Federation,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),94118993.0989754
Russian Federation,2021,...,...,Tariff,No. Of Tariff Agreement,12
Russian Federation,2021,...,...,Import,No. Of Import partners,219
Russian Federation,2021,...,...,Import,No. Of Import products,4384
Russian Federation,2021,...,...,Export,No. Of Export partners,199
Russian Federation,2021,...,...,Export,No. Of Export products,4359
Russian Federation,2018,...,...,Others,Population,144478050
Russian Federation,2016,...,...,Others,LPI Score,2.570864
Russian Federation,2019,...,...,Others,Trading Across Borders Rank,99
Russian Federation,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1515411
Russian Federation,2019,...,...,Others,Ease of Doing Business Rank,28
Russian Federation,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),55
Russian Federation,2013,...,...,Others,No Of NTM Measures,3
Russian Federation,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1555605
Russian Federation,2016,...,...,Others,LPI Rank,99
Russian Federation,,...,...,Others,Services Trade Restrictions Index - Over All,25.7
Russian Federation,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9503
Russian Federation,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5606
Russian Federation,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0217
Russian Federation,2021,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3678
Russian Federation,2021,Belarus,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6983
Russian Federation,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,24.7679
Russian Federation,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,9.3188
Russian Federation,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8827
Russian Federation,2021,Belarus,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3273
Russian Federation,2021,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,4.4249
Russian Federation,2021,World,Fuels,Export,Export Product share(%),43.1469
Russian Federation,2021,World,Metals,Export,Export Product share(%),10.3654
Russian Federation,2021,World,Hides and Skins,Export,Export Product share(%),0.0422
Russian Federation,2021,World,Miscellaneous,Export,Export Product share(%),15.514
Russian Federation,2021,World,Vegetable,Export,Export Product share(%),3.5446
Russian Federation,2021,World,Textiles and Clothing,Export,Export Product share(%),0.2923
Russian Federation,2021,World,Intermediate goods,Export,Export Product share(%),26.337
Russian Federation,2021,World,Chemicals,Export,Export Product share(%),5.2219
Russian Federation,2021,World,Mach and Elec,Export,Export Product share(%),3.4348
Russian Federation,2021,World,Plastic or Rubber,Export,Export Product share(%),1.9788
Russian Federation,2021,World,Transportation,Export,Export Product share(%),1.269
Russian Federation,2021,World,Food Products,Export,Export Product share(%),1.7594
Russian Federation,2021,World,Footwear,Export,Export Product share(%),0.0582
Russian Federation,2021,World,Consumer goods,Export,Export Product share(%),21.2469
Russian Federation,2021,World,Minerals,Export,Export Product share(%),1.7352
Russian Federation,2021,World,Stone and Glass,Export,Export Product share(%),6.8164
Russian Federation,2021,World,Capital goods,Export,Export Product share(%),4.3543
Russian Federation,2021,World,Animal,Export,Export Product share(%),1.3454
Russian Federation,2021,World,Wood,Export,Export Product share(%),3.4755
