Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Rwanda,2021,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,587.37077473
Rwanda,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,437.04251594
Rwanda,2021,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,96.5359596500001
Rwanda,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44.7414483
Rwanda,2021,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37.16853091
Rwanda,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,715.75707774
Rwanda,2021,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,496.10511907
Rwanda,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,305.79083642
Rwanda,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,295.97069067
Rwanda,2021,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,281.05556567
Rwanda,2021,World,Hides and Skins,Export,Export(US$ Mil),4.34414592
Rwanda,2021,World,Miscellaneous,Export,Export(US$ Mil),98.91380656
Rwanda,2021,World,Vegetable,Export,Export(US$ Mil),411.27089303
Rwanda,2021,World,Textiles and Clothing,Export,Export(US$ Mil),40.74575022
Rwanda,2021,World,Intermediate goods,Export,Export(US$ Mil),574.01522647
Rwanda,2021,World,Animal,Export,Export(US$ Mil),49.57646711
Rwanda,2021,World,Wood,Export,Export(US$ Mil),13.12429343
Rwanda,2021,World,Raw materials,Export,Export(US$ Mil),293.48811839
Rwanda,2021,World,Minerals,Export,Export(US$ Mil),169.9215431
Rwanda,2021,World,Stone and Glass,Export,Export(US$ Mil),370.09574255
Rwanda,2021,World,Capital goods,Export,Export(US$ Mil),118.01136559
Rwanda,2021,World,Food Products,Export,Export(US$ Mil),139.31360006
Rwanda,2021,World,Footwear,Export,Export(US$ Mil),11.6823235
Rwanda,2021,World,Consumer goods,Export,Export(US$ Mil),576.989772250001
Rwanda,2021,World,Fuels,Export,Export(US$ Mil),109.68745627
Rwanda,2021,World,Metals,Export,Export(US$ Mil),50.41146557
Rwanda,2021,World,Chemicals,Export,Export(US$ Mil),24.57841633
Rwanda,2021,World,Mach and Elec,Export,Export(US$ Mil),31.42677013
Rwanda,2021,World,Plastic or Rubber,Export,Export(US$ Mil),24.37437923
Rwanda,2021,World,Transportation,Export,Export(US$ Mil),13.03742969
Rwanda,2021,World,Raw materials,Import,Import(US$ Mil),219.21664202
Rwanda,2021,World,Intermediate goods,Import,Import(US$ Mil),1181.08014501
Rwanda,2021,World,Consumer goods,Import,Import(US$ Mil),1596.68981998
Rwanda,2021,World,Capital goods,Import,Import(US$ Mil),739.71569275
Rwanda,2021,World,All Products,Export,Exports (in US$ Mil),1562.5044827
Rwanda,2021,World,All Products,Import,Imports (in US$ Mil),3736.70229976
Rwanda,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1373082.98828922
Rwanda,2021,...,...,Tariff,No. Of Tariff Agreement,5
Rwanda,2021,...,...,Import,No. Of Import partners,174
Rwanda,2021,...,...,Import,No. Of Import products,3544
Rwanda,2021,...,...,Export,No. Of Export partners,109
Rwanda,2021,...,...,Export,No. Of Export products,2242
Rwanda,,...,...,Others,Services Trade Restrictions Index - Over All,25
Rwanda,2016,...,...,Others,LPI Rank,62
Rwanda,2019,...,...,Others,Ease of Doing Business Rank,38
Rwanda,2011,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2239
Rwanda,2011,...,...,Others,No Of NTM Measures,36
Rwanda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1724588
Rwanda,2018,...,...,Others,CPIA Trade Ratings,4.5
Rwanda,2016,...,...,Others,LPI Score,2.986229
Rwanda,2019,...,...,Others,Trading Across Borders Rank,88
Rwanda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.108418
Rwanda,2018,...,...,Others,Population,12301939
Rwanda,2021,"Congo, Dem. Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,37.5916
Rwanda,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,27.9706
Rwanda,2021,Tanzania,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1783
Rwanda,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8634
Rwanda,2021,Pakistan,All Products,Export,Partner share(%)-Top 5 Export Partner,2.3788
Rwanda,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.1548
Rwanda,2021,Tanzania,All Products,Import,Partner share(%)-Top 5 Import Partner,13.2765
Rwanda,2021,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1834
Rwanda,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9206
Rwanda,2021,Kenya,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5215
Rwanda,2021,World,Animal,Export,Export Product share(%),3.1729
Rwanda,2021,World,Wood,Export,Export Product share(%),0.84
Rwanda,2021,World,Raw materials,Export,Export Product share(%),18.7832
Rwanda,2021,World,Hides and Skins,Export,Export Product share(%),0.278
Rwanda,2021,World,Miscellaneous,Export,Export Product share(%),6.3305
Rwanda,2021,World,Vegetable,Export,Export Product share(%),26.3213
Rwanda,2021,World,Textiles and Clothing,Export,Export Product share(%),2.6077
Rwanda,2021,World,Intermediate goods,Export,Export Product share(%),36.7369
Rwanda,2021,World,Plastic or Rubber,Export,Export Product share(%),1.56
Rwanda,2021,World,Transportation,Export,Export Product share(%),0.8344
Rwanda,2021,World,Minerals,Export,Export Product share(%),10.8749
Rwanda,2021,World,Stone and Glass,Export,Export Product share(%),23.6861
Rwanda,2021,World,Capital goods,Export,Export Product share(%),7.5527
Rwanda,2021,World,Food Products,Export,Export Product share(%),8.916
Rwanda,2021,World,Footwear,Export,Export Product share(%),0.7477
Rwanda,2021,World,Consumer goods,Export,Export Product share(%),36.9272
Rwanda,2021,World,Fuels,Export,Export Product share(%),7.02
Rwanda,2021,World,Metals,Export,Export Product share(%),3.2263
Rwanda,2021,World,Chemicals,Export,Export Product share(%),1.573
Rwanda,2021,World,Mach and Elec,Export,Export Product share(%),2.0113
Rwanda,2021,World,Raw materials,Import,Import Product share(%),5.8666
Rwanda,2021,World,Intermediate goods,Import,Import Product share(%),31.6076
Rwanda,2021,World,Consumer goods,Import,Import Product share(%),42.7299
Rwanda,2021,World,Capital goods,Import,Import Product share(%),19.7959
Rwanda,2021,World,Raw materials,Tariff,Weighted Average (%),2.28435744919024
Rwanda,2021,World,Intermediate goods,Tariff,Weighted Average (%),8.06748085902625
Rwanda,2021,World,Consumer goods,Tariff,Weighted Average (%),21.7044333167871
Rwanda,2021,World,Capital goods,Tariff,Weighted Average (%),3.02315644575668
Rwanda,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Rwanda,2021,World,All Products,Trade Indicator,Country Growth (%),-9.07693660898844
Rwanda,2021,World,All Products,Tariff,Simple Average (%),11.8994694351122
Rwanda,2021,World,All Products,Tariff,Weighted Average (%),11.9684572375631
Rwanda,2021,World,All Products,Tariff,Maximum Rate (%),653.789184570313
Rwanda,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),43.7646729037458
Rwanda,2021,...,...,Trade Indicator,Index of export market penetration,1.6216480676769
Rwanda,2021,...,...,Trade Indicator,HH Market concentration index,0.247468165565816
