Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Saudi Arabia,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,171443.234014196
Saudi Arabia,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14750.0826136479
Saudi Arabia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10957.8101633881
Saudi Arabia,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9133.47993406299
Saudi Arabia,2021,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7782.6637998334
Saudi Arabia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30234.7962995967
Saudi Arabia,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16216.5543868528
Saudi Arabia,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12471.4629439468
Saudi Arabia,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8073.80497308821
Saudi Arabia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7491.40463378155
Saudi Arabia,2021,World,Animal,Export,Export(US$ Mil),1404.96971794243
Saudi Arabia,2021,World,Wood,Export,Export(US$ Mil),1138.05151501538
Saudi Arabia,2021,World,Raw materials,Export,Export(US$ Mil),154406.067567848
Saudi Arabia,2021,World,Vegetable,Export,Export(US$ Mil),916.812234679694
Saudi Arabia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),696.9439457764
Saudi Arabia,2021,World,Intermediate goods,Export,Export(US$ Mil),53320.278847793
Saudi Arabia,2021,World,Fuels,Export,Export(US$ Mil),212585.264010179
Saudi Arabia,2021,World,Metals,Export,Export(US$ Mil),5980.03397689914
Saudi Arabia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),24286.1345944466
Saudi Arabia,2021,World,Transportation,Export,Export(US$ Mil),6257.96484035088
Saudi Arabia,2021,World,Minerals,Export,Export(US$ Mil),1193.18132297047
Saudi Arabia,2021,World,Stone and Glass,Export,Export(US$ Mil),2721.29604210093
Saudi Arabia,2021,World,Capital goods,Export,Export(US$ Mil),8698.52155773695
Saudi Arabia,2021,World,Chemicals,Export,Export(US$ Mil),22399.4333365475
Saudi Arabia,2021,World,Mach and Elec,Export,Export(US$ Mil),3970.87649726142
Saudi Arabia,2021,World,Food Products,Export,Export(US$ Mil),1867.86291810343
Saudi Arabia,2021,World,Footwear,Export,Export(US$ Mil),21.7457503896895
Saudi Arabia,2021,World,Consumer goods,Export,Export(US$ Mil),69265.1234086492
Saudi Arabia,2021,World,Hides and Skins,Export,Export(US$ Mil),56.9416828431246
Saudi Arabia,2021,World,Miscellaneous,Export,Export(US$ Mil),969.746225089678
Saudi Arabia,2021,World,Raw materials,Import,Import(US$ Mil),11037.519778462
Saudi Arabia,2021,World,Intermediate goods,Import,Import(US$ Mil),34104.7435308481
Saudi Arabia,2021,World,Consumer goods,Import,Import(US$ Mil),61808.5909758518
Saudi Arabia,2021,World,Capital goods,Import,Import(US$ Mil),37077.5127138621
Saudi Arabia,2021,World,All Products,Export,Exports (in US$ Mil),286467.258610596
Saudi Arabia,2021,World,All Products,Import,Imports (in US$ Mil),152695.088723689
Saudi Arabia,2020,World,All Products,Tariff,Duty Free Imports (US$ Thousand),44678779.0192131
Saudi Arabia,2020,...,...,Tariff,No. Of Tariff Agreement,5
Saudi Arabia,2021,...,...,Import,No. Of Import partners,216
