Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Fm Sudan,2011,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6323.168259
Fm Sudan,2011,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,943.524957
Fm Sudan,2011,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,315.29848
Fm Sudan,2011,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,282.2775
Fm Sudan,2011,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,259.947634
Fm Sudan,2011,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2067.332176
Fm Sudan,2011,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,821.806147
Fm Sudan,2011,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,772.334955
Fm Sudan,2011,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,622.740496
Fm Sudan,2011,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,591.872488
Fm Sudan,2011,World,Chemicals,Export,Export(US$ Mil),9.999111
Fm Sudan,2011,World,Mach and Elec,Export,Export(US$ Mil),2.945578
Fm Sudan,2011,World,Animal,Export,Export(US$ Mil),299.87361
Fm Sudan,2011,World,Wood,Export,Export(US$ Mil),0.685915
Fm Sudan,2011,World,Raw materials,Export,Export(US$ Mil),7888.144744
Fm Sudan,2011,World,Fuels,Export,Export(US$ Mil),7406.58804
Fm Sudan,2011,World,Metals,Export,Export(US$ Mil),23.819856
Fm Sudan,2011,World,Food Products,Export,Export(US$ Mil),8.156421
Fm Sudan,2011,World,Footwear,Export,Export(US$ Mil),0.146571
Fm Sudan,2011,World,Consumer goods,Export,Export(US$ Mil),208.687502
Fm Sudan,2011,World,Vegetable,Export,Export(US$ Mil),328.224926
Fm Sudan,2011,World,Textiles and Clothing,Export,Export(US$ Mil),26.024726
Fm Sudan,2011,World,Intermediate goods,Export,Export(US$ Mil),880.700812
Fm Sudan,2011,World,Hides and Skins,Export,Export(US$ Mil),31.479395
Fm Sudan,2011,World,Miscellaneous,Export,Export(US$ Mil),0.711672
Fm Sudan,2011,World,Minerals,Export,Export(US$ Mil),12.256952
Fm Sudan,2011,World,Stone and Glass,Export,Export(US$ Mil),828.246424
Fm Sudan,2011,World,Capital goods,Export,Export(US$ Mil),3.90546
Fm Sudan,2011,World,Plastic or Rubber,Export,Export(US$ Mil),0.926876
Fm Sudan,2011,World,Transportation,Export,Export(US$ Mil),1.636862
Fm Sudan,2011,World,Consumer goods,Import,Import(US$ Mil),3149.497444
Fm Sudan,2011,World,Raw materials,Import,Import(US$ Mil),1131.27094
Fm Sudan,2011,World,Capital goods,Import,Import(US$ Mil),2737.597562
Fm Sudan,2011,World,Intermediate goods,Import,Import(US$ Mil),2500.653155
Fm Sudan,2011,World,All Products,Export,Exports (in US$ Mil),8981.722935
Fm Sudan,2011,World,All Products,Import,Imports (in US$ Mil),9546.265054
Fm Sudan,2011,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1329431.463
Fm Sudan,2011,...,...,Tariff,No. Of Tariff Agreement,5
Fm Sudan,2011,...,...,Import,No. Of Import partners,197
Fm Sudan,2011,...,...,Import,No. Of Import products,3412
Fm Sudan,2011,...,...,Export,No. Of Export partners,89
Fm Sudan,2011,...,...,Export,No. Of Export products,295
Fm Sudan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.4699295
Fm Sudan,2018,...,...,Others,Population,41801533
Fm Sudan,2018,...,...,Others,CPIA Trade Ratings,2.5
Fm Sudan,2016,...,...,Others,LPI Rank,103
Fm Sudan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.4413868
Fm Sudan,2016,...,...,Others,LPI Score,2.530408
Fm Sudan,2011,China,All Products,Export,Partner share(%)-Top 5 Export Partner,70.4004
Fm Sudan,2011,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,10.5049
Fm Sudan,2011,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5104
Fm Sudan,2011,Ethiopia(excludes Eritrea),All Products,Export,Partner share(%)-Top 5 Export Partner,3.1428
Fm Sudan,2011,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8942
Fm Sudan,2011,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.6559
Fm Sudan,2011,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6087
Fm Sudan,2011,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0904
Fm Sudan,2011,India,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5234
Fm Sudan,2011,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2
Fm Sudan,2011,World,Chemicals,Export,Export Product share(%),0.1113
Fm Sudan,2011,World,Mach and Elec,Export,Export Product share(%),0.0328
Fm Sudan,2011,World,Vegetable,Export,Export Product share(%),3.6544
Fm Sudan,2011,World,Textiles and Clothing,Export,Export Product share(%),0.2898
Fm Sudan,2011,World,Intermediate goods,Export,Export Product share(%),9.8055
Fm Sudan,2011,World,Animal,Export,Export Product share(%),3.3387
Fm Sudan,2011,World,Wood,Export,Export Product share(%),0.0076
Fm Sudan,2011,World,Raw materials,Export,Export Product share(%),87.8244
Fm Sudan,2011,World,Minerals,Export,Export Product share(%),0.1365
Fm Sudan,2011,World,Stone and Glass,Export,Export Product share(%),9.2215
Fm Sudan,2011,World,Capital goods,Export,Export Product share(%),0.0435
Fm Sudan,2011,World,Food Products,Export,Export Product share(%),0.0908
Fm Sudan,2011,World,Footwear,Export,Export Product share(%),0.0016
Fm Sudan,2011,World,Consumer goods,Export,Export Product share(%),2.3235
Fm Sudan,2011,World,Hides and Skins,Export,Export Product share(%),0.3505
Fm Sudan,2011,World,Miscellaneous,Export,Export Product share(%),0.0079
Fm Sudan,2011,World,Fuels,Export,Export Product share(%),82.4629
Fm Sudan,2011,World,Metals,Export,Export Product share(%),0.2652
Fm Sudan,2011,World,Plastic or Rubber,Export,Export Product share(%),0.0103
Fm Sudan,2011,World,Transportation,Export,Export Product share(%),0.0182
Fm Sudan,2011,World,Consumer goods,Import,Import Product share(%),32.9919
Fm Sudan,2011,World,Raw materials,Import,Import Product share(%),11.8504
Fm Sudan,2011,World,Intermediate goods,Import,Import Product share(%),26.1951
Fm Sudan,2011,World,Capital goods,Import,Import Product share(%),28.6772
Fm Sudan,2011,World,Intermediate goods,Tariff,Weighted Average (%),14.5610459179992
Fm Sudan,2011,World,Raw materials,Tariff,Weighted Average (%),6.41351270694099
Fm Sudan,2011,World,Capital goods,Tariff,Weighted Average (%),9.70531919535951
Fm Sudan,2011,World,Consumer goods,Tariff,Weighted Average (%),13.619384480748
Fm Sudan,2011,World,All Products,Trade Indicator,World Growth (%),9.25458005383553
Fm Sudan,2011,World,All Products,Trade Indicator,Country Growth (%),20.0619874000799
Fm Sudan,2011,World,All Products,Tariff,Simple Average (%),12.5616644463054
Fm Sudan,2011,World,All Products,Tariff,Weighted Average (%),11.9494375241039
Fm Sudan,2011,World,All Products,Tariff,Maximum Rate (%),40
Fm Sudan,2011,World,All Products,Tariff,Duty Free Tariff Lines Share (%),19.9865212080367
Fm Sudan,2011,...,...,Trade Indicator,Index of export market penetration,1.56481891321894
Fm Sudan,2011,...,...,Trade Indicator,HH Market concentration index,0.405556154838749
