Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Serbia, FR(Serbia/Montenegro)",2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3242.866163
"Serbia, FR(Serbia/Montenegro)",2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2177.224949
"Serbia, FR(Serbia/Montenegro)",2021,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1846.745433
"Serbia, FR(Serbia/Montenegro)",2021,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1410.718834
"Serbia, FR(Serbia/Montenegro)",2021,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1289.162595
"Serbia, FR(Serbia/Montenegro)",2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4457.725581
"Serbia, FR(Serbia/Montenegro)",2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4158.723921
"Serbia, FR(Serbia/Montenegro)",2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2726.148452
"Serbia, FR(Serbia/Montenegro)",2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1806.056791
"Serbia, FR(Serbia/Montenegro)",2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1701.793987
"Serbia, FR(Serbia/Montenegro)",2021,World,Fuels,Export,Export(US$ Mil),744.726993
"Serbia, FR(Serbia/Montenegro)",2021,World,Metals,Export,Export(US$ Mil),3353.097748
"Serbia, FR(Serbia/Montenegro)",2021,World,Minerals,Export,Export(US$ Mil),973.622484
"Serbia, FR(Serbia/Montenegro)",2021,World,Stone and Glass,Export,Export(US$ Mil),328.308226
"Serbia, FR(Serbia/Montenegro)",2021,World,Capital goods,Export,Export(US$ Mil),4631.87991999999
"Serbia, FR(Serbia/Montenegro)",2021,World,Vegetable,Export,Export(US$ Mil),2690.721904
"Serbia, FR(Serbia/Montenegro)",2021,World,Textiles and Clothing,Export,Export(US$ Mil),995.00625
"Serbia, FR(Serbia/Montenegro)",2021,World,Intermediate goods,Export,Export(US$ Mil),5856.239111
"Serbia, FR(Serbia/Montenegro)",2021,World,Food Products,Export,Export(US$ Mil),2048.96184
"Serbia, FR(Serbia/Montenegro)",2021,World,Footwear,Export,Export(US$ Mil),354.953083
"Serbia, FR(Serbia/Montenegro)",2021,World,Consumer goods,Export,Export(US$ Mil),11079.973247
"Serbia, FR(Serbia/Montenegro)",2021,World,Chemicals,Export,Export(US$ Mil),1724.341443
"Serbia, FR(Serbia/Montenegro)",2021,World,Mach and Elec,Export,Export(US$ Mil),5617.959202
"Serbia, FR(Serbia/Montenegro)",2021,World,Animal,Export,Export(US$ Mil),243.379272
"Serbia, FR(Serbia/Montenegro)",2021,World,Wood,Export,Export(US$ Mil),1024.303967
"Serbia, FR(Serbia/Montenegro)",2021,World,Raw materials,Export,Export(US$ Mil),3672.047421
"Serbia, FR(Serbia/Montenegro)",2021,World,Plastic or Rubber,Export,Export(US$ Mil),2514.673803
"Serbia, FR(Serbia/Montenegro)",2021,World,Transportation,Export,Export(US$ Mil),1239.05047
"Serbia, FR(Serbia/Montenegro)",2021,World,Hides and Skins,Export,Export(US$ Mil),188.289109
"Serbia, FR(Serbia/Montenegro)",2021,World,Miscellaneous,Export,Export(US$ Mil),1524.765121
"Serbia, FR(Serbia/Montenegro)",2021,World,Consumer goods,Import,Import(US$ Mil),10252.118322
"Serbia, FR(Serbia/Montenegro)",2021,World,Capital goods,Import,Import(US$ Mil),7467.55375799999
"Serbia, FR(Serbia/Montenegro)",2021,World,Intermediate goods,Import,Import(US$ Mil),8936.567064
"Serbia, FR(Serbia/Montenegro)",2021,World,Raw materials,Import,Import(US$ Mil),3312.737367
"Serbia, FR(Serbia/Montenegro)",2021,World,All Products,Export,Exports (in US$ Mil),25566.160915
"Serbia, FR(Serbia/Montenegro)",2021,World,All Products,Import,Imports (in US$ Mil),33793.017446
"Serbia, FR(Serbia/Montenegro)",2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),20246044.328
"Serbia, FR(Serbia/Montenegro)",2021,...,...,Tariff,No. Of Tariff Agreement,16
"Serbia, FR(Serbia/Montenegro)",2021,...,...,Import,No. Of Import partners,207
"Serbia, FR(Serbia/Montenegro)",2021,...,...,Import,No. Of Import products,4318
"Serbia, FR(Serbia/Montenegro)",2021,...,...,Export,No. Of Export partners,179
"Serbia, FR(Serbia/Montenegro)",2021,...,...,Export,No. Of Export products,3854
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,Ease of Doing Business Rank,44
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,Trading Across Borders Rank,23
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Others,Population,6982084
"Serbia, FR(Serbia/Montenegro)",2006,...,...,Others,CPIA Trade Ratings,3.5
"Serbia, FR(Serbia/Montenegro)",2016,...,...,Others,LPI Score,2.762577
"Serbia, FR(Serbia/Montenegro)",2016,...,...,Others,LPI Rank,76
"Serbia, FR(Serbia/Montenegro)",2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6842
"Serbia, FR(Serbia/Montenegro)",2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,8.516
"Serbia, FR(Serbia/Montenegro)",2021,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2234
"Serbia, FR(Serbia/Montenegro)",2021,Romania,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5179
"Serbia, FR(Serbia/Montenegro)",2021,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0425
"Serbia, FR(Serbia/Montenegro)",2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1913
"Serbia, FR(Serbia/Montenegro)",2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.3065
"Serbia, FR(Serbia/Montenegro)",2021,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0672
"Serbia, FR(Serbia/Montenegro)",2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3445
"Serbia, FR(Serbia/Montenegro)",2021,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0359
"Serbia, FR(Serbia/Montenegro)",2021,World,Vegetable,Export,Export Product share(%),10.5245
"Serbia, FR(Serbia/Montenegro)",2021,World,Textiles and Clothing,Export,Export Product share(%),3.8919
