Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Singapore,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,67746.76440913
Singapore,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,60147.38058049
Singapore,2021,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42130.40627228
Singapore,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39316.82200382
Singapore,2021,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28801.0663608
Singapore,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54610.67645484
Singapore,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53729.37287943
Singapore,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51118.63305102
Singapore,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40573.13833712
Singapore,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22194.92510136
Singapore,2021,World,Minerals,Export,Export(US$ Mil),118.91219236
Singapore,2021,World,Stone and Glass,Export,Export(US$ Mil),21837.38180666
Singapore,2021,World,Capital goods,Export,Export(US$ Mil),248722.40636456
Singapore,2021,World,Food Products,Export,Export(US$ Mil),12906.43128757
Singapore,2021,World,Footwear,Export,Export(US$ Mil),593.00652863
Singapore,2021,World,Consumer goods,Export,Export(US$ Mil),100956.37454258
Singapore,2021,World,Fuels,Export,Export(US$ Mil),45936.65441823
Singapore,2021,World,Metals,Export,Export(US$ Mil),10117.63666433
Singapore,2021,World,Vegetable,Export,Export(US$ Mil),973.61378447
Singapore,2021,World,Textiles and Clothing,Export,Export(US$ Mil),2275.50985761
Singapore,2021,World,Intermediate goods,Export,Export(US$ Mil),79263.93417084
Singapore,2021,World,Plastic or Rubber,Export,Export(US$ Mil),17815.72212154
Singapore,2021,World,Transportation,Export,Export(US$ Mil),8002.05760862
Singapore,2021,World,Hides and Skins,Export,Export(US$ Mil),1547.15196626
Singapore,2021,World,Miscellaneous,Export,Export(US$ Mil),59729.52531627
Singapore,2021,World,Chemicals,Export,Export(US$ Mil),45685.9252998
Singapore,2021,World,Mach and Elec,Export,Export(US$ Mil),226843.78256602
Singapore,2021,World,Animal,Export,Export(US$ Mil),671.33594743
Singapore,2021,World,Wood,Export,Export(US$ Mil),2419.33870345
Singapore,2021,World,Raw materials,Export,Export(US$ Mil),3909.64802236
Singapore,2021,World,Consumer goods,Import,Import(US$ Mil),102818.45991468
