Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Solomon Islands,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,380.352736554258
Solomon Islands,2018,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41.1021661074297
Solomon Islands,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.9369510151297
Solomon Islands,2018,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.8676906653186
Solomon Islands,2018,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.9629679918564
Solomon Islands,2018,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,109.580259638951
Solomon Islands,2018,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,97.8166007777006
Solomon Islands,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,89.4132811605153
Solomon Islands,2018,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,77.7876484724148
Solomon Islands,2018,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43.10025271314
Solomon Islands,2018,World,Food Products,Export,Export(US$ Mil),52.7033544892197
Solomon Islands,2018,World,Footwear,Export,Export(US$ Mil),
Solomon Islands,2018,World,Consumer goods,Export,Export(US$ Mil),44.967929140557
Solomon Islands,2018,World,Animal,Export,Export(US$ Mil),22.9909333155134
Solomon Islands,2018,World,Wood,Export,Export(US$ Mil),426.696131212782
Solomon Islands,2018,World,Raw materials,Export,Export(US$ Mil),448.573226535943
Solomon Islands,2018,World,Minerals,Export,Export(US$ Mil),21.2899381310922
Solomon Islands,2018,World,Stone and Glass,Export,Export(US$ Mil),3.20038403156952
Solomon Islands,2018,World,Capital goods,Export,Export(US$ Mil),1.73179126202326
Solomon Islands,2018,World,Fuels,Export,Export(US$ Mil),
Solomon Islands,2018,World,Metals,Export,Export(US$ Mil),0.512963401365501
Solomon Islands,2018,World,Chemicals,Export,Export(US$ Mil),0.0723497577882194
Solomon Islands,2018,World,Mach and Elec,Export,Export(US$ Mil),1.18978371178311
Solomon Islands,2018,World,Hides and Skins,Export,Export(US$ Mil),7.5354204E-05
Solomon Islands,2018,World,Miscellaneous,Export,Export(US$ Mil),0.494219439985975
Solomon Islands,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.0513807864532144
Solomon Islands,2018,World,Transportation,Export,Export(US$ Mil),0.220943907674069
Solomon Islands,2018,World,Vegetable,Export,Export(US$ Mil),39.6763260792817
Solomon Islands,2018,World,Textiles and Clothing,Export,Export(US$ Mil),0.0132248549552202
Solomon Islands,2018,World,Intermediate goods,Export,Export(US$ Mil),55.3240346055027
Solomon Islands,2018,World,Raw materials,Import,Import(US$ Mil),32.1693379942198
Solomon Islands,2018,World,Intermediate goods,Import,Import(US$ Mil),55.6468154234654
Solomon Islands,2018,World,Consumer goods,Import,Import(US$ Mil),317.139409567832
Solomon Islands,2018,World,Capital goods,Import,Import(US$ Mil),189.05540385576
Solomon Islands,2018,World,All Products,Export,Exports (in US$ Mil),569.112008473668
Solomon Islands,2018,World,All Products,Import,Imports (in US$ Mil),601.388529173929
Solomon Islands,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),74588.4898914312
Solomon Islands,2018,...,...,Tariff,No. Of Tariff Agreement,2
Solomon Islands,2018,...,...,Import,No. Of Import partners,93
Solomon Islands,2018,...,...,Import,No. Of Import products,2754
Solomon Islands,2018,...,...,Export,No. Of Export partners,48
Solomon Islands,2018,...,...,Export,No. Of Export products,266
Solomon Islands,2019,...,...,Others,Ease of Doing Business Rank,136
Solomon Islands,2019,...,...,Others,Trading Across Borders Rank,160
Solomon Islands,2018,...,...,Others,CPIA Trade Ratings,3.5
Solomon Islands,2016,...,...,Others,LPI Score,2.417321
Solomon Islands,2016,...,...,Others,LPI Rank,116
Solomon Islands,2018,...,...,Others,Population,652858
Solomon Islands,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,66.8327
Solomon Islands,2018,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2222
Solomon Islands,2018,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0846
Solomon Islands,2018,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,2.4367
Solomon Islands,2018,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,2.102
Solomon Islands,2018,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,18.2212
Solomon Islands,2018,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,16.2651
Solomon Islands,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.8678
Solomon Islands,2018,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,12.9347
Solomon Islands,2018,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,7.1668
Solomon Islands,2018,World,Food Products,Export,Export Product share(%),9.2606
Solomon Islands,2018,World,Footwear,Export,Export Product share(%),
Solomon Islands,2018,World,Consumer goods,Export,Export Product share(%),7.9014
Solomon Islands,2018,World,Fuels,Export,Export Product share(%),
Solomon Islands,2018,World,Metals,Export,Export Product share(%),0.0901
Solomon Islands,2018,World,Minerals,Export,Export Product share(%),3.7409
Solomon Islands,2018,World,Stone and Glass,Export,Export Product share(%),0.5623
Solomon Islands,2018,World,Capital goods,Export,Export Product share(%),0.3043
Solomon Islands,2018,World,Chemicals,Export,Export Product share(%),0.0127
Solomon Islands,2018,World,Mach and Elec,Export,Export Product share(%),0.2091
Solomon Islands,2018,World,Plastic or Rubber,Export,Export Product share(%),0.009
Solomon Islands,2018,World,Transportation,Export,Export Product share(%),0.0388
Solomon Islands,2018,World,Hides and Skins,Export,Export Product share(%),0
Solomon Islands,2018,World,Miscellaneous,Export,Export Product share(%),0.0868
Solomon Islands,2018,World,Animal,Export,Export Product share(%),4.0398
Solomon Islands,2018,World,Wood,Export,Export Product share(%),74.9758
Solomon Islands,2018,World,Raw materials,Export,Export Product share(%),78.8198
Solomon Islands,2018,World,Vegetable,Export,Export Product share(%),6.9716
Solomon Islands,2018,World,Textiles and Clothing,Export,Export Product share(%),0.0023
Solomon Islands,2018,World,Intermediate goods,Export,Export Product share(%),9.7211
Solomon Islands,2018,World,Consumer goods,Import,Import Product share(%),52.7345
Solomon Islands,2018,World,Capital goods,Import,Import Product share(%),31.4365
Solomon Islands,2018,World,Intermediate goods,Import,Import Product share(%),9.2531
Solomon Islands,2018,World,Raw materials,Import,Import Product share(%),5.3492
Solomon Islands,2018,World,Intermediate goods,Tariff,Weighted Average (%),10.5445241296024
Solomon Islands,2018,World,Consumer goods,Tariff,Weighted Average (%),59.1560401100063
Solomon Islands,2018,World,Capital goods,Tariff,Weighted Average (%),9.18349887104869
Solomon Islands,2018,World,Raw materials,Tariff,Weighted Average (%),9.68996409818197
Solomon Islands,2018,World,All Products,Trade Indicator,World Growth (%),4.83141798213382
Solomon Islands,2018,World,All Products,Trade Indicator,Country Growth (%),4.91278403101747
Solomon Islands,2018,World,All Products,Tariff,Simple Average (%),12.2350205444286
Solomon Islands,2018,World,All Products,Tariff,Weighted Average (%),30.2766507338421
Solomon Islands,2018,World,All Products,Tariff,Maximum Rate (%),3000
Solomon Islands,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.51063829787234
Solomon Islands,2018,...,...,Trade Indicator,Index of export market penetration,1.28101777888519
Solomon Islands,2018,...,...,Trade Indicator,HH Market concentration index,0.458942967412062
