Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sierra Leone,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37.47972914
Sierra Leone,2018,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.67551982
Sierra Leone,2018,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.82523226
Sierra Leone,2018,Somalia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.18678862
Sierra Leone,2018,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16.51607223
Sierra Leone,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,197.9533156
Sierra Leone,2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,82.57066268
Sierra Leone,2018,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,74.4698959500001
Sierra Leone,2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,71.07326202
Sierra Leone,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53.11200487
Sierra Leone,2018,World,Food Products,Export,Export(US$ Mil),31.93867465
Sierra Leone,2018,World,Footwear,Export,Export(US$ Mil),0.02921767
Sierra Leone,2018,World,Consumer goods,Export,Export(US$ Mil),24.37023145
Sierra Leone,2018,World,Vegetable,Export,Export(US$ Mil),19.51914075
Sierra Leone,2018,World,Textiles and Clothing,Export,Export(US$ Mil),0.33910318
Sierra Leone,2018,World,Intermediate goods,Export,Export(US$ Mil),63.00875013
Sierra Leone,2018,World,Chemicals,Export,Export(US$ Mil),7.11967301
Sierra Leone,2018,World,Mach and Elec,Export,Export(US$ Mil),17.29624986
Sierra Leone,2018,World,Plastic or Rubber,Export,Export(US$ Mil),1.12262209
Sierra Leone,2018,World,Transportation,Export,Export(US$ Mil),20.61484217
Sierra Leone,2018,World,Minerals,Export,Export(US$ Mil),37.10908084
Sierra Leone,2018,World,Stone and Glass,Export,Export(US$ Mil),0.16393932
Sierra Leone,2018,World,Capital goods,Export,Export(US$ Mil),35.28916853
Sierra Leone,2018,World,Animal,Export,Export(US$ Mil),42.307131176345
Sierra Leone,2018,World,Wood,Export,Export(US$ Mil),20.34710328
Sierra Leone,2018,World,Raw materials,Export,Export(US$ Mil),81.807637026345
Sierra Leone,2018,World,Hides and Skins,Export,Export(US$ Mil),0.00187734
Sierra Leone,2018,World,Miscellaneous,Export,Export(US$ Mil),0.23151405
Sierra Leone,2018,World,Fuels,Export,Export(US$ Mil),0.29432878
Sierra Leone,2018,World,Metals,Export,Export(US$ Mil),6.93378611
Sierra Leone,2018,World,Intermediate goods,Import,Import(US$ Mil),224.51146978
Sierra Leone,2018,World,Consumer goods,Import,Import(US$ Mil),487.062182290001
Sierra Leone,2018,World,Capital goods,Import,Import(US$ Mil),228.90940746
Sierra Leone,2018,World,Raw materials,Import,Import(US$ Mil),42.92174105
Sierra Leone,2018,World,All Products,Export,Exports (in US$ Mil),205.368284276345
Sierra Leone,2018,World,All Products,Import,Imports (in US$ Mil),986.8986878
Sierra Leone,2018,...,...,Import,No. Of Import partners,110
Sierra Leone,2018,...,...,Import,No. Of Import products,2553
Sierra Leone,2018,...,...,Export,No. Of Export partners,55
Sierra Leone,2018,...,...,Export,No. Of Export products,504
Sierra Leone,2019,...,...,Others,Ease of Doing Business Rank,163
Sierra Leone,2019,...,...,Others,Trading Across Borders Rank,165
Sierra Leone,2018,...,...,Others,Population,7650154
Sierra Leone,2018,...,...,Others,CPIA Trade Ratings,3.5
Sierra Leone,2016,...,...,Others,LPI Score,2.025402
Sierra Leone,2016,...,...,Others,LPI Rank,155
Sierra Leone,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,18.25
Sierra Leone,2018,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,13.963
Sierra Leone,2018,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,13.5489
Sierra Leone,2018,Somalia,All Products,Export,Partner share(%)-Top 5 Export Partner,10.8034
Sierra Leone,2018,Ghana,All Products,Export,Partner share(%)-Top 5 Export Partner,8.0422
Sierra Leone,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,20.0581
Sierra Leone,2018,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3667
Sierra Leone,2018,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5459
Sierra Leone,2018,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2017
Sierra Leone,2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3817
Sierra Leone,2018,World,Vegetable,Export,Export Product share(%),9.5045
Sierra Leone,2018,World,Textiles and Clothing,Export,Export Product share(%),0.1651
Sierra Leone,2018,World,Intermediate goods,Export,Export Product share(%),30.6809
Sierra Leone,2018,World,Food Products,Export,Export Product share(%),15.5519
Sierra Leone,2018,World,Footwear,Export,Export Product share(%),0.0142
Sierra Leone,2018,World,Consumer goods,Export,Export Product share(%),11.8666
Sierra Leone,2018,World,Chemicals,Export,Export Product share(%),3.4668
Sierra Leone,2018,World,Mach and Elec,Export,Export Product share(%),8.4221
Sierra Leone,2018,World,Animal,Export,Export Product share(%),20.6006
Sierra Leone,2018,World,Wood,Export,Export Product share(%),9.9076
Sierra Leone,2018,World,Raw materials,Export,Export Product share(%),39.8346
Sierra Leone,2018,World,Fuels,Export,Export Product share(%),0.1433
Sierra Leone,2018,World,Metals,Export,Export Product share(%),3.3763
Sierra Leone,2018,World,Minerals,Export,Export Product share(%),18.0695
Sierra Leone,2018,World,Stone and Glass,Export,Export Product share(%),0.0798
Sierra Leone,2018,World,Capital goods,Export,Export Product share(%),17.1834
Sierra Leone,2018,World,Hides and Skins,Export,Export Product share(%),0.0009
Sierra Leone,2018,World,Miscellaneous,Export,Export Product share(%),0.1127
Sierra Leone,2018,World,Plastic or Rubber,Export,Export Product share(%),0.5466
Sierra Leone,2018,World,Transportation,Export,Export Product share(%),10.038
Sierra Leone,2018,World,Consumer goods,Import,Import Product share(%),49.3528
Sierra Leone,2018,World,Capital goods,Import,Import Product share(%),23.1948
Sierra Leone,2018,World,Intermediate goods,Import,Import Product share(%),22.7492
Sierra Leone,2018,World,Raw materials,Import,Import Product share(%),4.3492
Sierra Leone,2018,World,All Products,Trade Indicator,World Growth (%),4.83141798213382
Sierra Leone,2018,World,All Products,Trade Indicator,Country Growth (%),-11.1837161096731
Sierra Leone,2018,...,...,Trade Indicator,Index of export market penetration,2.07574160517994
Sierra Leone,2018,...,...,Trade Indicator,HH Market concentration index,0.112372094800715
