Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53688.1393749838
,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19876.9072104218
,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17961.7854011355
,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12482.567994009
,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12479.2885465763
,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,57420.812187118
,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23947.7168970196
,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22914.4328481292
,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15544.8663385032
,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11697.6508178671
,2021,World,Vegetable,Export,Export(US$ Mil),18765.543584276
,2021,World,Textiles and Clothing,Export,Export(US$ Mil),5811.64179887566
,2021,World,Intermediate goods,Export,Export(US$ Mil),110842.743324063
,2021,World,Plastic or Rubber,Export,Export(US$ Mil),2838.0103865434
,2021,World,Transportation,Export,Export(US$ Mil),17231.2297394359
,2021,World,Chemicals,Export,Export(US$ Mil),17560.4140302135
,2021,World,Mach and Elec,Export,Export(US$ Mil),9756.91290402752
,2021,World,Food Products,Export,Export(US$ Mil),11182.2252732402
,2021,World,Footwear,Export,Export(US$ Mil),539.765565842502
,2021,World,Consumer goods,Export,Export(US$ Mil),45570.3041147605
,2021,World,Hides and Skins,Export,Export(US$ Mil),487.374806500092
,2021,World,Miscellaneous,Export,Export(US$ Mil),1976.19317147886
,2021,World,Minerals,Export,Export(US$ Mil),28333.7691528563
,2021,World,Stone and Glass,Export,Export(US$ Mil),55658.2855813701
,2021,World,Capital goods,Export,Export(US$ Mil),19781.9146722255
,2021,World,Animal,Export,Export(US$ Mil),4166.43894577417
,2021,World,Wood,Export,Export(US$ Mil),3613.33876712448
,2021,World,Raw materials,Export,Export(US$ Mil),133503.950358418
,2021,World,Fuels,Export,Export(US$ Mil),89716.9259316913
,2021,World,Metals,Export,Export(US$ Mil),42444.7925395155
,2021,World,Intermediate goods,Import,Import(US$ Mil),73656.9769798027
,2021,World,Capital goods,Import,Import(US$ Mil),72655.8999135321
,2021,World,Consumer goods,Import,Import(US$ Mil),122250.489536591
,2021,World,Raw materials,Import,Import(US$ Mil),29084.0555975632
,2021,World,All Products,Export,Exports (in US$ Mil),310082.862178772
,2021,World,All Products,Import,Imports (in US$ Mil),305527.710189527
,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),110193838.266074
,2021,...,...,Tariff,No. Of Tariff Agreement,603
,2021,...,...,Import,No. Of Import partners,236
,2021,...,...,Import,No. Of Import products,4624
,2021,...,...,Export,No. Of Export partners,227
,2021,...,...,Export,No. Of Export products,4536
,2018,...,...,Others,Population,1078306520
,2018,...,...,Others,CPIA Trade Ratings,3.6842105263
,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,17.3141
,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4102
,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7926
,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0256
,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0245
,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.794
,2021,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8381
,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5
,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0879
,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.8287
,2021,World,Chemicals,Export,Export Product share(%),5.6631
,2021,World,Mach and Elec,Export,Export Product share(%),3.1466
,2021,World,Food Products,Export,Export Product share(%),3.6062
,2021,World,Footwear,Export,Export Product share(%),0.1741
,2021,World,Consumer goods,Export,Export Product share(%),14.6962
,2021,World,Plastic or Rubber,Export,Export Product share(%),0.9152
,2021,World,Transportation,Export,Export Product share(%),5.557
,2021,World,Vegetable,Export,Export Product share(%),6.0518
,2021,World,Textiles and Clothing,Export,Export Product share(%),1.8742
,2021,World,Intermediate goods,Export,Export Product share(%),35.7462
,2021,World,Hides and Skins,Export,Export Product share(%),0.1572
,2021,World,Miscellaneous,Export,Export Product share(%),0.6373
,2021,World,Minerals,Export,Export Product share(%),9.1375
,2021,World,Stone and Glass,Export,Export Product share(%),17.9495
,2021,World,Capital goods,Export,Export Product share(%),6.3796
,2021,World,Animal,Export,Export Product share(%),1.3437
,2021,World,Wood,Export,Export Product share(%),1.1653
,2021,World,Raw materials,Export,Export Product share(%),43.0543
,2021,World,Fuels,Export,Export Product share(%),28.9332
,2021,World,Metals,Export,Export Product share(%),13.6882
,2021,World,Capital goods,Import,Import Product share(%),23.7805
,2021,World,Consumer goods,Import,Import Product share(%),40.0129
,2021,World,Intermediate goods,Import,Import Product share(%),24.1081
,2021,World,Raw materials,Import,Import Product share(%),9.5193
,2021,World,Capital goods,Tariff,Weighted Average (%),4.97125277776219
,2021,World,Raw materials,Tariff,Weighted Average (%),3.50562098807307
,2021,World,Consumer goods,Tariff,Weighted Average (%),12.3319125395391
,2021,World,Intermediate goods,Tariff,Weighted Average (%),6.45851025844425
,2021,World,All Products,Trade Indicator,World Growth (%),
,2021,World,All Products,Trade Indicator,Country Growth (%),
,2021,World,All Products,Tariff,Simple Average (%),10.8261894848162
,2021,World,All Products,Tariff,Weighted Average (%),7.88299134088231
,2021,World,All Products,Tariff,Maximum Rate (%),762.690673828125
,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),37.10012899871
,2021,...,...,Trade Indicator,Index of export market penetration,
,2021,...,...,Trade Indicator,HH Market concentration index,
